Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned,Prosent av arbeidsstyrken i fjor
Troms,1640.0,2.0,-187.0,-10.2,2011,November,
Vest-Agder,2286.0,2.6,-203.0,-8.2,2011,November,
Vestfold,3435.0,2.9,-145.0,-4.1,2011,November,
Østfold,4134.0,3.0,-695.0,-14.4,2011,November,
Øvrige områder,28.0,,1.0,3.7,2011,November,
Akershus,6051.0,2.1,-543.0,-8.2,2011,Desember,
Aust-Agder,1742.0,3.1,-51.0,-2.8,2011,Desember,
Buskerud,3483.0,2.5,-40.0,-1.1,2011,Desember,
Finnmark,1159.0,3.0,45.0,4.0,2011,Desember,
Hedmark,2394.0,2.5,-267.0,-10.0,2011,Desember,
Hordaland,5674.0,2.2,-745.0,-11.6,2011,Desember,
Landet,63655.0,2.4,-6280.0,-9.0,2011,Desember,
Møre og Romsdal,2702.0,2.0,-271.0,-9.1,2011,Desember,
Nord-Trøndelag,1512.0,2.3,-133.0,-8.1,2011,Desember,
Nordland,3212.0,2.7,-36.0,-1.1,2011,Desember,
Oppland,2127.0,2.2,56.0,2.7,2011,Desember,
Oslo,10079.0,3.0,-1547.0,-13.3,2011,Desember,
Rogaland,4380.0,1.8,-864.0,-16.5,2011,Desember,
Sogn og Fjordane,980.0,1.7,-82.0,-7.7,2011,Desember,
Sør-Trøndelag,3306.0,2.1,-1087.0,-24.7,2011,Desember,
Telemark,2844.0,3.3,141.0,5.2,2011,Desember,
Troms,1771.0,2.1,-89.0,-4.8,2011,Desember,
Vest-Agder,2371.0,2.7,-164.0,-6.5,2011,Desember,
Vestfold,3495.0,2.9,-142.0,-3.9,2011,Desember,
Østfold,4342.0,3.1,-460.0,-9.6,2011,Desember,
Øvrige områder,31.0,,-1.0,-3.1,2011,Desember,
Akershus,6831.0,2.3,-507.0,-6.9,2012,Januar,
Aust-Agder,1931.0,3.5,-266.0,-12.1,2012,Januar,
Buskerud,3841.0,2.8,-339.0,-8.1,2012,Januar,
Finnmark,1280.0,3.4,-91.0,-6.6,2012,Januar,
Hedmark,2742.0,2.9,-389.0,-12.4,2012,Januar,
Hordaland,6200.0,2.4,-1254.0,-16.8,2012,Januar,
Landet,71531.0,2.8,-9750.0,-12.0,2012,Januar,
Møre og Romsdal,2969.0,2.2,-578.0,-16.3,2012,Januar,
Nord-Trøndelag,1809.0,2.7,-185.0,-9.3,2012,Januar,
Nordland,3493.0,2.9,-420.0,-10.7,2012,Januar,
Oppland,2475.0,2.6,-106.0,-4.1,2012,Januar,
Oslo,11219.0,3.3,-1800.0,-13.8,2012,Januar,
Rogaland,4632.0,2.0,-1431.0,-23.6,2012,Januar,
Sogn og Fjordane,1026.0,1.8,-315.0,-23.5,2012,Januar,
Sør-Trøndelag,4135.0,2.7,-996.0,-19.4,2012,Januar,
Telemark,3266.0,3.8,37.0,1.1,2012,Januar,
Troms,2070.0,2.5,-161.0,-7.2,2012,Januar,
Vest-Agder,2672.0,3.0,-205.0,-7.1,2012,Januar,
Vestfold,4067.0,3.4,-173.0,-4.1,2012,Januar,
Østfold,4835.0,3.5,-558.0,-10.3,2012,Januar,
Øvrige områder,38.0,,-13.0,-25.5,2012,Januar,
Akershus,6647.0,2.3,-529.0,-7.4,2012,Februar,
Aust-Agder,1847.0,3.3,-213.0,-10.3,2012,Februar,
Buskerud,3818.0,2.7,-141.0,-3.6,2012,Februar,
Finnmark,1296.0,3.4,59.0,4.8,2012,Februar,
Hedmark,2729.0,2.8,-189.0,-6.5,2012,Februar,
Hordaland,5958.0,2.3,-944.0,-13.7,2012,Februar,
Landet,69512.0,2.7,-7862.0,-10.2,2012,Februar,
Møre og Romsdal,2815.0,2.1,-688.0,-19.6,2012,Februar,
Nord-Trøndelag,1739.0,2.6,-145.0,-7.7,2012,Februar,
Nordland,3526.0,2.9,-234.0,-6.2,2012,Februar,
Oppland,2371.0,2.5,-101.0,-4.1,2012,Februar,
Oslo,10785.0,3.2,-1607.0,-13.0,2012,Februar,
Rogaland,4704.0,2.0,-863.0,-15.5,2012,Februar,
Sogn og Fjordane,1073.0,1.9,-207.0,-16.2,2012,Februar,
Sør-Trøndelag,3823.0,2.5,-1048.0,-21.5,2012,Februar,
Telemark,3203.0,3.7,142.0,4.6,2012,Februar,
Troms,1995.0,2.4,-103.0,-4.9,2012,Februar,
Vest-Agder,2569.0,2.9,-147.0,-5.4,2012,Februar,
Vestfold,3907.0,3.2,-284.0,-6.8,2012,Februar,
Østfold,4660.0,3.4,-619.0,-11.7,2012,Februar,
Øvrige områder,47.0,,-1.0,,2012,Februar,
Akershus,6632.0,2.3,-472.0,-6.6,2012,Mars,
Aust-Agder,1757.0,3.2,-198.0,-10.1,2012,Mars,
Buskerud,3555.0,2.6,-230.0,-6.1,2012,Mars,
Finnmark,1138.0,3.0,-111.0,-8.9,2012,Mars,
Hedmark,2579.0,2.7,-257.0,-9.1,2012,Mars,
Hordaland,5603.0,2.2,-908.0,-13.9,2012,Mars,
Landet,67669.0,2.6,-6521.0,-8.8,2012,Mars,
Møre og Romsdal,2685.0,2.0,-599.0,-18.2,2012,Mars,
Nord-Trøndelag,1760.0,2.6,-77.0,-4.2,2012,Mars,
Nordland,3443.0,2.9,-100.0,-2.8,2012,Mars,
Oppland,2249.0,2.3,-184.0,-7.6,2012,Mars,
Oslo,10897.0,3.2,-815.0,-7.0,2012,Mars,
Rogaland,4558.0,1.9,-601.0,-11.6,2012,Mars,
Sogn og Fjordane,1090.0,1.9,-164.0,-13.1,2012,Mars,
Sør-Trøndelag,3673.0,2.4,-1027.0,-21.9,2012,Mars,
Telemark,3087.0,3.6,100.0,3.3,2012,Mars,
Troms,1957.0,2.4,-78.0,-3.8,2012,Mars,
Vest-Agder,2563.0,2.9,-9.0,-0.3,2012,Mars,
Vestfold,3754.0,3.1,-328.0,-8.0,2012,Mars,
Østfold,4650.0,3.4,-466.0,-9.1,2012,Mars,
Øvrige områder,39.0,,3.0,,2012,Mars,
Akershus,6540.0,2.2,-458.0,-6.5,2012,April,
Aust-Agder,1659.0,3.0,-175.0,-9.5,2012,April,
Buskerud,3567.0,2.6,-219.0,-5.8,2012,April,
Finnmark,1230.0,3.2,46.0,3.9,2012,April,
Hedmark,2677.0,2.8,-113.0,-4.1,2012,April,
Hordaland,5482.0,2.1,-883.0,-13.9,2012,April,
Landet,66756.0,2.6,-5239.0,-7.3,2012,April,
Møre og Romsdal,2723.0,2.0,-408.0,-13.0,2012,April,
Nord-Trøndelag,1674.0,2.5,8.0,0.5,2012,April,
Nordland,3380.0,2.8,-77.0,-2.2,2012,April,
Oppland,2220.0,2.3,-185.0,-7.7,2012,April,
Oslo,10755.0,3.2,-836.0,-7.2,2012,April,
Rogaland,4392.0,1.9,-420.0,-8.7,2012,April,
Sogn og Fjordane,1102.0,2.0,-125.0,-10.2,2012,April,
Sør-Trøndelag,3640.0,2.3,-969.0,-21.0,2012,April,
Telemark,2902.0,3.4,105.0,3.8,2012,April,
Troms,1967.0,2.4,-18.0,-0.9,2012,April,
Vest-Agder,2382.0,2.7,-51.0,-2.1,2012,April,
Vestfold,3586.0,3.0,-333.0,-8.5,2012,April,
Østfold,4828.0,3.5,-140.0,-2.8,2012,April,
Øvrige områder,50.0,,12.0,,2012,April,
Akershus,6115.0,2.1,-412.0,-6.3,2012,Mai,
Aust-Agder,1581.0,2.8,55.0,3.6,2012,Mai,
Buskerud,3348.0,2.4,-80.0,-2.3,2012,Mai,
Finnmark,1135.0,3.0,59.0,5.5,2012,Mai,
Hedmark,2421.0,2.5,-49.0,-2.0,2012,Mai,
Hordaland,5163.0,2.0,-640.0,-11.0,2012,Mai,
Landet,61449.0,2.3,-3210.0,-5.0,2012,Mai,
Møre og Romsdal,2426.0,1.8,-360.0,-12.9,2012,Mai,
Nord-Trøndelag,1418.0,2.1,-46.0,-3.1,2012,Mai,
Nordland,3059.0,2.5,-139.0,-4.3,2012,Mai,
Oppland,2009.0,2.1,-114.0,-5.4,2012,Mai,
Oslo,10151.0,2.9,-343.0,-3.3,2012,Mai,
Rogaland,4008.0,1.7,-416.0,-9.4,2012,Mai,
Sogn og Fjordane,991.0,1.8,-28.0,-2.7,2012,Mai,
Sør-Trøndelag,3286.0,2.1,-666.0,-16.9,2012,Mai,
Telemark,2586.0,3.0,171.0,7.1,2012,Mai,
Troms,1837.0,2.2,5.0,0.3,2012,Mai,
Vest-Agder,2168.0,2.4,31.0,1.5,2012,Mai,
Vestfold,3283.0,2.7,-252.0,-7.1,2012,Mai,
Østfold,4426.0,3.2,7.0,0.2,2012,Mai,
Øvrige områder,38.0,,7.0,,2012,Mai,
Akershus,6296.0,2.1,-251.0,-3.8,2012,Juni,
Aust-Agder,1740.0,3.1,66.0,3.9,2012,Juni,
Buskerud,3367.0,2.4,-100.0,-2.9,2012,Juni,
Finnmark,1120.0,2.9,18.0,1.6,2012,Juni,
Hedmark,2449.0,2.6,-28.0,-1.1,2012,Juni,
Hordaland,5507.0,2.1,-587.0,-9.6,2012,Juni,
Landet,64196.0,2.4,-1291.0,-2.0,2012,Juni,
Møre og Romsdal,2454.0,1.8,-279.0,-10.2,2012,Juni,
Nord-Trøndelag,1524.0,2.3,14.0,0.9,2012,Juni,
Nordland,3230.0,2.7,-15.0,-0.5,2012,Juni,
Oppland,2033.0,2.1,21.0,1.0,2012,Juni,
Oslo,10626.0,3.1,170.0,1.6,2012,Juni,
Rogaland,4318.0,1.8,-153.0,-3.4,2012,Juni,
Sogn og Fjordane,865.0,1.5,-89.0,-9.3,2012,Juni,
Sør-Trøndelag,3535.0,2.2,-442.0,-11.1,2012,Juni,
Telemark,2847.0,3.3,107.0,3.9,2012,Juni,
Troms,1830.0,2.2,1.0,0.1,2012,Juni,
Vest-Agder,2308.0,2.6,131.0,6.0,2012,Juni,
Vestfold,3500.0,2.9,-130.0,-3.6,2012,Juni,
Østfold,4608.0,3.3,246.0,5.6,2012,Juni,
Øvrige områder,39.0,,9.0,,2012,Juni,
Akershus,7122.0,2.4,-105.0,-1.5,2012,Juli,
Aust-Agder,1832.0,3.3,57.0,3.2,2012,Juli,
Buskerud,3652.0,2.6,-81.0,-2.2,2012,Juli,
Finnmark,1319.0,3.4,46.0,3.6,2012,Juli,
Hedmark,2738.0,2.9,-21.0,-0.8,2012,Juli,
Hordaland,5998.0,2.3,-577.0,-8.8,2012,Juli,
Landet,71738.0,2.7,-867.0,-1.2,2012,Juli,
Møre og Romsdal,2946.0,2.2,-100.0,-3.3,2012,Juli,
Nord-Trøndelag,1745.0,2.6,9.0,0.5,2012,Juli,
Nordland,3609.0,3.0,3.0,0.1,2012,Juli,
Oppland,2190.0,2.3,-35.0,-1.6,2012,Juli,
Oslo,12076.0,3.5,189.0,1.6,2012,Juli,
Rogaland,4603.0,1.9,-202.0,-4.2,2012,Juli,
Sogn og Fjordane,1111.0,2.0,-64.0,-5.4,2012,Juli,
Sør-Trøndelag,3921.0,2.5,-467.0,-10.6,2012,Juli,
Telemark,3096.0,3.6,38.0,1.2,2012,Juli,
Troms,2088.0,2.5,66.0,3.3,2012,Juli,
Vest-Agder,2600.0,2.9,109.0,4.4,2012,Juli,
Vestfold,3900.0,3.2,-119.0,-3.0,2012,Juli,
Øvrige områder,32.0,,4.0,,2012,Juli,
Akershus,6611.0,2.2,-479.0,-6.8,2012,August,
Aust-Agder,1808.0,3.2,10.0,0.6,2012,August,
Buskerud,3370.0,2.4,-318.0,-8.6,2012,August,
Finnmark,1268.0,3.3,-71.0,-5.3,2012,August,
Hedmark,2606.0,2.7,-182.0,-6.5,2012,August,
Hordaland,5687.0,2.2,-748.0,-11.6,2012,August,
Landet,68445.0,2.6,-2899.0,-4.1,2012,August,
Møre og Romsdal,2727.0,2.0,-256.0,-8.6,2012,August,
Nord-Trøndelag,1687.0,2.5,3.0,0.2,2012,August,
Nordland,3427.0,2.8,-227.0,-6.2,2012,August,
Oppland,2153.0,2.2,13.0,0.6,2012,August,
Oslo,11537.0,3.3,255.0,2.3,2012,August,
Rogaland,4483.0,1.9,-394.0,-8.1,2012,August,
Sogn og Fjordane,1052.0,1.9,-87.0,-7.6,2012,August,
Sør-Trøndelag,3707.0,2.4,-454.0,-10.9,2012,August,
Telemark,3052.0,3.5,-70.0,-2.2,2012,August,
Troms,1983.0,2.4,15.0,0.8,2012,August,
Vest-Agder,2527.0,2.8,-7.0,-0.3,2012,August,
Vestfold,3763.0,3.1,-215.0,-5.4,2012,August,
Østfold,4964.0,3.6,305.0,6.5,2012,August,
Øvrige områder,33.0,,8.0,,2012,August,
Akershus,6294.0,2.1,-283.0,-4.3,2012,September,
Aust-Agder,1594.0,2.8,-27.0,-1.7,2012,September,
Buskerud,3155.0,2.2,-297.0,-8.6,2012,September,
Finnmark,1139.0,3.0,-80.0,-6.6,2012,September,
Hedmark,2375.0,2.5,-60.0,-2.5,2012,September,
Hordaland,5070.0,1.9,-697.0,-12.1,2012,September,
Landet,63060.0,2.4,-2194.0,-3.4,2012,September,
Møre og Romsdal,2415.0,1.8,-293.0,-10.8,2012,September,
Nord-Trøndelag,1372.0,2.1,-150.0,-9.9,2012,September,
Nordland,3060.0,2.5,-275.0,-8.2,2012,September,
Oppland,1938.0,2.0,13.0,0.7,2012,September,
Oslo,11056.0,3.2,292.0,2.7,2012,September,
Rogaland,4137.0,1.7,-475.0,-10.3,2012,September,
Sogn og Fjordane,909.0,1.6,14.0,1.6,2012,September,
Sør-Trøndelag,3371.0,2.1,-265.0,-7.3,2012,September,
Telemark,2757.0,3.2,-93.0,-3.3,2012,September,
Troms,1694.0,2.0,10.0,0.6,2012,September,
Vest-Agder,2506.0,2.8,240.0,10.6,2012,September,
Vestfold,3587.0,3.0,-135.0,-3.6,2012,September,
Østfold,4599.0,3.3,362.0,8.5,2012,September,
Øvrige områder,32.0,,5.0,18.5,2012,September,
Akershus,6055.0,2.1,-343.0,-5.0,2012,Oktober,
Aust-Agder,1590.0,2.8,-31.0,-2.0,2012,Oktober,
Buskerud,3132.0,2.2,-149.0,-5.0,2012,Oktober,
Finnmark,1121.0,2.9,-7.0,-1.0,2012,Oktober,
Hedmark,2282.0,2.4,-144.0,-6.0,2012,Oktober,
Hordaland,4775.0,1.8,-826.0,-15.0,2012,Oktober,
Landet,60757.0,2.3,-2543.0,-4.0,2012,Oktober,
Møre og Romsdal,2294.0,1.7,-244.0,-10.0,2012,Oktober,
Nord-Trøndelag,1333.0,2.0,-82.0,-6.0,2012,Oktober,
Nordland,2960.0,2.5,-313.0,-10.0,2012,Oktober,
Oppland,1986.0,2.1,22.0,1.0,2012,Oktober,
Oslo,10739.0,3.1,140.0,1.0,2012,Oktober,
Rogaland,3880.0,1.6,-510.0,-12.0,2012,Oktober,
Sogn og Fjordane,877.0,1.6,-9.0,-1.0,2012,Oktober,
Sør-Trøndelag,3269.0,2.1,-78.0,-2.0,2012,Oktober,
Telemark,2629.0,3.0,-19.0,-1.0,2012,Oktober,
Troms,1572.0,1.9,4.0,0.0,2012,Oktober,
Ukjent,11.0,,-3.0,-21.0,2012,Oktober,
Vest-Agder,2484.0,2.8,151.0,6.0,2012,Oktober,
Vestfold,3376.0,2.8,-210.0,-6.0,2012,Oktober,
Østfold,4385.0,3.1,104.0,2.0,2012,Oktober,
Øvrige områder,7.0,,4.0,133.0,2012,Oktober,
Akershus,6092.0,2.1,42.0,1.0,2012,November,
Aust-Agder,1559.0,2.8,-97.0,-6.0,2012,November,
Buskerud,3015.0,2.1,-226.0,-7.0,2012,November,
Finnmark,1116.0,2.9,30.0,3.0,2012,November,
Hedmark,2232.0,2.3,-179.0,-7.0,2012,November,
Hordaland,4667.0,1.8,-755.0,-14.0,2012,November,
Landet,60503.0,2.3,-1092.0,-2.0,2012,November,
Møre og Romsdal,2342.0,1.7,-192.0,-8.0,2012,November,
Nord-Trøndelag,1391.0,2.1,-32.0,-2.0,2012,November,
Nordland,3024.0,2.5,-50.0,-2.0,2012,November,
Oppland,1920.0,2.0,-13.0,-1.0,2012,November,
Oslo,10474.0,3.0,491.0,5.0,2012,November,
Rogaland,3903.0,1.6,-365.0,-9.0,2012,November,
Sogn og Fjordane,927.0,1.6,54.0,6.0,2012,November,
Sør-Trøndelag,3247.0,2.1,-95.0,-3.0,2012,November,
Telemark,2727.0,3.2,-40.0,-1.0,2012,November,
Troms,1617.0,1.9,2.0,0.0,2012,November,
Ukjent,10.0,,-3.0,-23.0,2012,November,
Vest-Agder,2514.0,2.8,223.0,10.0,2012,November,
Vestfold,3370.0,2.8,-78.0,-2.0,2012,November,
Østfold,4349.0,3.1,188.0,5.0,2012,November,
Øvrige områder,7.0,,3.0,75.0,2012,November,
Akershus,6179.0,2.1,114.0,2.0,2012,Desember,
Aust-Agder,1641.0,2.9,-99.0,-6.0,2012,Desember,
Buskerud,3105.0,2.2,-338.0,-10.0,2012,Desember,
Finnmark,1201.0,3.1,50.0,4.0,2012,Desember,
Hedmark,2400.0,2.5,3.0,0.0,2012,Desember,
Hordaland,4967.0,1.9,-712.0,-13.0,2012,Desember,
Landet,62569.0,2.4,-1086.0,-2.0,2012,Desember,
Møre og Romsdal,2544.0,1.9,-139.0,-5.0,2012,Desember,
Nord-Trøndelag,1441.0,2.2,-63.0,-4.0,2012,Desember,
Nordland,3081.0,2.6,-122.0,-4.0,2012,Desember,
Oppland,2060.0,2.1,-78.0,-4.0,2012,Desember,
Oslo,10544.0,3.1,417.0,4.0,2012,Desember,
Rogaland,4060.0,1.7,-315.0,-7.0,2012,Desember,
Sogn og Fjordane,971.0,1.7,-20.0,-2.0,2012,Desember,
Sør-Trøndelag,3344.0,2.1,43.0,1.0,2012,Desember,
Telemark,2863.0,3.3,33.0,1.0,2012,Desember,
Troms,1734.0,2.1,-12.0,-1.0,2012,Desember,
Ukjent,11.0,,-3.0,-21.0,2012,Desember,
Vest-Agder,2526.0,2.8,148.0,6.0,2012,Desember,
Vestfold,3391.0,2.8,-113.0,-3.0,2012,Desember,
Østfold,4502.0,3.2,120.0,3.0,2012,Desember,
Øvrige områder,4.0,,0.0,0.0,2012,Desember,
Akershus,6981.0,2.4,147.0,2.0,2013,Januar,
Aust-Agder,2006.0,3.6,77.0,4.0,2013,Januar,
Buskerud,3583.0,2.6,-235.0,-6.0,2013,Januar,
Finnmark,1432.0,3.7,165.0,13.0,2013,Januar,
Hedmark,2808.0,2.9,60.0,2.0,2013,Januar,
Hordaland,5586.0,2.1,-605.0,-10.0,2013,Januar,
Landet,71540.0,2.7,9.0,0.0,2013,Januar,
Møre og Romsdal,2920.0,2.2,-33.0,-1.0,2013,Januar,
Nord-Trøndelag,1694.0,2.6,-113.0,-6.0,2013,Januar,
Nordland,3724.0,3.1,235.0,7.0,2013,Januar,
Oppland,2517.0,2.6,34.0,1.0,2013,Januar,
Oslo,11956.0,3.5,693.0,6.0,2013,Januar,
Rogaland,4373.0,1.8,-255.0,-6.0,2013,Januar,
Sogn og Fjordane,1140.0,2.0,112.0,11.0,2013,Januar,
Sør-Trøndelag,3998.0,2.5,-139.0,-3.0,2013,Januar,
Telemark,3123.0,3.6,-139.0,-4.0,2013,Januar,
Troms,1938.0,2.3,-110.0,-5.0,2013,Januar,
Ukjent,16.0,,4.0,33.0,2013,Januar,
Vest-Agder,2793.0,3.1,107.0,4.0,2013,Januar,
Vestfold,3883.0,3.2,-181.0,-4.0,2013,Januar,
Østfold,5063.0,3.6,184.0,4.0,2013,Januar,
Øvrige områder,6.0,,1.0,20.0,2013,Januar,
Akershus,6872.0,2.3,228.0,3.0,2013,Februar,
Aust-Agder,1937.0,3.4,102.0,6.0,2013,Februar,
Buskerud,3572.0,2.5,-229.0,-6.0,2013,Februar,
Finnmark,1270.0,3.3,-4.0,0.0,2013,Februar,
Hedmark,2738.0,2.9,0.0,0.0,2013,Februar,
Hordaland,5607.0,2.1,-353.0,-6.0,2013,Februar,
Landet,70020.0,2.7,508.0,1.0,2013,Februar,
Møre og Romsdal,2803.0,2.1,5.0,0.0,2013,Februar,
Nord-Trøndelag,1714.0,2.6,-32.0,-2.0,2013,Februar,
Nordland,3712.0,3.1,190.0,5.0,2013,Februar,
Oppland,2331.0,2.4,-51.0,-2.0,2013,Februar,
Oslo,11785.0,3.4,962.0,9.0,2013,Februar,
Rogaland,4352.0,1.8,-353.0,-8.0,2013,Februar,
Sogn og Fjordane,1072.0,1.9,-2.0,0.0,2013,Februar,
Sør-Trøndelag,3774.0,2.4,-47.0,-1.0,2013,Februar,
Telemark,2994.0,3.5,-213.0,-7.0,2013,Februar,
Troms,1947.0,2.3,-32.0,-2.0,2013,Februar,
Ukjent,17.0,,-1.0,-6.0,2013,Februar,
Vest-Agder,2746.0,3.1,175.0,7.0,2013,Februar,
Vestfold,3801.0,3.1,-112.0,-3.0,2013,Februar,
Østfold,4973.0,3.6,276.0,6.0,2013,Februar,
Øvrige områder,3.0,,-1.0,-25.0,2013,Februar,
Akershus,6834.0,2.3,182.0,3.0,2013,Mars,
Aust-Agder,1900.0,3.4,153.0,9.0,2013,Mars,
Buskerud,3668.0,2.6,128.0,4.0,2013,Mars,
Finnmark,1314.0,3.4,180.0,16.0,2013,Mars,
Hedmark,2768.0,2.9,181.0,7.0,2013,Mars,
Hordaland,5545.0,2.1,-49.0,-1.0,2013,Mars,
Landet,69969.0,2.7,2300.0,3.0,2013,Mars,
Møre og Romsdal,2851.0,2.1,191.0,7.0,2013,Mars,
Nord-Trøndelag,1707.0,2.6,-58.0,-3.0,2013,Mars,
Nordland,3565.0,3.0,132.0,4.0,2013,Mars,
Oppland,2341.0,2.4,81.0,4.0,2013,Mars,
Oslo,11809.0,3.4,894.0,8.0,2013,Mars,
Rogaland,4380.0,1.8,-166.0,-4.0,2013,Mars,
Sogn og Fjordane,1170.0,2.1,75.0,7.0,2013,Mars,
Sør-Trøndelag,3778.0,2.4,99.0,3.0,2013,Mars,
Telemark,2886.0,3.3,-197.0,-6.0,2013,Mars,
Troms,1975.0,2.4,36.0,2.0,2013,Mars,
Ukjent,12.0,,-7.0,-37.0,2013,Mars,
Vest-Agder,2724.0,3.0,152.0,6.0,2013,Mars,
Vestfold,3686.0,3.0,-77.0,-2.0,2013,Mars,
Østfold,5053.0,3.6,371.0,8.0,2013,Mars,
Øvrige områder,3.0,,-1.0,-25.0,2013,Mars,
Akershus,6815.0,2.3,259.0,4.0,2013,April,
Aust-Agder,1802.0,3.2,152.0,9.0,2013,April,
Buskerud,3685.0,2.6,142.0,4.0,2013,April,
Finnmark,1440.0,3.7,226.0,19.0,2013,April,
Hedmark,2781.0,2.9,100.0,4.0,2013,April,
Hordaland,5392.0,2.0,-94.0,-2.0,2013,April,
Landet,68655.0,2.6,1899.0,3.0,2013,April,
Møre og Romsdal,2731.0,2.0,17.0,1.0,2013,April,
Nord-Trøndelag,1570.0,2.3,-108.0,-6.0,2013,April,
Nordland,3499.0,2.9,118.0,3.0,2013,April,
Oppland,2253.0,2.3,22.0,1.0,2013,April,
Oslo,11792.0,3.3,1014.0,9.0,2013,April,
Rogaland,4283.0,1.7,-95.0,-2.0,2013,April,
Sogn og Fjordane,1135.0,2.0,19.0,2.0,2013,April,
Sør-Trøndelag,3718.0,2.3,83.0,2.0,2013,April,
Telemark,2824.0,3.2,-71.0,-2.0,2013,April,
Troms,2018.0,2.4,69.0,4.0,2013,April,
Ukjent,12.0,,-1.0,-8.0,2013,April,
Vest-Agder,2480.0,2.7,89.0,4.0,2013,April,
Vestfold,3627.0,3.0,35.0,1.0,2013,April,
Østfold,4795.0,3.4,-77.0,-2.0,2013,April,
Øvrige områder,3.0,,0.0,0.0,2013,April,
Akershus,6497.0,2.2,356.0,6.0,2013,Mai,
Aust-Agder,1689.0,3.0,119.0,8.0,2013,Mai,
Buskerud,3534.0,2.5,227.0,7.0,2013,Mai,
Finnmark,1281.0,3.3,151.0,13.0,2013,Mai,
Hedmark,2593.0,2.7,163.0,7.0,2013,Mai,
Hordaland,5099.0,1.9,-65.0,-1.0,2013,Mai,
Landet,65548.0,2.5,4099.0,7.0,2013,Mai,
Møre og Romsdal,2634.0,1.9,212.0,9.0,2013,Mai,
Nord-Trøndelag,1463.0,2.2,43.0,3.0,2013,Mai,
Nordland,3435.0,2.8,381.0,12.0,2013,Mai,
Oppland,2164.0,2.2,140.0,7.0,2013,Mai,
Oslo,11461.0,3.2,1314.0,13.0,2013,Mai,
Rogaland,4193.0,1.7,192.0,5.0,2013,Mai,
Sogn og Fjordane,1071.0,1.9,68.0,7.0,2013,Mai,
Sør-Trøndelag,3417.0,2.1,126.0,4.0,2013,Mai,
Telemark,2653.0,3.0,67.0,3.0,2013,Mai,
Troms,1921.0,2.3,99.0,5.0,2013,Mai,
Ukjent,32.0,,19.0,146.0,2013,Mai,
Vest-Agder,2315.0,2.5,147.0,7.0,2013,Mai,
Vestfold,3462.0,2.8,169.0,5.0,2013,Mai,
Østfold,4631.0,3.3,172.0,4.0,2013,Mai,
Øvrige områder,3.0,,-1.0,-25.0,2013,Mai,
Akershus,6662.0,2.2,336.0,5.0,2013,Juni,
Aust-Agder,1691.0,3.0,-53.0,-3.0,2013,Juni,
Buskerud,3565.0,2.5,216.0,6.0,2013,Juni,
Finnmark,1224.0,3.2,103.0,9.0,2013,Juni,
Hedmark,2627.0,2.7,167.0,7.0,2013,Juni,
Hordaland,5516.0,2.1,5.0,0.0,2013,Juni,
Landet,66596.0,2.5,2400.0,4.0,2013,Juni,
Møre og Romsdal,2685.0,2.0,237.0,10.0,2013,Juni,
Nord-Trøndelag,1461.0,2.2,-69.0,-5.0,2013,Juni,
Nordland,3431.0,2.8,223.0,7.0,2013,Juni,
Oppland,2147.0,2.2,102.0,5.0,2013,Juni,
Oslo,11368.0,3.2,744.0,7.0,2013,Juni,
Rogaland,4301.0,1.7,10.0,0.0,2013,Juni,
Sogn og Fjordane,996.0,1.7,125.0,14.0,2013,Juni,
Sør-Trøndelag,3477.0,2.2,-56.0,-2.0,2013,Juni,
Telemark,2728.0,3.1,-107.0,-4.0,2013,Juni,
Troms,1957.0,2.3,138.0,8.0,2013,Juni,
Ukjent,58.0,,44.0,314.0,2013,Juni,
Vest-Agder,2361.0,2.6,52.0,2.0,2013,Juni,
Vestfold,3590.0,2.9,84.0,2.0,2013,Juni,
Østfold,4747.0,3.4,101.0,2.0,2013,Juni,
Øvrige områder,4.0,,-2.0,-33.0,2013,Juni,
Akershus,7463.0,2.5,315.0,4.0,2013,Juli,
Aust-Agder,1909.0,3.4,68.0,4.0,2013,Juli,
Buskerud,3989.0,2.8,340.0,9.0,2013,Juli,
Finnmark,1383.0,3.6,74.0,6.0,2013,Juli,
Hedmark,2933.0,3.0,185.0,7.0,2013,Juli,
Hordaland,6091.0,2.3,94.0,2.0,2013,Juli,
Landet,74620.0,2.8,2882.0,4.0,2013,Juli,
Møre og Romsdal,3103.0,2.3,172.0,6.0,2013,Juli,
Nord-Trøndelag,1690.0,2.5,-55.0,-3.0,2013,Juli,
Nordland,3781.0,3.1,184.0,5.0,2013,Juli,
Oppland,2299.0,2.4,87.0,4.0,2013,Juli,
Oslo,12963.0,3.7,850.0,7.0,2013,Juli,
Rogaland,4823.0,2.0,247.0,5.0,2013,Juli,
Sogn og Fjordane,1127.0,2.0,23.0,2.0,2013,Juli,
Sør-Trøndelag,3983.0,2.5,80.0,2.0,2013,Juli,
Telemark,2893.0,3.3,-193.0,-6.0,2013,Juli,
Troms,2199.0,2.6,128.0,6.0,2013,Juli,
Ukjent,76.0,,65.0,591.0,2013,Juli,
Vest-Agder,2666.0,2.9,64.0,2.0,2013,Juli,
Vestfold,3888.0,3.2,-4.0,0.0,2013,Juli,
Østfold,5352.0,3.8,153.0,3.0,2013,Juli,
Øvrige områder,9.0,,5.0,125.0,2013,Juli,
