Kommunenummer,Kommune,Kilde,InstallertKapasitet,Dato,SistOppdatert,År,Måned
4024,Hjartdal,hydro,136631.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4024,Hjartdal,solar,302.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4024,Hjartdal,hydro,5.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4026,Tinn,other,76.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4026,Tinn,hydro,701967.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4026,Tinn,solar,270.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4028,Kviteseid,hydro,15303.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4028,Kviteseid,solar,1026.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4030,Nissedal,thermal,480.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4030,Nissedal,solar,406.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4030,Nissedal,hydro,132701.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4032,Fyresdal,solar,445.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4032,Fyresdal,hydro,135393.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4034,Tokke,hydro,1028000.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4034,Tokke,solar,126.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4036,Vinje,hydro,18.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4036,Vinje,solar,1147.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4036,Vinje,hydro,6300.0,2025-06-04,2025-06-23 14:28:25+02:00,2025,6
4001,Porsgrunn,solar,754.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4001,Porsgrunn,other,1180.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4001,Porsgrunn,other,13.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
