Alle kommuner;Alle kommunenummer;Alle kommuner navn;KOmmuner 2020;Kommunenummer 2020;Kommunenavn 2020;Region;Region rekkefølge;Fylke
0701 Horten;0701;Horten;K-3801 Horten;3801;Horten;Horten;2;Vestfold
0702 Holmestrand;0702;Holmestrand;K-3802 Holmestrand;3802;Holmestrand;Holmestrand;1;Vestfold
0703 Horten;0703;Horten;K-3801 Horten;3801;Horten;Horten;2;Vestfold
0704 Tønsberg;0704;Tønsberg;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
0705 Tønsberg;0705;Tønsberg;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
0706 Sandefjord;0706;Sandefjord;K-3804 Sandefjord;3804;Sandefjord;Sandefjord;4;Vestfold
0707 Larvik;0707;Larvik;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0708 Stavern;0708;Stavern;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0709 Larvik;0709;Larvik;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0710 Sandefjord;0710;Sandefjord;K-3804 Sandefjord;3804;Sandefjord;Sandefjord;4;Vestfold
0712 Larvik;0712;Larvik;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0713 Sande (Vestfold);0713;Sande (Vestfold);K-3802 Holmestrand;3802;Holmestrand;Holmestrand;1;Vestfold
0714 Hof;0714;Hof;K-3802 Holmestrand;3802;Holmestrand;Holmestrand;1;Vestfold
0715 Holmestrand;0715;Holmestrand;K-3802 Holmestrand;3802;Holmestrand;Holmestrand;1;Vestfold
0716 Re;0716;Re;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
0717 Borre;0717;Borre;K-3801 Horten;3801;Horten;Horten;2;Vestfold
0718 Ramnes;0718;Ramnes;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
0719 Andebu;0719;Andebu;K-3804 Sandefjord;3804;Sandefjord;Sandefjord;4;Vestfold
0720 Stokke;0720;Stokke;K-3804 Sandefjord;3804;Sandefjord;Sandefjord;4;Vestfold
0721 Sem;0721;Sem;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
0722 Nøtterøy;0722;Nøtterøy;K-3811 Færder;3811;Færder;Tønsberg og Færder;3;Vestfold
0723 Tjøme;0723;Tjøme;K-3811 Færder;3811;Færder;Tønsberg og Færder;3;Vestfold
0725 Tjølling;0725;Tjølling;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0726 Brunlanes;0726;Brunlanes;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0727 Larvik;0727;Larvik;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0728 Lardal;0728;Lardal;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
