Levekårssone;Levekårssone navn;Kommunenummer;Kommune;Kategori;Gruppe;Variabel;Spørsmål;Svartype;Verdi;Svar;Antall;Andel;Spørsmålskode;Årstall;Datatype
400101;Sentrum vest;4001;Porsgrunn;Helserelatert atferd;Tobakk;roeyking_a;Hvor ofte røyker du?;Selectbox;999;Daglig;47;0.0913;FHUS_40_2025_Q1_fk5g14s1a;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Helserelatert atferd;Tobakk;snus_a;Hvor ofte bruker du snus?;Selectbox;999;Daglig;58;0.1126;FHUS_40_2025_Q1_fk5g14s2a;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Helserelatert atferd;Alkohol;alkohol_a;I løpet av de siste 12 måneder, hvor ofte har du drukket alkohol?;Selectbox;999;2-3 ganger i uka eller oftere;92;0.1783;FHUS_40_2025_Q1_fk5g15s1a;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Helserelatert atferd;Alkohol;alkohol_c;Hvor ofte drikker du seks alkoholenheter eller mer ved én og samme anledning?;Selectbox;999;Månedlig eller oftere;78;0.1512;FHUS_40_2025_Q1_fk5g15s1a2;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Skader og fysisk miljø;Skader;skade;Har du i løpet av de siste 12 måneder vært utsatt for en eller flere skader som førte til at du oppsøkte lege eller tannlege?;Selectbox;999;Ja minst én;126;0.2603;FHUS_40_2025_Q1_fk6g17s1;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Bakgrunn;Famile og bolig situasjon;bolig;Eier eller leier du boligen din?;Selectbox;999;Eier;366;0.7593;FHUS_40_2025_Q1_fk8g30s4;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Skader og fysisk miljø;Bolig;boligbytte;Hvor sannsynlig er det at du bytter bolig de neste 10 årene?;Selectbox;999;svært sannsynlig eller litt sannsynlig;237;0.4917;FHUS_40_2025_Q1_fk6g18s2;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Skader og fysisk miljø;Støy;veitrafikkstoey;Hvis du tenker på de siste 12 månedene, hvor plaget er du av støy fra veitrafikk når du er hjemme?;Selectbox;999;Middels plaget eller mer;53;0.1102;FHUS_40_2025_Q1_fk6g19s1;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Skader og fysisk miljø;Støy;annenstoey;Hvis du tenker på de siste 12 månedene, hvor plaget er du av støy fra andre utendørs støykilder enn veitrafikk når du er hjemme?;Selectbox;999;Middels plaget eller mer;45;0.0934;FHUS_40_2025_Q1_fk6g19s2;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Livskvalitet;Livstilfredshet;tilfredshet;Alt i alt, hvor fornøyd er du med livet ditt for tiden?;Selectbox;999;Andel som svarer 6 eller høyere;406;0.8476;FHUS_40_2025_Q1_fk7g20s1;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Livskvalitet;Livstilfredshet;fremtidsoptimisme;Hvor fornøyd tror du at du vil være med livet ditt fem år fra nå?;Selectbox;999;Andel som svarer 6 eller høyere;423;0.8887;FHUS_40_2025_Q1_fk7g20s2;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Livskvalitet;Livstilfredshet;meningsfylt;Alt i alt, i hvilken grad opplever du at det du gjør i livet er meningsfylt?;Selectbox;999;Andel som svarer 6 eller høyere;404;0.8417;FHUS_40_2025_Q1_fk7g20s3;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Livskvalitet;Engasjement;engasjert;Tenk på hvordan du har følt deg de siste 7 dagene. I hvilken grad var du engasjert?;Selectbox;999;Andel som svarer 6 eller høyere;319;0.666;FHUS_40_2025_Q1_fk7g24s1;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Livskvalitet;Sosiale relasjoner;givende;Mine sosiale relasjoner er støttende og givende;Matrix;999;Andel som svarer 6 eller høyere;383;0.8097;FHUS_40_2025_Q1_fk7g25s1_1;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Livskvalitet;Sosiale relasjoner;andreslykke;Jeg bidrar aktivt til andres lykke og livskvalitet;Matrix;999;Andel som svarer 6 eller høyere;387;0.8182;FHUS_40_2025_Q1_fk7g25s1_2;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Livskvalitet;Sosiale relasjoner;venner;Hvor ofte er du sammen med gode venner?;Selectbox;999;Ukentlig eller oftere;248;0.5199;FHUS_40_2025_Q1_fk7g25s3;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Livskvalitet;Lokalsamfunn / trygghet;tilhoerighet;I hvilken grad føler du at du hører til på stedet der du bor?;Selectbox;999;Andel som svarer 6 eller høyere;372;0.7799;FHUS_40_2025_Q1_fk7g26s2;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Livskvalitet;Lokalsamfunn / trygghet;trygg;Alt i alt, hvor trygg føler du deg når du er ute og går i nærmiljøet?;Selectbox;999;Andel som svarer 6 eller høyere;435;0.9119;FHUS_40_2025_Q1_fk7g26s3;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Bakgrunn;Økonomi;oekonomi;Dersom du bor alene, tenk på din samlede inntekt. Dersom du bor sammen med andre, tenk på den samlede inntekten til alle i husholdningen. Hvor lett eller vanskelig er det for deg/dere å få pengene til å strekke til i det daglige, med denne inntekten?;Selectbox;999;Andel med økonomiske vansker;120;0.2532;FHUS_40_2025_Q1_fk8g28s1;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Utledet variabel;Sosial støtte;oslo_sum_3kat;oslo_sum_3kat;;999;Høy sosial støtte;144;0.2957;oslo_sum_3kat;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Utledet variabel;Psykiske plager;HSCL_2kat;HSCL_2kat;;999;Symptomer på psykiske plager;88;0.1771;HSCL_2kat;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Utledet variabel;Ensomhet;ucla_2kat;ucla_2kat;;999;Høyt nivå;73;0.1511;ucla_2kat;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Utledet variabel;Søvn;INSOMNIA;INSOMNIA;;999;Søvnproblemer;59;0.1194;INSOMNIA;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Utledet variabel;Kontroll i livet;kontroll_SUM_3kat;kontroll_SUM_3kat;;999;Høy grad av mestring;94;0.1979;kontroll_SUM_3kat;2025;Real data
400101;Sentrum vest;4001;Porsgrunn;Utledet variabel;Fysisk aktivitet;FYSAK_2kat;FYSAK_2kat;;999;Minst 30 min. moderat fysisk aktivitet minst fire dager i uka;99;0.2045;FYSAK_2kat;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Nærmiljøet;Trivsel;trivsel;I hvilken grad trives du i nærmiljøet ditt?;Selectbox;999;I stor grad;374;0.7097;FHUS_40_2025_Q1_fk1g1s1;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;kultur;Hvordan opplever du tilgjengeligheten til kulturtilbud (eksempelvis kino, bibliotek, kulturhus, konserter og teater)?;Selectbox;999;God eller svært god;474;0.9063;FHUS_40_2025_Q1_fk1g2s1;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;idrett;Hvordan opplever du tilgjengeligheten til idrettstilbud (eksempelvis idrettshall, svømmehall, treningssenter, ski/lys-løyper)?;Selectbox;999;God eller svært god;452;0.8642;FHUS_40_2025_Q1_fk1g2s2;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;butikk;Hvordan opplever du tilgjengeligheten til butikker, spisesteder og andre servicetilbud?;Selectbox;999;God eller svært god;482;0.9216;FHUS_40_2025_Q1_fk1g2s3;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;transport;Hvordan opplever du tilgjengeligheten til offentlig transport?;Selectbox;999;God eller svært god;379;0.7247;FHUS_40_2025_Q1_fk1g2s4;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;natur;Hvordan opplever du tilgjengeligheten til natur- og friluftsområder, inkludert parker og andre grøntarealer?;Selectbox;999;God eller svært god;480;0.9195;FHUS_40_2025_Q1_fk1g2s5;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;sjoe;Hvordan opplever du tilgjengeligheten til kystlinje/strand eller sjø/innsjø der du bor?;Selectbox;999;God eller svært god;419;0.8011;FHUS_40_2025_Q1_fk1g2s6;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;gang;Opplever du at gang- og sykkelveier er godt utbygde i ditt nærområde?;Selectbox;999;God eller svært god;391;0.7476;FHUS_40_2025_Q1_fk1g2s7;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Deltakelse i aktiviteter;Deltagelse i aktiviteter;organisert;Hvor ofte deltar du i organisert aktivitet / frivillig arbeid, som f.eks. idrettslag, politiske lag, trossamfunn, kor eller lignende?;Selectbox;999;Ukentlig eller oftere;166;0.3217;FHUS_40_2025_Q1_fk2g3s1;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Deltakelse i aktiviteter;Deltagelse i aktiviteter;uorganisert;Hvor ofte deltar du i annen aktivitet, som for eksempel klubb, møter, treffe venner, trimturer med venner/kolleger eller andre?;Selectbox;999;Ukentlig eller oftere;264;0.5097;FHUS_40_2025_Q1_fk2g3s2;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Helse;Helse;helse;Hvordan vurderer du alt i alt din egen helse?;Selectbox;999;God eller svært god;358;0.6951;FHUS_40_2025_Q1_fk3g4s1;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Helse;Helse;tannhelse;Hvordan vurderer du tannhelsen din?;Selectbox;999;God eller svært god;391;0.7578;FHUS_40_2025_Q1_fk3g4s2;2025;Real data
