Kommunenummer;Kommune;Kategori;Variabel;Antall;Andel
40;Telemark;Svar;Antall respondenter;24509;
40;Telemark;Kjønn;Mann;10807;0.4409
40;Telemark;Kjønn;Kvinne;13702;0.5591
40;Telemark;Alder;18-29;2812;0.1147
40;Telemark;Alder;30-44;4914;0.2005
40;Telemark;Alder;45-59;6924;0.2825
40;Telemark;Alder;60+;9859;0.4023
40;Telemark;Landbakgrunn;Ja;2747;0.1227
40;Telemark;Landbakgrunn;Nei;19646;0.8773
40;Telemark;Utdanning;Grunnskole eller ikke fullført;2091;0.0932
40;Telemark;Utdanning;VGS/Høyere utdanning < 2 år;10973;0.4891
40;Telemark;Utdanning;Høgskole/universitet 2-4 år;5537;0.2468
40;Telemark;Utdanning;Høgskole/universitet > 4 år;3834;0.1709
40;Telemark;Svarprosent;Svarprosent;;0.426
4001;Porsgrunn;Svar;Antall respondenter;3155;
4001;Porsgrunn;Kjønn;Mann;1429;0.4529
4001;Porsgrunn;Kjønn;Kvinne;1726;0.5471
4001;Porsgrunn;Alder;18-29;361;0.1144
4001;Porsgrunn;Alder;30-44;645;0.2044
4001;Porsgrunn;Alder;45-59;908;0.2878
4001;Porsgrunn;Alder;60+;1241;0.3933
4001;Porsgrunn;Landbakgrunn;Ja;363;0.1254
4001;Porsgrunn;Landbakgrunn;Nei;2532;0.8746
4001;Porsgrunn;Utdanning;Grunnskole eller ikke fullført;252;0.087
4001;Porsgrunn;Utdanning;VGS/Høyere utdanning < 2 år;1340;0.4627
4001;Porsgrunn;Utdanning;Høgskole/universitet 2-4 år;755;0.2607
4001;Porsgrunn;Utdanning;Høgskole/universitet > 4 år;549;0.1896
4001;Porsgrunn;Svarprosent;Svarprosent;;0.405
4003;Skien;Svar;Antall respondenter;6915;
4003;Skien;Kjønn;Mann;3068;0.4437
4003;Skien;Kjønn;Kvinne;3847;0.5563
4003;Skien;Alder;18-29;744;0.1076
4003;Skien;Alder;30-44;1464;0.2117
4003;Skien;Alder;45-59;1938;0.2803
4003;Skien;Alder;60+;2769;0.4004
4003;Skien;Landbakgrunn;Ja;884;0.1415
4003;Skien;Landbakgrunn;Nei;5362;0.8585
4003;Skien;Utdanning;Grunnskole eller ikke fullført;634;0.1012
4003;Skien;Utdanning;VGS/Høyere utdanning < 2 år;2830;0.4518
4003;Skien;Utdanning;Høgskole/universitet 2-4 år;1585;0.253
4003;Skien;Utdanning;Høgskole/universitet > 4 år;1215;0.194
4003;Skien;Svarprosent;Svarprosent;;0.412
4005;Notodden;Svar;Antall respondenter;1592;
4005;Notodden;Kjønn;Mann;727;0.4567
4005;Notodden;Kjønn;Kvinne;865;0.5433
4005;Notodden;Alder;18-29;176;0.1106
4005;Notodden;Alder;30-44;306;0.1922
4005;Notodden;Alder;45-59;437;0.2745
4005;Notodden;Alder;60+;673;0.4227
4005;Notodden;Landbakgrunn;Ja;175;0.1191
4005;Notodden;Landbakgrunn;Nei;1294;0.8809
4005;Notodden;Utdanning;Grunnskole eller ikke fullført;131;0.0889
4005;Notodden;Utdanning;VGS/Høyere utdanning < 2 år;770;0.5224
4005;Notodden;Utdanning;Høgskole/universitet 2-4 år;344;0.2334
4005;Notodden;Utdanning;Høgskole/universitet > 4 år;229;0.1554
4005;Notodden;Svarprosent;Svarprosent;;0.408
4010;Siljan;Svar;Antall respondenter;519;
4010;Siljan;Kjønn;Mann;246;0.474
4010;Siljan;Kjønn;Kvinne;273;0.526
4010;Siljan;Alder;18-29;47;0.0906
4010;Siljan;Alder;30-44;101;0.1946
4010;Siljan;Alder;45-59;139;0.2678
4010;Siljan;Alder;60+;232;0.447
4010;Siljan;Landbakgrunn;Ja;44;0.0911
4010;Siljan;Landbakgrunn;Nei;439;0.9089
4010;Siljan;Utdanning;Grunnskole eller ikke fullført;56;0.1159
4010;Siljan;Utdanning;VGS/Høyere utdanning < 2 år;250;0.5176
4010;Siljan;Utdanning;Høgskole/universitet 2-4 år;114;0.236
4010;Siljan;Utdanning;Høgskole/universitet > 4 år;63;0.1304
4010;Siljan;Svarprosent;Svarprosent;;0.399
4012;Bamble;Svar;Antall respondenter;1571;
4012;Bamble;Kjønn;Mann;725;0.4615
4012;Bamble;Kjønn;Kvinne;846;0.5385
4012;Bamble;Alder;18-29;161;0.1025
4012;Bamble;Alder;30-44;284;0.1808
4012;Bamble;Alder;45-59;432;0.275
4012;Bamble;Alder;60+;694;0.4418
4012;Bamble;Landbakgrunn;Ja;126;0.0864
4012;Bamble;Landbakgrunn;Nei;1332;0.9136
4012;Bamble;Utdanning;Grunnskole eller ikke fullført;154;0.1056
4012;Bamble;Utdanning;VGS/Høyere utdanning < 2 år;742;0.5086
4012;Bamble;Utdanning;Høgskole/universitet 2-4 år;337;0.231
4012;Bamble;Utdanning;Høgskole/universitet > 4 år;226;0.1549
4012;Bamble;Svarprosent;Svarprosent;;0.403
4014;Kragerø;Svar;Antall respondenter;1062;
4014;Kragerø;Kjønn;Mann;460;0.4331
4014;Kragerø;Kjønn;Kvinne;602;0.5669
4014;Kragerø;Alder;18-29;94;0.0885
4014;Kragerø;Alder;30-44;186;0.1751
4014;Kragerø;Alder;45-59;305;0.2872
4014;Kragerø;Alder;60+;477;0.4492
4014;Kragerø;Landbakgrunn;Ja;93;0.0947
4014;Kragerø;Landbakgrunn;Nei;889;0.9053
4014;Kragerø;Utdanning;Grunnskole eller ikke fullført;92;0.0936
4014;Kragerø;Utdanning;VGS/Høyere utdanning < 2 år;478;0.4863
4014;Kragerø;Utdanning;Høgskole/universitet 2-4 år;255;0.2594
4014;Kragerø;Utdanning;Høgskole/universitet > 4 år;158;0.1607
4014;Kragerø;Svarprosent;Svarprosent;;0.408
4016;Drangedal;Svar;Antall respondenter;1100;
4016;Drangedal;Kjønn;Mann;497;0.4518
4016;Drangedal;Kjønn;Kvinne;603;0.5482
4016;Drangedal;Alder;18-29;146;0.1327
4016;Drangedal;Alder;30-44;216;0.1964
4016;Drangedal;Alder;45-59;339;0.3082
4016;Drangedal;Alder;60+;399;0.3627
4016;Drangedal;Landbakgrunn;Ja;113;0.1124
4016;Drangedal;Landbakgrunn;Nei;892;0.8876
4016;Drangedal;Utdanning;Grunnskole eller ikke fullført;106;0.1052
4016;Drangedal;Utdanning;VGS/Høyere utdanning < 2 år;593;0.5883
4016;Drangedal;Utdanning;Høgskole/universitet 2-4 år;197;0.1954
4016;Drangedal;Utdanning;Høgskole/universitet > 4 år;112;0.1111
4016;Drangedal;Svarprosent;Svarprosent;;0.448
4018;Nome;Svar;Antall respondenter;1124;
4018;Nome;Kjønn;Mann;478;0.4253
4018;Nome;Kjønn;Kvinne;646;0.5747
4018;Nome;Alder;18-29;130;0.1157
4018;Nome;Alder;30-44;217;0.1931
4018;Nome;Alder;45-59;326;0.29
4018;Nome;Alder;60+;451;0.4012
4018;Nome;Landbakgrunn;Ja;137;0.1347
4018;Nome;Landbakgrunn;Nei;880;0.8653
4018;Nome;Utdanning;Grunnskole eller ikke fullført;81;0.0793
4018;Nome;Utdanning;VGS/Høyere utdanning < 2 år;540;0.5284
4018;Nome;Utdanning;Høgskole/universitet 2-4 år;260;0.2544
4018;Nome;Utdanning;Høgskole/universitet > 4 år;141;0.138
4018;Nome;Svarprosent;Svarprosent;;0.432
4020;Midt-Telemark;Svar;Antall respondenter;1777;
4020;Midt-Telemark;Kjønn;Mann;743;0.4181
4020;Midt-Telemark;Kjønn;Kvinne;1034;0.5819
4020;Midt-Telemark;Alder;18-29;276;0.1553
4020;Midt-Telemark;Alder;30-44;406;0.2285
4020;Midt-Telemark;Alder;45-59;475;0.2673
4020;Midt-Telemark;Alder;60+;620;0.3489
4020;Midt-Telemark;Landbakgrunn;Ja;210;0.1291
4020;Midt-Telemark;Landbakgrunn;Nei;1417;0.8709
4020;Midt-Telemark;Utdanning;Grunnskole eller ikke fullført;121;0.0744
