Kommunenummer;Kommunenummer_2025;Kommune;Kategori;Gruppe;Variabel;Spørsmål;Svartype;Verdi;Svar;Antall_original;Andel_original;Antall_vektet;Andel_vektet;Spørsmålskode;Årstall
40;40;Telemark;Helserelatert atferd;Alkohol;alkohol_a;I løpet av de siste 12 måneder, hvor ofte har du drukket alkohol?;Selectbox;999;2-3 ganger i uka eller oftere;3843;0.157;9094.55;0.165;FHUS_40_2025_Q1_fk5g15s1a;2025
40;40;Telemark;Helserelatert atferd;Alkohol;alkohol_c;Hvor ofte drikker du seks alkoholenheter eller mer ved én og samme anledning?;Selectbox;999;Månedlig eller oftere;3117;0.1273;7350.43;0.1334;FHUS_40_2025_Q1_fk5g15s1a2;2025
40;40;Telemark;Skader og fysisk miljø;Skader;skade;Har du i løpet av de siste 12 måneder vært utsatt for en eller flere skader som førte til at du oppsøkte lege eller tannlege?;Selectbox;999;Ja minst én;5352;0.2349;12147.62;0.2371;FHUS_40_2025_Q1_fk6g17s1;2025
40;40;Telemark;Bakgrunn;Famile og bolig situasjon;bolig;Eier eller leier du boligen din?;Selectbox;999;Eier;18502;0.8122;41663.94;0.8131;FHUS_40_2025_Q1_fk8g30s4;2025
40;40;Telemark;Skader og fysisk miljø;Bolig;boligbytte;Hvor sannsynlig er det at du bytter bolig de neste 10 årene?;Selectbox;999;svært sannsynlig eller litt sannsynlig;11454;0.5019;26334.68;0.513;FHUS_40_2025_Q1_fk6g18s2;2025
40;40;Telemark;Skader og fysisk miljø;Støy;veitrafikkstoey;Hvis du tenker på de siste 12 månedene, hvor plaget er du av støy fra veitrafikk når du er hjemme?;Selectbox;999;Middels plaget eller mer;2588;0.1136;6184.68;0.1207;FHUS_40_2025_Q1_fk6g19s1;2025
40;40;Telemark;Skader og fysisk miljø;Støy;annenstoey;Hvis du tenker på de siste 12 månedene, hvor plaget er du av støy fra andre utendørs støykilder enn veitrafikk når du er hjemme?;Selectbox;999;Middels plaget eller mer;1970;0.0864;4871.25;0.095;FHUS_40_2025_Q1_fk6g19s2;2025
40;40;Telemark;Livskvalitet;Livstilfredshet;tilfredshet;Alt i alt, hvor fornøyd er du med livet ditt for tiden?;Selectbox;999;Andel som svarer 6 eller høyere;19119;0.8414;42940.8;0.84;FHUS_40_2025_Q1_fk7g20s1;2025
40;40;Telemark;Livskvalitet;Livstilfredshet;fremtidsoptimisme;Hvor fornøyd tror du at du vil være med livet ditt fem år fra nå?;Selectbox;999;Andel som svarer 6 eller høyere;19775;0.8741;44387.61;0.8723;FHUS_40_2025_Q1_fk7g20s2;2025
40;40;Telemark;Livskvalitet;Livstilfredshet;meningsfylt;Alt i alt, i hvilken grad opplever du at det du gjør i livet er meningsfylt?;Selectbox;999;Andel som svarer 6 eller høyere;19090;0.8402;42812.82;0.8377;FHUS_40_2025_Q1_fk7g20s3;2025
