Levekårssone;Kategori;Variabel;Andel
400101;Kjønn;Menn;0.43
400101;Kjønn;Kvinner;0.57
400102;Kjønn;Menn;0.452
400102;Kjønn;Kvinner;0.548
400103;Kjønn;Menn;0.47
400103;Kjønn;Kvinner;0.53
400104;Kjønn;Menn;0.443
400104;Kjønn;Kvinner;0.557
400105;Kjønn;Menn;0.468
400105;Kjønn;Kvinner;0.532
400106;Kjønn;Menn;0.452
400106;Kjønn;Kvinner;0.548
400301;Kjønn;Menn;0.458
400301;Kjønn;Kvinner;0.542
400302;Kjønn;Menn;0.433
400302;Kjønn;Kvinner;0.567
400303;Kjønn;Menn;0.443
400303;Kjønn;Kvinner;0.557
400304;Kjønn;Menn;0.436
400304;Kjønn;Kvinner;0.564
400305;Kjønn;Menn;0.462
400305;Kjønn;Kvinner;0.538
400306;Kjønn;Menn;0.441
400306;Kjønn;Kvinner;0.559
400307;Kjønn;Menn;0.453
400307;Kjønn;Kvinner;0.547
400308;Kjønn;Menn;0.453
400308;Kjønn;Kvinner;0.547
400309;Kjønn;Menn;0.471
400309;Kjønn;Kvinner;0.529
400310;Kjønn;Menn;0.432
400310;Kjønn;Kvinner;0.568
400311;Kjønn;Menn;0.418
400311;Kjønn;Kvinner;0.582
400312;Kjønn;Menn;0.435
400312;Kjønn;Kvinner;0.565
400313;Kjønn;Menn;0.437
400313;Kjønn;Kvinner;0.563
400501;Kjønn;Menn;0.478
400501;Kjønn;Kvinner;0.522
400502;Kjønn;Menn;0.45
400502;Kjønn;Kvinner;0.55
400503;Kjønn;Menn;0.445
400503;Kjønn;Kvinner;0.555
401099;Kjønn;Menn;0.474
401099;Kjønn;Kvinner;0.526
401201;Kjønn;Menn;0.472
401201;Kjønn;Kvinner;0.528
401202;Kjønn;Menn;0.437
401202;Kjønn;Kvinner;0.563
401203;Kjønn;Menn;0.477
401203;Kjønn;Kvinner;0.523
401401;Kjønn;Menn;0.428
401401;Kjønn;Kvinner;0.572
401402;Kjønn;Menn;0.438
401402;Kjønn;Kvinner;0.562
401601;Kjønn;Menn;0.469
401601;Kjønn;Kvinner;0.531
401602;Kjønn;Menn;0.436
401602;Kjønn;Kvinner;0.564
401801;Kjønn;Menn;0.423
401801;Kjønn;Kvinner;0.577
401802;Kjønn;Menn;0.428
401802;Kjønn;Kvinner;0.572
402001;Kjønn;Menn;0.433
402001;Kjønn;Kvinner;0.567
402002;Kjønn;Menn;0.41
402002;Kjønn;Kvinner;0.59
402003;Kjønn;Menn;0.412
402003;Kjønn;Kvinner;0.588
402299;Kjønn;Menn;0.426
402299;Kjønn;Kvinner;0.574
402499;Kjønn;Menn;0.436
402499;Kjønn;Kvinner;0.564
402601;Kjønn;Menn;0.433
402601;Kjønn;Kvinner;0.567
402602;Kjønn;Menn;0.457
402602;Kjønn;Kvinner;0.543
402899;Kjønn;Menn;0.429
402899;Kjønn;Kvinner;0.571
403099;Kjønn;Menn;0.432
403099;Kjønn;Kvinner;0.568
403299;Kjønn;Menn;0.417
403299;Kjønn;Kvinner;0.583
403499;Kjønn;Menn;0.44
403499;Kjønn;Kvinner;0.56
403601;Kjønn;Menn;0.412
403601;Kjønn;Kvinner;0.588
403602;Kjønn;Menn;0.393
403602;Kjønn;Kvinner;0.607
400101;Alder;18-29 år;0.081
400101;Alder;30-44 år;0.231
400101;Alder;45-59 år;0.285
400101;Alder;60 år eller eldre;0.403
400102;Alder;18-29 år;0.133
400102;Alder;30-44 år;0.176
400102;Alder;45-59 år;0.28
400102;Alder;60 år eller eldre;0.411
400103;Alder;18-29 år;0.105
400103;Alder;30-44 år;0.192
400103;Alder;45-59 år;0.277
400103;Alder;60 år eller eldre;0.427
400104;Alder;18-29 år;0.122
400104;Alder;30-44 år;0.22
400104;Alder;45-59 år;0.299
400104;Alder;60 år eller eldre;0.358
400105;Alder;18-29 år;0.114
400105;Alder;30-44 år;0.204
400105;Alder;45-59 år;0.289
400105;Alder;60 år eller eldre;0.393
400106;Alder;18-29 år;0.131
400106;Alder;30-44 år;0.205
400106;Alder;45-59 år;0.298
400106;Alder;60 år eller eldre;0.365
400301;Alder;18-29 år;0.116
400301;Alder;30-44 år;0.248
400301;Alder;45-59 år;0.294
400301;Alder;60 år eller eldre;0.342
400302;Alder;18-29 år;0.106
400302;Alder;30-44 år;0.202
400302;Alder;45-59 år;0.29
400302;Alder;60 år eller eldre;0.402
400303;Alder;18-29 år;0.124
400303;Alder;30-44 år;0.245
400303;Alder;45-59 år;0.282
400303;Alder;60 år eller eldre;0.349
400304;Alder;18-29 år;0.103
400304;Alder;30-44 år;0.175
400304;Alder;45-59 år;0.241
400304;Alder;60 år eller eldre;0.481
400305;Alder;18-29 år;0.101
400305;Alder;30-44 år;0.197
400305;Alder;45-59 år;0.332
400305;Alder;60 år eller eldre;0.369
400306;Alder;18-29 år;0.104
400306;Alder;30-44 år;0.173
400306;Alder;45-59 år;0.263
400306;Alder;60 år eller eldre;0.46
400307;Alder;18-29 år;0.125
400307;Alder;30-44 år;0.195
400307;Alder;45-59 år;0.247
400307;Alder;60 år eller eldre;0.433
400308;Alder;18-29 år;0.087
400308;Alder;30-44 år;0.181
400308;Alder;45-59 år;0.278
400308;Alder;60 år eller eldre;0.455
400309;Alder;18-29 år;0.119
400309;Alder;30-44 år;0.202
400309;Alder;45-59 år;0.3
400309;Alder;60 år eller eldre;0.379
400310;Alder;18-29 år;0.087
400310;Alder;30-44 år;0.211
400310;Alder;45-59 år;0.248
400310;Alder;60 år eller eldre;0.454
400311;Alder;18-29 år;0.112
400311;Alder;30-44 år;0.238
400311;Alder;45-59 år;0.264
400311;Alder;60 år eller eldre;0.386
400312;Alder;18-29 år;0.116
400312;Alder;30-44 år;0.249
400312;Alder;45-59 år;0.315
400312;Alder;60 år eller eldre;0.32
400313;Alder;18-29 år;0.103
400313;Alder;30-44 år;0.259
400313;Alder;45-59 år;0.3
400313;Alder;60 år eller eldre;0.338
400501;Alder;18-29 år;0.131
400501;Alder;30-44 år;0.147
400501;Alder;45-59 år;0.253
400501;Alder;60 år eller eldre;0.469
400502;Alder;18-29 år;0.121
400502;Alder;30-44 år;0.22
400502;Alder;45-59 år;0.261
400502;Alder;60 år eller eldre;0.398
400503;Alder;18-29 år;0.084
400503;Alder;30-44 år;0.205
400503;Alder;45-59 år;0.305
400503;Alder;60 år eller eldre;0.405
401099;Alder;18-29 år;0.091
401099;Alder;30-44 år;0.195
401099;Alder;45-59 år;0.268
401099;Alder;60 år eller eldre;0.447
401201;Alder;18-29 år;0.105
401201;Alder;30-44 år;0.214
401201;Alder;45-59 år;0.299
401201;Alder;60 år eller eldre;0.382
401202;Alder;18-29 år;0.113
401202;Alder;30-44 år;0.171
401202;Alder;45-59 år;0.253
401202;Alder;60 år eller eldre;0.463
401203;Alder;18-29 år;0.09
401203;Alder;30-44 år;0.163
401203;Alder;45-59 år;0.277
401203;Alder;60 år eller eldre;0.47
401401;Alder;18-29 år;0.104
401401;Alder;30-44 år;0.177
401401;Alder;45-59 år;0.303
401401;Alder;60 år eller eldre;0.416
401402;Alder;18-29 år;0.074
401402;Alder;30-44 år;0.174
401402;Alder;45-59 år;0.273
401402;Alder;60 år eller eldre;0.479
401601;Alder;18-29 år;0.13
401601;Alder;30-44 år;0.174
401601;Alder;45-59 år;0.311
