Levekårssone;Svarprosent_per_levekårssone
400101;39.6923076923077
400102;41
400103;42.5384615384615
400104;39.0769230769231
400105;39.9230769230769
400106;40.4615384615385
400301;37.1538461538462
400302;41.9230769230769
400303;37.6923076923077
400304;45.3846153846154
400305;43.3076923076923
400306;43.6153846153846
400307;42.3076923076923
400308;47.759932375317
400309;36.9230769230769
400310;44.9230769230769
400311;36.4615384615385
400312;42.3076923076923
400313;36.4615384615385
400501;37.6923076923077
400502;40.1538461538462
400503;44.6153846153846
401099;39.9230769230769
401201;35.2307692307692
401202;41.3846153846154
401203;44.2307692307692
401401;38.3076923076923
401402;43.3846153846154
401601;46.5918895599655
401602;43.0769230769231
401801;44.7692307692308
401802;41.6923076923077
402001;42.7692307692308
402002;48.2307692307692
402003;45.6923076923077
402299;44.0769230769231
402499;41.151566469094
402601;44.6153846153846
402602;46.6153846153846
402899;46.7692307692308
403099;45.33702677747
403299;54.3157894736842
403499;47.6923076923077
403601;48.3846153846154
403602;47.9901558654635
