Årsak,Alle,18-29 år,30-44 år,45-49 år,60 år og eldre
Fornøyde med boligen,86,78,87,87,86
Trives i nabolaget der boligen ligger,49,60,51,44,49
Er fornøyde med hagen/uteområdet,45,49,55,48,38
Trenger plassen i boligen til familie og besøk,22,26,36,23,16
Har ikke råd til å bytte bolig,9,17,13,9,7
Annen årsak,6,11,7,6,5
Har ikke kapasitet til å bytte bolig,4,6,6,4,3
Finner ikke passende bolig i ønsket området,3,6,4,2,2
