,
At den er tilpasset alderen og helsen min,54
Nærhet til service- og kulturtilbud,44
Nærhet til natur,43
Mindre vedlikehold,40
Egen hage/uteområde,39
Lave bokostnader,36
Nærhet til kollektivtransport,29
Mer plass,23
Sosialt bomiljø som mulighet til sosial omgang med naboer,23
Mindre plass,14
Annet,11
