Kvalitet,18-29 år,30-44 år, 45-59 år,60 år og eldre,
At den er tilpasset alderen og helsen min,22,22,58,85
Nærhet til service- og kulturtilbud,48,37,40,50
Nærhet til natur,52,51,43,34
Mindre vedlikehold,12,27,52,51
Egen hage/uteområde,57,59,36,20
Lave bokostnader,46,40,34,29
Nærhet til kollektivtransport,33,26,25,31
Mer plass,56,47,11,2
Sosialt bomiljø som mulighet til sosial omgang med naboer,29,25,17,23
Mindre plass,1,7,21,20
Annet,17,17,11,4
