Årsak,18-29 år,30-44 år,45-49 år,60 år og eldre
Fornøyde med boligen,78,87,87,86
Trives i nabolaget der boligen ligger,60,51,44,49
Er fornøyde med hagen/uteområdet,49,55,48,38
Trenger plassen i boligen til familie og besøk,26,36,23,16
Har ikke råd til å bytte bolig,17,13,9,7
Annen årsak,11,7,6,5
Har ikke kapasitet til å bytte bolig,6,6,4,3
Finner ikke passende bolig i ønsket området,6,4,2,2
