Kommunenummer,Kommune,År,Bygningstype,Sort_Bygningstype,Bygningstype_4_gr,Sort_Bygningstype_4_gr,Antall
4001,Porsgrunn,01.01.2022,Bygning for bofellesskap,6,Annen boligbygging,4,693
4001,Porsgrunn,01.01.2022,Andre bygningstyper,5,Annen boligbygging,4,488
4001,Porsgrunn,01.01.2023,Enebolig,1,Enebolig,1,9122
4001,Porsgrunn,01.01.2023,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,1362
4001,Porsgrunn,01.01.2023,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2832
4001,Porsgrunn,01.01.2023,Boligblokk,2,Leilighet,2,3474
4001,Porsgrunn,01.01.2023,Bygning for bofellesskap,6,Annen boligbygging,4,693
4001,Porsgrunn,01.01.2023,Andre bygningstyper,5,Annen boligbygging,4,477
4001,Porsgrunn,01.01.2024,Enebolig,1,Enebolig,1,9136
4001,Porsgrunn,01.01.2024,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,1386
4001,Porsgrunn,01.01.2024,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2872
4001,Porsgrunn,01.01.2024,Boligblokk,2,Leilighet,2,3545
4001,Porsgrunn,01.01.2024,Bygning for bofellesskap,6,Annen boligbygging,4,693
4001,Porsgrunn,01.01.2024,Andre bygningstyper,5,Annen boligbygging,4,472
4001,Porsgrunn,01.01.2025,Enebolig,1,Enebolig,1,9152
4001,Porsgrunn,01.01.2025,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,1396
4001,Porsgrunn,01.01.2025,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2885
4001,Porsgrunn,01.01.2025,Boligblokk,2,Leilighet,2,3562
4001,Porsgrunn,01.01.2025,Bygning for bofellesskap,6,Annen boligbygging,4,693
4001,Porsgrunn,01.01.2025,Andre bygningstyper,5,Annen boligbygging,4,473
4001,Porsgrunn,01.01.2026,Enebolig,1,Enebolig,1,9167
4001,Porsgrunn,01.01.2026,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,1409
4001,Porsgrunn,01.01.2026,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2908
4001,Porsgrunn,01.01.2026,Boligblokk,2,Leilighet,2,3590
4001,Porsgrunn,01.01.2026,Bygning for bofellesskap,6,Annen boligbygging,4,925
4001,Porsgrunn,01.01.2026,Andre bygningstyper,5,Annen boligbygging,4,472
4003,Skien,01.01.2013,Enebolig,1,Enebolig,1,13799
4003,Skien,01.01.2013,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,2323
4003,Skien,01.01.2013,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2969
4003,Skien,01.01.2013,Boligblokk,2,Leilighet,2,4430
4003,Skien,01.01.2013,Bygning for bofellesskap,6,Annen boligbygging,4,121
4003,Skien,01.01.2013,Andre bygningstyper,5,Annen boligbygging,4,901
4003,Skien,01.01.2014,Enebolig,1,Enebolig,1,13848
4003,Skien,01.01.2014,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,2381
4003,Skien,01.01.2014,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,2996
4003,Skien,01.01.2014,Boligblokk,2,Leilighet,2,4491
4003,Skien,01.01.2014,Bygning for bofellesskap,6,Annen boligbygging,4,121
4003,Skien,01.01.2014,Andre bygningstyper,5,Annen boligbygging,4,911
4003,Skien,01.01.2015,Enebolig,1,Enebolig,1,13902
4003,Skien,01.01.2015,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,2445
4003,Skien,01.01.2015,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,3017
