Kommunenummer,Kommune,År,Bygningstype,Sort_Bygningstype,Bygningstype_6_gr,Sort_Bygningstype_6_gr,Bygningstype_5_gr,Sort_Bygningstype_5_gr,Antall
4005,Notodden,01.01.2022,Enebolig,1,Enebolig,1,Enebolig,1,5
4005,Notodden,01.01.2023,Enebolig,1,Enebolig,1,Enebolig,1,4
4005,Notodden,01.01.2024,Enebolig,1,Enebolig,1,Enebolig,1,2
4005,Notodden,01.01.2025,Enebolig,1,Enebolig,1,Enebolig,1,6
4010,Siljan,01.01.2000,Enebolig,1,Enebolig,1,Enebolig,1,6
4010,Siljan,01.01.2001,Enebolig,1,Enebolig,1,Enebolig,1,8
4010,Siljan,01.01.2002,Enebolig,1,Enebolig,1,Enebolig,1,1
4010,Siljan,01.01.2003,Enebolig,1,Enebolig,1,Enebolig,1,3
4010,Siljan,01.01.2004,Enebolig,1,Enebolig,1,Enebolig,1,5
4010,Siljan,01.01.2005,Enebolig,1,Enebolig,1,Enebolig,1,2
4010,Siljan,01.01.2006,Enebolig,1,Enebolig,1,Enebolig,1,12
4010,Siljan,01.01.2007,Enebolig,1,Enebolig,1,Enebolig,1,13
4010,Siljan,01.01.2008,Enebolig,1,Enebolig,1,Enebolig,1,10
4010,Siljan,01.01.2009,Enebolig,1,Enebolig,1,Enebolig,1,4
4010,Siljan,01.01.2010,Enebolig,1,Enebolig,1,Enebolig,1,3
4010,Siljan,01.01.2011,Enebolig,1,Enebolig,1,Enebolig,1,2
4010,Siljan,01.01.2012,Enebolig,1,Enebolig,1,Enebolig,1,0
4010,Siljan,01.01.2013,Enebolig,1,Enebolig,1,Enebolig,1,2
4010,Siljan,01.01.2014,Enebolig,1,Enebolig,1,Enebolig,1,3
4010,Siljan,01.01.2015,Enebolig,1,Enebolig,1,Enebolig,1,7
4010,Siljan,01.01.2016,Enebolig,1,Enebolig,1,Enebolig,1,2
4010,Siljan,01.01.2017,Enebolig,1,Enebolig,1,Enebolig,1,8
4010,Siljan,01.01.2018,Enebolig,1,Enebolig,1,Enebolig,1,3
4010,Siljan,01.01.2019,Enebolig,1,Enebolig,1,Enebolig,1,4
4010,Siljan,01.01.2020,Enebolig,1,Enebolig,1,Enebolig,1,2
4010,Siljan,01.01.2021,Enebolig,1,Enebolig,1,Enebolig,1,12
4010,Siljan,01.01.2022,Enebolig,1,Enebolig,1,Enebolig,1,5
4010,Siljan,01.01.2023,Enebolig,1,Enebolig,1,Enebolig,1,2
4010,Siljan,01.01.2024,Enebolig,1,Enebolig,1,Enebolig,1,2
4010,Siljan,01.01.2025,Enebolig,1,Enebolig,1,Enebolig,1,5
4012,Bamble,01.01.2000,Enebolig,1,Enebolig,1,Enebolig,1,3
4012,Bamble,01.01.2001,Enebolig,1,Enebolig,1,Enebolig,1,1
4012,Bamble,01.01.2002,Enebolig,1,Enebolig,1,Enebolig,1,19
4012,Bamble,01.01.2003,Enebolig,1,Enebolig,1,Enebolig,1,2
4012,Bamble,01.01.2004,Enebolig,1,Enebolig,1,Enebolig,1,4
4012,Bamble,01.01.2005,Enebolig,1,Enebolig,1,Enebolig,1,12
4012,Bamble,01.01.2006,Enebolig,1,Enebolig,1,Enebolig,1,20
4012,Bamble,01.01.2007,Enebolig,1,Enebolig,1,Enebolig,1,13
4012,Bamble,01.01.2008,Enebolig,1,Enebolig,1,Enebolig,1,0
4012,Bamble,01.01.2009,Enebolig,1,Enebolig,1,Enebolig,1,49
4012,Bamble,01.01.2010,Enebolig,1,Enebolig,1,Enebolig,1,32
4012,Bamble,01.01.2011,Enebolig,1,Enebolig,1,Enebolig,1,24
4012,Bamble,01.01.2012,Enebolig,1,Enebolig,1,Enebolig,1,31
4012,Bamble,01.01.2013,Enebolig,1,Enebolig,1,Enebolig,1,15
4012,Bamble,01.01.2014,Enebolig,1,Enebolig,1,Enebolig,1,26
4012,Bamble,01.01.2015,Enebolig,1,Enebolig,1,Enebolig,1,21
4012,Bamble,01.01.2016,Enebolig,1,Enebolig,1,Enebolig,1,12
4012,Bamble,01.01.2017,Enebolig,1,Enebolig,1,Enebolig,1,17
4012,Bamble,01.01.2018,Enebolig,1,Enebolig,1,Enebolig,1,7
4012,Bamble,01.01.2019,Enebolig,1,Enebolig,1,Enebolig,1,10
4012,Bamble,01.01.2020,Enebolig,1,Enebolig,1,Enebolig,1,27
4012,Bamble,01.01.2021,Enebolig,1,Enebolig,1,Enebolig,1,15
4012,Bamble,01.01.2022,Enebolig,1,Enebolig,1,Enebolig,1,12
4012,Bamble,01.01.2023,Enebolig,1,Enebolig,1,Enebolig,1,4
4012,Bamble,01.01.2024,Enebolig,1,Enebolig,1,Enebolig,1,5
4012,Bamble,01.01.2025,Enebolig,1,Enebolig,1,Enebolig,1,6
4014,Kragerø,01.01.2000,Enebolig,1,Enebolig,1,Enebolig,1,9
4014,Kragerø,01.01.2001,Enebolig,1,Enebolig,1,Enebolig,1,12
4014,Kragerø,01.01.2002,Enebolig,1,Enebolig,1,Enebolig,1,5
4014,Kragerø,01.01.2003,Enebolig,1,Enebolig,1,Enebolig,1,4
4014,Kragerø,01.01.2004,Enebolig,1,Enebolig,1,Enebolig,1,11
4014,Kragerø,01.01.2005,Enebolig,1,Enebolig,1,Enebolig,1,19
4014,Kragerø,01.01.2006,Enebolig,1,Enebolig,1,Enebolig,1,14
4014,Kragerø,01.01.2007,Enebolig,1,Enebolig,1,Enebolig,1,2
4014,Kragerø,01.01.2008,Enebolig,1,Enebolig,1,Enebolig,1,14
4014,Kragerø,01.01.2009,Enebolig,1,Enebolig,1,Enebolig,1,32
4014,Kragerø,01.01.2010,Enebolig,1,Enebolig,1,Enebolig,1,17
4014,Kragerø,01.01.2011,Enebolig,1,Enebolig,1,Enebolig,1,16
4014,Kragerø,01.01.2012,Enebolig,1,Enebolig,1,Enebolig,1,28
4014,Kragerø,01.01.2013,Enebolig,1,Enebolig,1,Enebolig,1,18
4014,Kragerø,01.01.2014,Enebolig,1,Enebolig,1,Enebolig,1,14
4014,Kragerø,01.01.2015,Enebolig,1,Enebolig,1,Enebolig,1,14
4014,Kragerø,01.01.2016,Enebolig,1,Enebolig,1,Enebolig,1,11
4014,Kragerø,01.01.2017,Enebolig,1,Enebolig,1,Enebolig,1,7
4014,Kragerø,01.01.2018,Enebolig,1,Enebolig,1,Enebolig,1,8
4014,Kragerø,01.01.2019,Enebolig,1,Enebolig,1,Enebolig,1,12
4014,Kragerø,01.01.2020,Enebolig,1,Enebolig,1,Enebolig,1,12
4014,Kragerø,01.01.2021,Enebolig,1,Enebolig,1,Enebolig,1,12
4014,Kragerø,01.01.2022,Enebolig,1,Enebolig,1,Enebolig,1,3
4014,Kragerø,01.01.2023,Enebolig,1,Enebolig,1,Enebolig,1,7
4014,Kragerø,01.01.2024,Enebolig,1,Enebolig,1,Enebolig,1,11
4014,Kragerø,01.01.2025,Enebolig,1,Enebolig,1,Enebolig,1,8
4016,Drangedal,01.01.2000,Enebolig,1,Enebolig,1,Enebolig,1,12
4016,Drangedal,01.01.2001,Enebolig,1,Enebolig,1,Enebolig,1,4
4016,Drangedal,01.01.2002,Enebolig,1,Enebolig,1,Enebolig,1,8
4016,Drangedal,01.01.2003,Enebolig,1,Enebolig,1,Enebolig,1,3
4016,Drangedal,01.01.2004,Enebolig,1,Enebolig,1,Enebolig,1,12
4016,Drangedal,01.01.2005,Enebolig,1,Enebolig,1,Enebolig,1,3
4016,Drangedal,01.01.2006,Enebolig,1,Enebolig,1,Enebolig,1,2
4016,Drangedal,01.01.2007,Enebolig,1,Enebolig,1,Enebolig,1,5
4016,Drangedal,01.01.2008,Enebolig,1,Enebolig,1,Enebolig,1,7
4016,Drangedal,01.01.2009,Enebolig,1,Enebolig,1,Enebolig,1,7
4016,Drangedal,01.01.2010,Enebolig,1,Enebolig,1,Enebolig,1,0
4016,Drangedal,01.01.2011,Enebolig,1,Enebolig,1,Enebolig,1,4
4016,Drangedal,01.01.2012,Enebolig,1,Enebolig,1,Enebolig,1,1
4016,Drangedal,01.01.2013,Enebolig,1,Enebolig,1,Enebolig,1,2
4016,Drangedal,01.01.2014,Enebolig,1,Enebolig,1,Enebolig,1,4
4016,Drangedal,01.01.2015,Enebolig,1,Enebolig,1,Enebolig,1,11
4016,Drangedal,01.01.2016,Enebolig,1,Enebolig,1,Enebolig,1,6
4016,Drangedal,01.01.2017,Enebolig,1,Enebolig,1,Enebolig,1,3
4016,Drangedal,01.01.2018,Enebolig,1,Enebolig,1,Enebolig,1,4
4016,Drangedal,01.01.2019,Enebolig,1,Enebolig,1,Enebolig,1,8
4016,Drangedal,01.01.2020,Enebolig,1,Enebolig,1,Enebolig,1,4
4016,Drangedal,01.01.2021,Enebolig,1,Enebolig,1,Enebolig,1,2
4016,Drangedal,01.01.2022,Enebolig,1,Enebolig,1,Enebolig,1,1
4016,Drangedal,01.01.2023,Enebolig,1,Enebolig,1,Enebolig,1,4
4016,Drangedal,01.01.2024,Enebolig,1,Enebolig,1,Enebolig,1,6
4016,Drangedal,01.01.2025,Enebolig,1,Enebolig,1,Enebolig,1,6
4018,Nome,01.01.2000,Enebolig,1,Enebolig,1,Enebolig,1,5
