Kommunenummer,Kommune,Andel
4001,Porsgrunn,0.8158
4003,Skien,0.82
4005,Notodden,0.7978
4010,Siljan,0.8668
4012,Bamble,0.8433
4014,Kragerø,0.84
4016,Drangedal,0.7983
4018,Nome,0.8037
4020,Midt-Telemark,0.7427
4022,Seljord,0.8178
4024,Hjartdal,0.7851
4026,Tinn,0.8149
4028,Kviteseid,0.8004
4030,Nissedal,0.8294
4032,Fyresdal,0.7814
4034,Tokke,0.813
4036,Vinje,0.7953
