Kommunenummer,Kommune,År,Bygningstype,SortBygningstype,Største bygningstyper,SortStorsteBygningstype,Antall
4001,Porsgrunn,01.01.2002,Studenthjem/studentboliger,15,Andre,10,0
4001,Porsgrunn,01.01.2002,Annen bygning for bofellesskap,19,Andre,10,0
4001,Porsgrunn,01.01.2002,Andre bygg enn boligbygg,11,Andre,10,3
4001,Porsgrunn,01.01.2003,Enebolig,1,Enebolig,1,27
4001,Porsgrunn,01.01.2003,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,12
4001,Porsgrunn,01.01.2003,Våningshus,8,Våningshus,8,1
4001,Porsgrunn,01.01.2003,"Del av tomannsbolig, vertikaldelt",4,"Del av tomannsbolig, vertikaldelt",4,0
4001,Porsgrunn,01.01.2003,"Tomannsbolig, horisontaldelt",13,Andre,10,2
4001,Porsgrunn,01.01.2003,"Del av våninghus  tomannsbustad, vertikaltdelt",21,Andre,10,0
4001,Porsgrunn,01.01.2003,"Våningshus tomannsbolig, horisontaltdelt",20,Andre,10,0
4001,Porsgrunn,01.01.2003,Rekkehus,7,Rekkehus,7,3
4001,Porsgrunn,01.01.2003,Kjedehus inkl.atriumhus,14,Andre,10,3
4001,Porsgrunn,01.01.2003,Terrassehus,18,Andre,10,0
4001,Porsgrunn,01.01.2003,Andre småhus med 3 boliger eller flere,6,Andre småhus med 3 boliger eller flere,6,3
4001,Porsgrunn,01.01.2003,Store frittliggende boligbygg på 2 etasjer,12,Andre,10,0
4001,Porsgrunn,01.01.2003,Store frittliggende boligbygg på 3 og 4 etasjer,3,Store frittliggende boligbygg på 3 og 4 etasjer,3,9
4001,Porsgrunn,01.01.2003,Store frittliggende boligbygg på 5 etasjer eller over,2,Store frittliggende boligbygg på 5 etasjer eller over,2,0
4001,Porsgrunn,01.01.2003,Stort sammenbygd boligbygg på 2 etasjer,17,Andre,10,0
4001,Porsgrunn,01.01.2003,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,0
4001,Porsgrunn,01.01.2003,Stort sammenbygd boligbygg på 5 etasjer eller over,10,Andre,10,0
4001,Porsgrunn,01.01.2003,Bo- og servicesenter,16,Andre,10,0
4001,Porsgrunn,01.01.2003,Studenthjem/studentboliger,15,Andre,10,0
4001,Porsgrunn,01.01.2003,Annen bygning for bofellesskap,19,Andre,10,7
4001,Porsgrunn,01.01.2003,Andre bygg enn boligbygg,11,Andre,10,17
4001,Porsgrunn,01.01.2004,Enebolig,1,Enebolig,1,15
4001,Porsgrunn,01.01.2004,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,7
4001,Porsgrunn,01.01.2004,Våningshus,8,Våningshus,8,0
4001,Porsgrunn,01.01.2004,"Del av tomannsbolig, vertikaldelt",4,"Del av tomannsbolig, vertikaldelt",4,2
4001,Porsgrunn,01.01.2004,"Tomannsbolig, horisontaldelt",13,Andre,10,2
4001,Porsgrunn,01.01.2004,"Del av våninghus  tomannsbustad, vertikaltdelt",21,Andre,10,0
