Kommunenummer,Kommune,År,Husholdningstype,SortHusholdningstype,Antall
4016,Drangedal,01.01.2014,Aleneboende,1,681
4016,Drangedal,01.01.2014,Aleneforsørger med barn under 18 år,4,81
4016,Drangedal,01.01.2014,Andre husholdninger,0,0
4016,Drangedal,01.01.2014,Flerfamiliehusholdninger,6,74
4016,Drangedal,01.01.2014,Par eller aleneforsørger med voksne barn (18+),3,175
4016,Drangedal,01.01.2014,Par med barn under 18 år,5,361
4016,Drangedal,01.01.2014,Par uten hjemmeboende barn,2,439
4016,Drangedal,01.01.2015,Aleneboende,1,682
4016,Drangedal,01.01.2015,Aleneforsørger med barn under 18 år,4,85
4016,Drangedal,01.01.2015,Andre husholdninger,0,0
4016,Drangedal,01.01.2015,Flerfamiliehusholdninger,6,77
4016,Drangedal,01.01.2015,Par eller aleneforsørger med voksne barn (18+),3,171
4016,Drangedal,01.01.2015,Par med barn under 18 år,5,357
4016,Drangedal,01.01.2015,Par uten hjemmeboende barn,2,443
4016,Drangedal,01.01.2016,Aleneboende,1,697
4016,Drangedal,01.01.2016,Aleneforsørger med barn under 18 år,4,83
4016,Drangedal,01.01.2016,Andre husholdninger,0,0
4016,Drangedal,01.01.2016,Flerfamiliehusholdninger,6,78
4016,Drangedal,01.01.2016,Par eller aleneforsørger med voksne barn (18+),3,173
4016,Drangedal,01.01.2016,Par med barn under 18 år,5,351
4016,Drangedal,01.01.2016,Par uten hjemmeboende barn,2,446
4016,Drangedal,01.01.2017,Aleneboende,1,707
4016,Drangedal,01.01.2017,Aleneforsørger med barn under 18 år,4,90
4016,Drangedal,01.01.2017,Andre husholdninger,0,0
4016,Drangedal,01.01.2017,Flerfamiliehusholdninger,6,67
4016,Drangedal,01.01.2017,Par eller aleneforsørger med voksne barn (18+),3,175
4016,Drangedal,01.01.2017,Par med barn under 18 år,5,350
4016,Drangedal,01.01.2017,Par uten hjemmeboende barn,2,458
4016,Drangedal,01.01.2018,Aleneboende,1,719
4016,Drangedal,01.01.2018,Aleneforsørger med barn under 18 år,4,90
4016,Drangedal,01.01.2018,Andre husholdninger,0,0
4016,Drangedal,01.01.2018,Flerfamiliehusholdninger,6,65
4016,Drangedal,01.01.2018,Par eller aleneforsørger med voksne barn (18+),3,157
4016,Drangedal,01.01.2018,Par med barn under 18 år,5,346
4016,Drangedal,01.01.2018,Par uten hjemmeboende barn,2,478
4016,Drangedal,01.01.2019,Aleneboende,1,732
4016,Drangedal,01.01.2019,Aleneforsørger med barn under 18 år,4,84
4016,Drangedal,01.01.2019,Andre husholdninger,0,0
4016,Drangedal,01.01.2019,Flerfamiliehusholdninger,6,57
4016,Drangedal,01.01.2019,Par eller aleneforsørger med voksne barn (18+),3,154
4016,Drangedal,01.01.2019,Par med barn under 18 år,5,352
4016,Drangedal,01.01.2019,Par uten hjemmeboende barn,2,477
4016,Drangedal,01.01.2020,Aleneboende,1,731
4016,Drangedal,01.01.2020,Aleneforsørger med barn under 18 år,4,77
4016,Drangedal,01.01.2020,Andre husholdninger,0,0
4016,Drangedal,01.01.2020,Flerfamiliehusholdninger,6,62
4016,Drangedal,01.01.2020,Par eller aleneforsørger med voksne barn (18+),3,160
4016,Drangedal,01.01.2020,Par med barn under 18 år,5,346
4016,Drangedal,01.01.2020,Par uten hjemmeboende barn,2,486
4016,Drangedal,01.01.2021,Aleneboende,1,753
4016,Drangedal,01.01.2021,Aleneforsørger med barn under 18 år,4,68
4016,Drangedal,01.01.2021,Andre husholdninger,0,0
