Kommunenummer,Kommune,Alder,SortAlder,År,Bygningstype,SortBygningstype,Antall,Andel
4003,Skien,67-79 år,4,01.01.2024,Boligblokk,3,1683.0,0.09817990899544977
4003,Skien,67-79 år,4,01.01.2024,Boliger i alt,1,7605.0,0.06867437240382879
4003,Skien,67-79 år,4,01.01.2024,Enebolig,2,4317.0,0.06391957120435902
4003,Skien,67-79 år,4,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,897.0,0.07518860016764459
4003,Skien,67-79 år,4,01.01.2024,Tomannsbolig,5,565.0,0.04915608143379154
4003,Skien,80+,5,01.01.2024,Annen boligbygning,6,107.0,0.04059180576631259
4003,Skien,80+,5,01.01.2024,Boligblokk,3,923.0,0.0538443588846109
4003,Skien,80+,5,01.01.2024,Boliger i alt,1,2743.0,0.02476973090121004
4003,Skien,80+,5,01.01.2024,Enebolig,2,1228.0,0.018182356599247832
4003,Skien,80+,5,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,300.0,0.025146689019279127
4003,Skien,80+,5,01.01.2024,Tomannsbolig,5,185.0,0.01609535409779015
4003,Skien,Alle aldre,6,01.01.2024,Annen boligbygning,6,1318.0,0.5
4003,Skien,Alle aldre,6,01.01.2024,Boligblokk,3,8571.0,0.5
4003,Skien,Alle aldre,6,01.01.2024,Boliger i alt,1,55370.0,0.5
4003,Skien,Alle aldre,6,01.01.2024,Enebolig,2,33769.0,0.5
4003,Skien,Alle aldre,6,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,5965.0,0.5
4003,Skien,Alle aldre,6,01.01.2024,Tomannsbolig,5,5747.0,0.5
4005,Notodden,0-19 år,1,01.01.2024,Annen boligbygning,6,89.0,0.05534825870646766
4005,Notodden,0-19 år,1,01.01.2024,Boligblokk,3,44.0,0.043052837573385516
4005,Notodden,0-19 år,1,01.01.2024,Boliger i alt,1,2769.0,0.10567088994046711
4005,Notodden,0-19 år,1,01.01.2024,Enebolig,2,2273.0,0.11460118987597055
4005,Notodden,0-19 år,1,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,156.0,0.08637873754152824
4005,Notodden,0-19 år,1,01.01.2024,Tomannsbolig,5,207.0,0.10703205791106515
4005,Notodden,20-39 år,2,01.01.2024,Annen boligbygning,6,324.0,0.20149253731343283
4005,Notodden,20-39 år,2,01.01.2024,Boligblokk,3,107.0,0.10469667318982387
4005,Notodden,20-39 år,2,01.01.2024,Boliger i alt,1,3083.0,0.11765379331399786
4005,Notodden,20-39 år,2,01.01.2024,Enebolig,2,2194.0,0.11061813048300898
4005,Notodden,20-39 år,2,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,217.0,0.12015503875968993
4005,Notodden,20-39 år,2,01.01.2024,Tomannsbolig,5,241.0,0.12461220268872802
4005,Notodden,40-66 år,3,01.01.2024,Annen boligbygning,6,211.0,0.13121890547263682
4005,Notodden,40-66 år,3,01.01.2024,Boligblokk,3,132.0,0.12915851272015655
4005,Notodden,40-66 år,3,01.01.2024,Boliger i alt,1,4604.0,0.1756983666615784
4005,Notodden,40-66 år,3,01.01.2024,Enebolig,2,3594.0,0.18120399314308763
4005,Notodden,40-66 år,3,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,330.0,0.18272425249169436
