Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Februar 2020,,,,,,2020,februar
I alt,65416.0,2.3,-2886.0,-4.0,2.4,2020,februar
Oslo,9885.0,2.5,-433.0,-4.0,2.7,2020,februar
Rogaland,5793.0,2.3,-593.0,-9.0,2.5,2020,februar
Møre og Romsdal,2922.0,2.1,-387.0,-12.0,2.4,2020,februar
Nordland,2424.0,2.0,-228.0,-9.0,2.1,2020,februar
Viken,15955.0,2.5,664.0,4.0,2.4,2020,februar
Innlandet,3818.0,2.0,-179.0,-4.0,2.1,2020,februar
Vestfold og Telemark,5870.0,2.8,-303.0,-5.0,3.0,2020,februar
Agder,3873.0,2.6,9.0,0.0,2.6,2020,februar
Vestland,7324.0,2.2,-1098.0,-13.0,2.5,2020,februar
Trøndelag - Trööndelage,4929.0,2.0,-128.0,-3.0,2.1,2020,februar
Troms og Finnmark - Romsa ja Finnmárku,2598.0,2.0,-219.0,-8.0,2.2,2020,februar
Øvrige områder,11.0,,3.0,38.0,,2020,februar
Ukjent,14.0,,6.0,75.0,,2020,februar
