Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
September 2021,,,,,,2021,september
I alt,67624.0,2.4,-37665.0,-36.0,3.7,2021,september
Oslo,12242.0,3.1,-7330.0,-37.0,4.9,2021,september
Rogaland,6066.0,2.4,-3693.0,-38.0,3.8,2021,september
Møre og Romsdal,2824.0,2.0,-1507.0,-35.0,3.1,2021,september
Nordland,2148.0,1.7,-1132.0,-35.0,2.6,2021,september
Viken,17526.0,2.7,-9292.0,-35.0,4.2,2021,september
Innlandet,3301.0,1.8,-1927.0,-37.0,2.8,2021,september
Vestfold og Telemark,5623.0,2.7,-2478.0,-31.0,3.9,2021,september
Agder,3422.0,2.2,-1881.0,-35.0,3.5,2021,september
Vestland,7717.0,2.3,-4472.0,-37.0,3.6,2021,september
Trøndelag - Trööndelage,4449.0,1.8,-2430.0,-35.0,2.8,2021,september
Troms og Finnmark - Romsa ja Finnmárku,2251.0,1.7,-1494.0,-40.0,2.9,2021,september
Øvrige områder,31.0,,-34.0,-52.0,,2021,september
Ukjent,24.0,,5.0,26.0,,2021,september
