Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mai 2019,,,,,,2019,mai
I alt,59813.0,2.1,-195.0,0.0,2.2,2019,mai
Østfold,4107.0,2.8,417.0,11.0,2.6,2019,mai
Akershus,6178.0,1.9,275.0,5.0,1.8,2019,mai
Oslo,9573.0,2.5,563.0,6.0,2.4,2019,mai
Hedmark,2011.0,2.0,358.0,22.0,1.7,2019,mai
Oppland,1624.0,1.7,193.0,13.0,1.5,2019,mai
Buskerud,3255.0,2.2,18.0,1.0,2.2,2019,mai
Vestfold,3358.0,2.7,-4.0,0.0,2.7,2019,mai
Telemark,2086.0,2.4,127.0,6.0,2.3,2019,mai
Aust-Agder,1232.0,2.2,-114.0,-8.0,2.4,2019,mai
Vest-Agder,1951.0,2.1,-217.0,-10.0,2.3,2019,mai
Rogaland,5652.0,2.2,-920.0,-14.0,2.6,2019,mai
Hordaland,6144.0,2.2,-756.0,-11.0,2.5,2019,mai
Sogn og Fjordane,834.0,1.4,54.0,7.0,1.3,2019,mai
Møre og Romsdal,2777.0,2.0,-284.0,-9.0,2.2,2019,mai
Nordland,2295.0,1.8,170.0,8.0,1.7,2019,mai
Troms Romsa,1440.0,1.6,105.0,8.0,1.5,2019,mai
Finnmark Finnmárku,1075.0,2.7,3.0,0.0,2.7,2019,mai
Trøndelag,4210.0,1.7,-190.0,-4.0,1.8,2019,mai
Øvrige områder,8.0,,4.0,100.0,,2019,mai
Ukjent,,,,,,2019,mai
