Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juli 2023,,,,,,2023,juli
I alt,54217.0,1.8,6151.0,13.0,1.7,2023,juli
Oslo,9871.0,2.4,1512.0,18.0,2.1,2023,juli
Rogaland,4346.0,1.7,131.0,3.0,1.7,2023,juli
Møre og Romsdal,2356.0,1.7,207.0,10.0,1.6,2023,juli
Nordland - Nordlánnda,1630.0,1.3,170.0,12.0,1.2,2023,juli
Viken,14420.0,2.2,1950.0,16.0,1.9,2023,juli
Innlandet,2992.0,1.6,487.0,19.0,1.3,2023,juli
Vestfold og Telemark,4607.0,2.2,475.0,11.0,2.0,2023,juli
Agder,2975.0,1.9,567.0,24.0,1.6,2023,juli
Vestland,5789.0,1.7,326.0,6.0,1.6,2023,juli
Trøndelag - Trööndelage,3424.0,1.4,371.0,12.0,1.2,2023,juli
Troms og Finnmark - Romsa ja Finnmárku,1791.0,1.4,-43.0,-2.0,1.4,2023,juli
Øvrige områder,10.0,,0.0,0.0,,2023,juli
Ukjent,6.0,,-2.0,-25.0,,2023,juli
