Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
August 2017,,,,,,2017,august
I alt,73918.0,2.7,-10751.0,-13.0,3.1,2017,august
Østfold,4261.0,3.0,-459.0,-10.0,3.3,2017,august
Akershus,6870.0,2.1,-1073.0,-14.0,2.5,2017,august
Oslo,10537.0,2.8,-1471.0,-12.0,3.2,2017,august
Hedmark,1879.0,1.9,-338.0,-15.0,2.3,2017,august
Oppland,1548.0,1.6,-334.0,-18.0,1.9,2017,august
Buskerud,3746.0,2.5,-293.0,-7.0,2.8,2017,august
Vestfold,3784.0,3.0,-164.0,-4.0,3.2,2017,august
Telemark,2433.0,2.8,-229.0,-9.0,3.0,2017,august
Aust-Agder,1876.0,3.3,-355.0,-16.0,3.9,2017,august
Vest-Agder,2987.0,3.2,-553.0,-16.0,3.7,2017,august
Rogaland,9590.0,3.8,-2158.0,-18.0,4.5,2017,august
Hordaland,8420.0,3.0,-1368.0,-14.0,3.5,2017,august
Sogn og Fjordane,954.0,1.6,19.0,2.0,1.6,2017,august
Møre og Romsdal,3895.0,2.8,-676.0,-15.0,3.2,2017,august
Sør-Trøndelag,3985.0,2.3,-402.0,-9.0,2.6,2017,august
Nord-Trøndelag,1564.0,2.2,-95.0,-6.0,2.4,2017,august
Nordland,2644.0,2.1,-552.0,-17.0,2.6,2017,august
Troms,1762.0,2.0,-86.0,-5.0,2.1,2017,august
Finnmark,1171.0,2.9,-162.0,-12.0,3.3,2017,august
Øvrige områder,10.0,,2.0,25.0,,2017,august
Ukjent,,,,,,2017,august
