Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
November 2020,,,,,,2020,november
I alt,108989.0,3.9,49532.0,83.0,2.1,2020,november
Oslo,22920.0,5.8,13553.0,145.0,2.4,2020,november
Rogaland,9331.0,3.6,3911.0,72.0,2.1,2020,november
Møre og Romsdal,4139.0,3.0,1531.0,59.0,1.9,2020,november
Nordland,3295.0,2.6,988.0,43.0,1.9,2020,november
Viken,27433.0,4.3,13170.0,92.0,2.2,2020,november
Innlandet,5564.0,3.0,2051.0,58.0,1.9,2020,november
Vestfold og Telemark,7894.0,3.8,2752.0,54.0,2.5,2020,november
Agder,5079.0,3.3,1510.0,42.0,2.4,2020,november
Vestland,12712.0,3.7,6083.0,92.0,2.0,2020,november
Trøndelag - Trööndelage,6715.0,2.7,2416.0,56.0,1.7,2020,november
Troms og Finnmark - Romsa ja Finnmárku,3800.0,2.9,1476.0,64.0,1.8,2020,november
Øvrige områder,77.0,,71.0,1183.0,,2020,november
Ukjent,30.0,,20.0,200.0,,2020,november
