Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Januar 2015,,,,,,2015,januar
I alt,82577.0,3.1,2473.0,3.0,3.0,2015,januar
Østfold,5412.0,3.8,-399.0,-7.0,4.1,2015,januar
Akershus,8360.0,2.7,486.0,6.0,2.6,2015,januar
Oslo,13250.0,3.7,-358.0,-3.0,3.8,2015,januar
Hedmark,2836.0,2.9,-312.0,-10.0,3.3,2015,januar
Oppland,2361.0,2.4,-203.0,-8.0,2.7,2015,januar
Buskerud,4389.0,3.1,105.0,2.0,3.0,2015,januar
Vestfold,4113.0,3.3,-101.0,-2.0,3.4,2015,januar
Telemark,3476.0,4.0,493.0,17.0,3.4,2015,januar
Aust-Agder,2135.0,3.7,-139.0,-6.0,4.0,2015,januar
Vest-Agder,3133.0,3.4,269.0,9.0,3.1,2015,januar
Rogaland,7065.0,2.8,1588.0,29.0,2.2,2015,januar
Hordaland,7121.0,2.6,563.0,9.0,2.4,2015,januar
Sogn og Fjordane,1260.0,2.2,-72.0,-5.0,2.3,2015,januar
Møre og Romsdal,3547.0,2.6,290.0,9.0,2.4,2015,januar
Sør-Trøndelag,4723.0,2.9,456.0,11.0,2.6,2015,januar
Nord-Trøndelag,2036.0,3.0,33.0,2.0,2.9,2015,januar
Nordland,3729.0,3.0,-182.0,-5.0,3.2,2015,januar
Troms,2001.0,2.3,-66.0,-3.0,2.4,2015,januar
Finnmark,1456.0,3.7,-60.0,-4.0,3.9,2015,januar
Øvrige områder,13.0,,3.0,30.0,,2015,januar
Ukjent,161.0,,79.0,96.0,,2015,januar
