kjønn;trygg_nærmiljø_kat;n;andel
Kvinner;IKKE TRYGG;651;6,3
Kvinner;TRYGG;9677;93,7
Menn;IKKE TRYGG;300;3,4
Menn;TRYGG;8475;96,6
