Kommune,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortKommune
Hele landet,2016-01-01,Kjønn samlet,0-44 år,Personskader (S00-T78),"per 1000, standardisert",9.3,1,3,2
Hele landet,2016-01-01,Kjønn samlet,0-44 år,Hodeskader (S00-S09),"per 1000, standardisert",2.0,1,3,2
Hele landet,2016-01-01,Kjønn samlet,0-44 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0,1,3,2
Hele landet,2016-01-01,Kjønn samlet,0-44 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.9,1,3,2
Hele landet,2016-01-01,Kjønn samlet,0-24 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",0.9,1,4,2
Hele landet,2016-01-01,Kjønn samlet,0-24 år,KOLS (J44),"per 1000, standardisert",0.0,1,4,2
Hele landet,2016-01-01,Kjønn samlet,0-24 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",4.9,1,4,2
Hele landet,2016-01-01,Kjønn samlet,0-24 år,Personskader (S00-T78),"per 1000, standardisert",10.2,1,4,2
Hele landet,2016-01-01,Kjønn samlet,0-24 år,Hodeskader (S00-S09),"per 1000, standardisert",2.5,1,4,2
Hele landet,2016-01-01,Kjønn samlet,0-24 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0,1,4,2
Hele landet,2016-01-01,Kjønn samlet,0-24 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.9,1,4,2
Hele landet,2016-01-01,Kjønn samlet,0-14 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",0.5,1,5,2
Hele landet,2016-01-01,Kjønn samlet,0-14 år,KOLS (J44),"per 1000, standardisert",0.0,1,5,2
Hele landet,2016-01-01,Kjønn samlet,0-14 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",2.4,1,5,2
Hele landet,2016-01-01,Kjønn samlet,0-14 år,Personskader (S00-T78),"per 1000, standardisert",8.6,1,5,2
Hele landet,2016-01-01,Kjønn samlet,0-14 år,Hodeskader (S00-S09),"per 1000, standardisert",2.5,1,5,2
Hele landet,2016-01-01,Kjønn samlet,0-14 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0,1,5,2
Hele landet,2016-01-01,Kjønn samlet,0-14 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.3,1,5,2
Hele landet,2016-01-01,Kjønn samlet,15-24 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",1.5,1,6,2
Hele landet,2016-01-01,Kjønn samlet,15-24 år,KOLS (J44),"per 1000, standardisert",0.0,1,6,2
Hele landet,2016-01-01,Kjønn samlet,15-24 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",8.2,1,6,2
Hele landet,2016-01-01,Kjønn samlet,15-24 år,Personskader (S00-T78),"per 1000, standardisert",12.4,1,6,2
Hele landet,2016-01-01,Kjønn samlet,15-24 år,Hodeskader (S00-S09),"per 1000, standardisert",2.7,1,6,2
Hele landet,2016-01-01,Kjønn samlet,15-24 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0,1,6,2
Hele landet,2016-01-01,Kjønn samlet,15-24 år,Forgiftninger (T36-T65),"per 1000, standardisert",1.8,1,6,2
Hele landet,2016-01-01,Kjønn samlet,25-44 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",4.2,1,7,2
Hele landet,2016-01-01,Kjønn samlet,25-44 år,KOLS (J44),"per 1000, standardisert",0.0,1,7,2
Hele landet,2016-01-01,Kjønn samlet,25-44 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",12.4,1,7,2
Hele landet,2016-01-01,Kjønn samlet,25-44 år,Personskader (S00-T78),"per 1000, standardisert",8.4,1,7,2
Hele landet,2016-01-01,Kjønn samlet,25-44 år,Hodeskader (S00-S09),"per 1000, standardisert",1.4,1,7,2
Hele landet,2016-01-01,Kjønn samlet,25-44 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.1,1,7,2
