ssbid_250,År,Populasjon
21825006566000,2001-01-01,5
21825006567000,2001-01-01,2
21825006576500,2001-01-01,16
21825006576750,2001-01-01,26
21825006577000,2001-01-01,28
21825006577250,2001-01-01,1
21825006577500,2001-01-01,26
21825006577750,2001-01-01,5
21825006578000,2001-01-01,3
21825006578250,2001-01-01,3
21827506577000,2001-01-01,5
21827506577500,2001-01-01,4
21827506577750,2001-01-01,2
21830006574750,2001-01-01,3
21830006577250,2001-01-01,2
21832506563750,2001-01-01,4
21832506566500,2001-01-01,2
21832506574500,2001-01-01,4
21832506575500,2001-01-01,2
21832506575750,2001-01-01,4
21835006574500,2001-01-01,1
21835006574750,2001-01-01,3
21835006575000,2001-01-01,1
21835006575250,2001-01-01,4
21835006575750,2001-01-01,2
21835006577250,2001-01-01,2
21835006577500,2001-01-01,5
21837506566750,2001-01-01,3
21837506580750,2001-01-01,2
21840006574500,2001-01-01,6
21840006574750,2001-01-01,10
21842506566750,2001-01-01,1
21842506574500,2001-01-01,8
21842506574750,2001-01-01,5
21842506575000,2001-01-01,13
21842506580250,2001-01-01,2
21845006575250,2001-01-01,4
21847506574500,2001-01-01,11
21847506574750,2001-01-01,5
21847506575000,2001-01-01,5
21850006573750,2001-01-01,6
21850006574000,2001-01-01,16
21850006574250,2001-01-01,6
21850006575000,2001-01-01,3
21852506566500,2001-01-01,4
21852506566750,2001-01-01,3
21852506573500,2001-01-01,2
21852506573750,2001-01-01,9
21852506574000,2001-01-01,2
21852506574500,2001-01-01,1
21852506575250,2001-01-01,7
21852506579750,2001-01-01,7
21855006567750,2001-01-01,3
21855006573750,2001-01-01,1
21855006574000,2001-01-01,6
21855006574250,2001-01-01,21
21855006574750,2001-01-01,1
21855006575000,2001-01-01,5
21855006579000,2001-01-01,7
21855006579250,2001-01-01,10
21855006579500,2001-01-01,7
21855006579750,2001-01-01,4
21857506567000,2001-01-01,2
21857506567500,2001-01-01,2
21857506573750,2001-01-01,8
21857506574250,2001-01-01,11
21857506579000,2001-01-01,9
21857506579250,2001-01-01,9
21860006568000,2001-01-01,6
21860006573750,2001-01-01,5
21860006574250,2001-01-01,6
21860006575500,2001-01-01,4
21860006577750,2001-01-01,1
21860006578500,2001-01-01,5
21860006579000,2001-01-01,4
21862506567500,2001-01-01,11
21862506567750,2001-01-01,7
21862506568000,2001-01-01,2
21862506574500,2001-01-01,5
21862506575500,2001-01-01,3
21862506577500,2001-01-01,2
21862506577750,2001-01-01,4
21862506578250,2001-01-01,4
21865006567000,2001-01-01,5
21865006567250,2001-01-01,6
21865006567750,2001-01-01,10
21865006573500,2001-01-01,5
21865006574750,2001-01-01,3
21865006576750,2001-01-01,1
21865006577500,2001-01-01,1
21865006578250,2001-01-01,6
21865006578750,2001-01-01,7
21865006579000,2001-01-01,2
21867506567000,2001-01-01,3
21867506567250,2001-01-01,5
21867506569750,2001-01-01,4
21867506570000,2001-01-01,8
21867506573500,2001-01-01,2
21867506578750,2001-01-01,31
21870006570000,2001-01-01,4
21870006573000,2001-01-01,4
21870006573250,2001-01-01,6
21870006573500,2001-01-01,3
21870006573750,2001-01-01,5
21870006576000,2001-01-01,3
21870006576500,2001-01-01,9
21870006576750,2001-01-01,29
21870006577000,2001-01-01,31
21870006577250,2001-01-01,18
21870006577500,2001-01-01,1
21870006578250,2001-01-01,5
21870006578500,2001-01-01,1
21870006586500,2001-01-01,8
21872506567250,2001-01-01,8
21872506567500,2001-01-01,104
21872506567750,2001-01-01,26
21872506570000,2001-01-01,2
21872506573250,2001-01-01,3
21872506574000,2001-01-01,6
21872506574250,2001-01-01,2
21872506574500,2001-01-01,1
21872506575750,2001-01-01,2
21872506576000,2001-01-01,4
21872506576250,2001-01-01,3
21872506576750,2001-01-01,6
21872506577000,2001-01-01,61
21872506577250,2001-01-01,8
21872506577750,2001-01-01,7
21872506578000,2001-01-01,3
21875006567250,2001-01-01,5
21875006567500,2001-01-01,41
21875006570250,2001-01-01,5
21875006572250,2001-01-01,5
21875006572500,2001-01-01,4
21875006572750,2001-01-01,3
21875006573250,2001-01-01,4
21875006573500,2001-01-01,6
21875006573750,2001-01-01,4
21875006574000,2001-01-01,6
21875006574250,2001-01-01,3
21875006576250,2001-01-01,4
21875006576500,2001-01-01,13
21875006577000,2001-01-01,4
21875006577500,2001-01-01,6
21875006577750,2001-01-01,2
21875006578000,2001-01-01,1
21877506567500,2001-01-01,14
21877506568250,2001-01-01,4
21877506570000,2001-01-01,6
21877506571250,2001-01-01,8
21877506571500,2001-01-01,10
21877506571750,2001-01-01,5
21877506572250,2001-01-01,3
21877506572750,2001-01-01,9
21877506573250,2001-01-01,9
21877506576250,2001-01-01,28
21877506576500,2001-01-01,4
21877506577000,2001-01-01,44
21877506577250,2001-01-01,74
21877506577500,2001-01-01,26
21880006566500,2001-01-01,2
21880006567500,2001-01-01,3
21880006568250,2001-01-01,4
21880006568500,2001-01-01,8
21880006569000,2001-01-01,6
21880006569750,2001-01-01,6
21880006570000,2001-01-01,5
21880006571750,2001-01-01,6
21880006572250,2001-01-01,1
21880006573000,2001-01-01,16
21880006573750,2001-01-01,6
21880006574000,2001-01-01,4
21880006576000,2001-01-01,5
21880006576250,2001-01-01,8
21880006576500,2001-01-01,2
21880006576750,2001-01-01,44
21880006577000,2001-01-01,94
21880006577250,2001-01-01,17
21882506567500,2001-01-01,3
21882506568000,2001-01-01,1
21882506568750,2001-01-01,4
21882506571250,2001-01-01,2
21882506571500,2001-01-01,13
21882506573250,2001-01-01,12
21882506573500,2001-01-01,6
21882506574000,2001-01-01,2
21882506574750,2001-01-01,6
21882506575500,2001-01-01,4
21882506576250,2001-01-01,1
21882506576500,2001-01-01,74
21882506576750,2001-01-01,153
21882506577000,2001-01-01,76
21885006567250,2001-01-01,3
21885006568750,2001-01-01,3
21885006569000,2001-01-01,6
21885006573000,2001-01-01,7
21885006573250,2001-01-01,15
21885006573500,2001-01-01,12
21885006574250,2001-01-01,4
21885006574500,2001-01-01,2
21885006574750,2001-01-01,9
21885006575250,2001-01-01,9
21885006575500,2001-01-01,10
21885006576250,2001-01-01,11
21885006576750,2001-01-01,133
21885006577000,2001-01-01,14
21887506567500,2001-01-01,7
21887506569000,2001-01-01,6
21887506570000,2001-01-01,4
21887506572750,2001-01-01,2
21887506573000,2001-01-01,10
21887506573500,2001-01-01,2
21887506574000,2001-01-01,3
21887506574250,2001-01-01,3
21887506574500,2001-01-01,66
21887506574750,2001-01-01,117
21887506575000,2001-01-01,16
21887506575250,2001-01-01,58
21887506575500,2001-01-01,22
21887506575750,2001-01-01,1
21887506576000,2001-01-01,26
21887506576250,2001-01-01,2
21887506576500,2001-01-01,81
21887506576750,2001-01-01,100
21890006567250,2001-01-01,5
21890006567500,2001-01-01,2
21890006568250,2001-01-01,4
21890006568500,2001-01-01,9
21890006569250,2001-01-01,4
21890006572500,2001-01-01,8
21890006572750,2001-01-01,2
21890006573000,2001-01-01,2
21890006573250,2001-01-01,5
21890006573500,2001-01-01,6
21890006574000,2001-01-01,11
21890006574250,2001-01-01,95
21890006574500,2001-01-01,104
21890006574750,2001-01-01,95
21890006575000,2001-01-01,125
21890006575250,2001-01-01,149
21890006575500,2001-01-01,45
21890006575750,2001-01-01,8
21890006576500,2001-01-01,7
21890006576750,2001-01-01,31
21892506568250,2001-01-01,4
21892506569000,2001-01-01,4
21892506569250,2001-01-01,1
21892506569500,2001-01-01,5
21892506571000,2001-01-01,5
21892506572500,2001-01-01,20
21892506572750,2001-01-01,1
21892506573250,2001-01-01,17
21892506573750,2001-01-01,2
21892506574000,2001-01-01,122
21892506574250,2001-01-01,143
21892506574500,2001-01-01,108
21892506574750,2001-01-01,157
21892506575000,2001-01-01,86
21892506575250,2001-01-01,66
21892506575750,2001-01-01,6
21892506576750,2001-01-01,5
21895006565250,2001-01-01,9
21895006565500,2001-01-01,6
21895006569500,2001-01-01,5
21895006572000,2001-01-01,2
21895006572250,2001-01-01,1
21895006573250,2001-01-01,2
21895006573500,2001-01-01,6
21895006573750,2001-01-01,4
21895006574000,2001-01-01,78
21895006574250,2001-01-01,80
21895006574500,2001-01-01,9
21895006574750,2001-01-01,88
21895006575000,2001-01-01,87
21895006575250,2001-01-01,6
21895006575750,2001-01-01,45
21895006576000,2001-01-01,47
21895006576750,2001-01-01,9
21895006577750,2001-01-01,24
21895006586250,2001-01-01,5
21895006586500,2001-01-01,7
21895006586750,2001-01-01,15
21895006600750,2001-01-01,2
21897506567000,2001-01-01,3
21897506569750,2001-01-01,3
21897506570000,2001-01-01,6
21897506570250,2001-01-01,9
21897506570500,2001-01-01,1
21897506572500,2001-01-01,3
21897506574750,2001-01-01,9
21897506575500,2001-01-01,35
21897506575750,2001-01-01,55
21897506576000,2001-01-01,115
21897506576250,2001-01-01,77
21897506576500,2001-01-01,3
21897506576750,2001-01-01,8
21897506577000,2001-01-01,2
21897506577500,2001-01-01,110
21897506577750,2001-01-01,112
21897506584250,2001-01-01,9
21897506586750,2001-01-01,2
21897506600750,2001-01-01,2
21900006568750,2001-01-01,7
21900006570000,2001-01-01,9
21900006570500,2001-01-01,2
21900006571750,2001-01-01,5
21900006574000,2001-01-01,5
21900006575250,2001-01-01,6
21900006575500,2001-01-01,65
21900006575750,2001-01-01,175
21900006576000,2001-01-01,218
21900006576250,2001-01-01,140
21900006576500,2001-01-01,4
21900006576750,2001-01-01,11
21900006577000,2001-01-01,133
21900006577250,2001-01-01,203
21900006577500,2001-01-01,131
21900006577750,2001-01-01,106
21900006578000,2001-01-01,7
21900006581750,2001-01-01,1
21900006583250,2001-01-01,1
21900006583750,2001-01-01,4
21900006584000,2001-01-01,16
21900006584250,2001-01-01,6
21900006585000,2001-01-01,1
21900006585250,2001-01-01,3
21900006599750,2001-01-01,2
21902506566750,2001-01-01,1
21902506571000,2001-01-01,4
21902506573000,2001-01-01,5
21902506573750,2001-01-01,7
21902506574000,2001-01-01,45
21902506575250,2001-01-01,2
21902506575500,2001-01-01,110
21902506575750,2001-01-01,194
21902506576000,2001-01-01,108
21902506576500,2001-01-01,19
21902506576750,2001-01-01,256
21902506577000,2001-01-01,317
21902506577250,2001-01-01,181
21902506577500,2001-01-01,188
21902506577750,2001-01-01,55
21902506578000,2001-01-01,28
21902506578500,2001-01-01,1
21902506579750,2001-01-01,3
21902506580000,2001-01-01,2
21902506580750,2001-01-01,3
21902506581500,2001-01-01,12
21902506582750,2001-01-01,15
21902506583250,2001-01-01,3
21902506583750,2001-01-01,6
21902506584250,2001-01-01,3
21902506585000,2001-01-01,1
21905006573750,2001-01-01,4
21905006574000,2001-01-01,3
21905006575000,2001-01-01,1
21905006575250,2001-01-01,3
21905006575500,2001-01-01,156
21905006575750,2001-01-01,157
21905006576000,2001-01-01,105
21905006576250,2001-01-01,191
21905006576500,2001-01-01,82
21905006576750,2001-01-01,167
21905006577000,2001-01-01,123
21905006577250,2001-01-01,56
21905006577500,2001-01-01,211
21905006577750,2001-01-01,120
21905006578000,2001-01-01,131
21905006578750,2001-01-01,2
21905006579000,2001-01-01,6
21905006579250,2001-01-01,1
21905006579500,2001-01-01,6
21905006580500,2001-01-01,1
21905006581000,2001-01-01,1
21905006581250,2001-01-01,13
21905006581500,2001-01-01,1
21905006582250,2001-01-01,8
21905006582500,2001-01-01,4
21905006582750,2001-01-01,8
21905006583000,2001-01-01,8
21905006583250,2001-01-01,3
21905006583500,2001-01-01,2
21905006583750,2001-01-01,4
21905006584750,2001-01-01,1
21905006585500,2001-01-01,4
21905006586000,2001-01-01,1
21907506568000,2001-01-01,1
21907506568250,2001-01-01,3
21907506571750,2001-01-01,4
21907506574000,2001-01-01,16
21907506574250,2001-01-01,21
21907506574500,2001-01-01,22
21907506574750,2001-01-01,27
21907506575250,2001-01-01,24
21907506575500,2001-01-01,149
21907506575750,2001-01-01,71
21907506576000,2001-01-01,162
21907506576250,2001-01-01,195
21907506576500,2001-01-01,15
21907506576750,2001-01-01,178
21907506577000,2001-01-01,252
21907506577250,2001-01-01,368
21907506577500,2001-01-01,442
21907506577750,2001-01-01,32
21907506578000,2001-01-01,1
21907506578250,2001-01-01,1
21907506578500,2001-01-01,6
21907506578750,2001-01-01,10
21907506579000,2001-01-01,1
21907506579250,2001-01-01,3
21907506579750,2001-01-01,2
21907506580000,2001-01-01,1
21907506582000,2001-01-01,12
21907506582250,2001-01-01,3
21907506582500,2001-01-01,27
21907506584250,2001-01-01,6
21907506597500,2001-01-01,7
21907506598000,2001-01-01,5
21907506602000,2001-01-01,4
21910006566250,2001-01-01,13
21910006566500,2001-01-01,19
21910006573250,2001-01-01,4
21910006574250,2001-01-01,96
21910006574500,2001-01-01,134
21910006574750,2001-01-01,68
21910006575000,2001-01-01,6
21910006575250,2001-01-01,58
21910006575500,2001-01-01,40
21910006575750,2001-01-01,27
21910006576000,2001-01-01,148
21910006576250,2001-01-01,57
21910006576500,2001-01-01,7
21910006576750,2001-01-01,39
21910006577000,2001-01-01,137
21910006577250,2001-01-01,40
21910006577500,2001-01-01,2
21910006578000,2001-01-01,16
21910006579250,2001-01-01,5
21910006579500,2001-01-01,3
21910006581000,2001-01-01,5
21910006581250,2001-01-01,14
21910006581500,2001-01-01,14
21910006581750,2001-01-01,13
21910006582000,2001-01-01,9
21910006582500,2001-01-01,5
21910006582750,2001-01-01,8
21910006583000,2001-01-01,2
21910006583250,2001-01-01,3
21910006583500,2001-01-01,16
21910006586000,2001-01-01,8
21910006587250,2001-01-01,3
21910006597000,2001-01-01,4
21912506566500,2001-01-01,13
21912506568500,2001-01-01,3
21912506574000,2001-01-01,27
21912506574250,2001-01-01,173
21912506574500,2001-01-01,128
21912506574750,2001-01-01,51
21912506575000,2001-01-01,27
21912506575250,2001-01-01,73
21912506575500,2001-01-01,86
21912506575750,2001-01-01,86
21912506576000,2001-01-01,109
21912506576250,2001-01-01,51
21912506576500,2001-01-01,25
21912506576750,2001-01-01,36
21912506577000,2001-01-01,69
21912506577250,2001-01-01,5
21912506577500,2001-01-01,4
21912506577750,2001-01-01,4
21912506578000,2001-01-01,10
21912506578500,2001-01-01,4
21912506578750,2001-01-01,14
21912506579000,2001-01-01,2
21912506579500,2001-01-01,8
21912506579750,2001-01-01,10
21912506580000,2001-01-01,6
21912506580250,2001-01-01,7
21912506580500,2001-01-01,20
21912506580750,2001-01-01,8
21912506581000,2001-01-01,8
21912506581250,2001-01-01,4
21912506581500,2001-01-01,6
21912506582750,2001-01-01,10
21912506583000,2001-01-01,4
21912506583250,2001-01-01,4
21912506583500,2001-01-01,10
21912506583750,2001-01-01,22
21912506585500,2001-01-01,1
21912506586000,2001-01-01,3
21912506586250,2001-01-01,3
21912506587500,2001-01-01,3
21912506597750,2001-01-01,5
21912506602250,2001-01-01,1
21912506602500,2001-01-01,7
21915006566250,2001-01-01,21
21915006566500,2001-01-01,47
21915006567250,2001-01-01,2
21915006568500,2001-01-01,8
21915006572750,2001-01-01,3
21915006573000,2001-01-01,11
21915006573250,2001-01-01,11
21915006573500,2001-01-01,7
21915006573750,2001-01-01,58
21915006574000,2001-01-01,45
21915006574250,2001-01-01,41
21915006574500,2001-01-01,82
21915006574750,2001-01-01,19
21915006575000,2001-01-01,24
21915006575250,2001-01-01,80
21915006575500,2001-01-01,122
21915006575750,2001-01-01,99
21915006576000,2001-01-01,157
21915006576250,2001-01-01,105
21915006576500,2001-01-01,5
21915006577000,2001-01-01,1
21915006577250,2001-01-01,7
21915006577750,2001-01-01,12
21915006578000,2001-01-01,33
21915006578250,2001-01-01,3
21915006579000,2001-01-01,22
21915006579250,2001-01-01,35
21915006579500,2001-01-01,10
21915006579750,2001-01-01,11
21915006580000,2001-01-01,6
