Kommune,År,Kategori,Antall
Kviteseid,2004-01-01,Faktisk bosetting,0.0
Kviteseid,2004-01-01,Vedtak om bosetting,0.0
Kviteseid,2005-01-01,Anmodning om bosetting,0.0
Kviteseid,2005-01-01,Faktisk bosetting,0.0
Kviteseid,2005-01-01,Vedtak om bosetting,0.0
Kviteseid,2006-01-01,Anmodning om bosetting,0.0
Kviteseid,2006-01-01,Faktisk bosetting,0.0
Kviteseid,2006-01-01,Vedtak om bosetting,0.0
Kviteseid,2007-01-01,Anmodning om bosetting,0.0
Kviteseid,2007-01-01,Faktisk bosetting,0.0
Kviteseid,2007-01-01,Vedtak om bosetting,0.0
Kviteseid,2008-01-01,Anmodning om bosetting,0.0
Kviteseid,2008-01-01,Faktisk bosetting,0.0
Kviteseid,2008-01-01,Vedtak om bosetting,0.0
Kviteseid,2009-01-01,Anmodning om bosetting,0.0
Kviteseid,2009-01-01,Faktisk bosetting,0.0
Kviteseid,2009-01-01,Vedtak om bosetting,0.0
Kviteseid,2010-01-01,Anmodning om bosetting,0.0
Kviteseid,2010-01-01,Faktisk bosetting,0.0
Kviteseid,2010-01-01,Vedtak om bosetting,0.0
Kviteseid,2011-01-01,Anmodning om bosetting,0.0
Kviteseid,2011-01-01,Faktisk bosetting,0.0
Kviteseid,2011-01-01,Vedtak om bosetting,0.0
Kviteseid,2012-01-01,Anmodning om bosetting,0.0
Kviteseid,2012-01-01,Faktisk bosetting,0.0
Kviteseid,2012-01-01,Vedtak om bosetting,0.0
Kviteseid,2013-01-01,Anmodning om bosetting,0.0
Kviteseid,2013-01-01,Faktisk bosetting,0.0
Kviteseid,2013-01-01,Vedtak om bosetting,0.0
Kviteseid,2014-01-01,Anmodning om bosetting,10.0
Kviteseid,2014-01-01,Faktisk bosetting,0.0
Kviteseid,2014-01-01,Vedtak om bosetting,0.0
Kviteseid,2015-01-01,Anmodning om bosetting,10.0
Kviteseid,2015-01-01,Faktisk bosetting,0.0
Kviteseid,2015-01-01,Vedtak om bosetting,0.0
Kviteseid,2016-01-01,Anmodning om bosetting,20.0
Kviteseid,2016-01-01,Faktisk bosetting,10.0
Kviteseid,2016-01-01,Vedtak om bosetting,10.0
Kviteseid,2017-01-01,Anmodning om bosetting,10.0
Kviteseid,2017-01-01,Faktisk bosetting,7.0
Kviteseid,2017-01-01,Vedtak om bosetting,10.0
Kviteseid,2018-01-01,Anmodning om bosetting,0.0
Kviteseid,2018-01-01,Faktisk bosetting,0.0
Kviteseid,2018-01-01,Vedtak om bosetting,0.0
Kviteseid,2019-01-01,Anmodning om bosetting,0.0
Kviteseid,2019-01-01,Faktisk bosetting,0.0
Kviteseid,2019-01-01,Vedtak om bosetting,0.0
Kviteseid,2020-01-01,Anmodning om bosetting,0.0
Kviteseid,2020-01-01,Faktisk bosetting,0.0
Kviteseid,2020-01-01,Opprinnelig anmodning,0.0
Kviteseid,2020-01-01,Vedtak om bosetting,0.0
Kviteseid,2021-01-01,Anmodning om bosetting,0.0
Kviteseid,2021-01-01,Faktisk bosetting,0.0
Kviteseid,2021-01-01,Vedtak om bosetting,0.0
Kviteseid,2022-01-01,Anmodning om bosetting,25.0
Kviteseid,2022-01-01,Faktisk bosetting,23.0
Kviteseid,2022-01-01,Vedtak om bosetting,25.0
Kviteseid,2023-01-01,Faktisk bosetting,32.0
Kviteseid,2024-01-01,Anmodning om bosetting,30.0
Kviteseid,2024-01-01,Faktisk bosetting,28.0
Kviteseid,2024-01-01,Vedtak om bosetting,30.0
Kviteseid,2025-01-01,Anmodning om bosetting,0.0
Kviteseid,2025-01-01,Faktisk bosetting,0.0
Kviteseid,2025-01-01,Opprinnelig anmodning,0.0
Kviteseid,2026-01-01,Anmodning om bosetting,0.0
Midt-Telemark,1995-01-01,Anmodning om bosetting,35.0
Midt-Telemark,1995-01-01,Faktisk bosetting,0.0
Midt-Telemark,1995-01-01,Vedtak om bosetting,13.0
Midt-Telemark,1996-01-01,Anmodning om bosetting,0.0
Midt-Telemark,1996-01-01,Faktisk bosetting,0.0
Midt-Telemark,1996-01-01,Vedtak om bosetting,0.0
Midt-Telemark,1997-01-01,Anmodning om bosetting,0.0
Midt-Telemark,1997-01-01,Faktisk bosetting,0.0
Midt-Telemark,1997-01-01,Vedtak om bosetting,0.0
Midt-Telemark,1998-01-01,Anmodning om bosetting,10.0
Midt-Telemark,1998-01-01,Faktisk bosetting,0.0
Midt-Telemark,1998-01-01,Vedtak om bosetting,10.0
Midt-Telemark,1999-01-01,Anmodning om bosetting,55.0
Midt-Telemark,1999-01-01,Faktisk bosetting,0.0
Midt-Telemark,1999-01-01,Vedtak om bosetting,25.0
Midt-Telemark,2000-01-01,Anmodning om bosetting,30.0
Midt-Telemark,2000-01-01,Faktisk bosetting,0.0
Midt-Telemark,2000-01-01,Vedtak om bosetting,20.0
Midt-Telemark,2001-01-01,Anmodning om bosetting,50.0
Midt-Telemark,2001-01-01,Faktisk bosetting,0.0
Midt-Telemark,2001-01-01,Vedtak om bosetting,35.0
Midt-Telemark,2002-01-01,Anmodning om bosetting,30.0
Midt-Telemark,2002-01-01,Faktisk bosetting,0.0
Midt-Telemark,2002-01-01,Vedtak om bosetting,10.0
Midt-Telemark,2003-01-01,Anmodning om bosetting,35.0
Midt-Telemark,2003-01-01,Faktisk bosetting,0.0
Midt-Telemark,2003-01-01,Vedtak om bosetting,15.0
Midt-Telemark,2004-01-01,Anmodning om bosetting,20.0
Midt-Telemark,2004-01-01,Faktisk bosetting,0.0
Midt-Telemark,2004-01-01,Vedtak om bosetting,40.0
Midt-Telemark,2005-01-01,Anmodning om bosetting,20.0
Midt-Telemark,2005-01-01,Faktisk bosetting,0.0
Midt-Telemark,2005-01-01,Vedtak om bosetting,10.0
Midt-Telemark,2006-01-01,Anmodning om bosetting,20.0
Midt-Telemark,2006-01-01,Faktisk bosetting,0.0
Midt-Telemark,2006-01-01,Vedtak om bosetting,38.0
Midt-Telemark,2007-01-01,Anmodning om bosetting,25.0
Midt-Telemark,2007-01-01,Faktisk bosetting,0.0
Midt-Telemark,2007-01-01,Vedtak om bosetting,25.0
Midt-Telemark,2008-01-01,Anmodning om bosetting,25.0
Midt-Telemark,2008-01-01,Faktisk bosetting,0.0
Midt-Telemark,2008-01-01,Vedtak om bosetting,25.0
Midt-Telemark,2009-01-01,Anmodning om bosetting,40.0
Midt-Telemark,2009-01-01,Faktisk bosetting,0.0
Midt-Telemark,2009-01-01,Vedtak om bosetting,40.0
Midt-Telemark,2010-01-01,Anmodning om bosetting,50.0
Midt-Telemark,2010-01-01,Faktisk bosetting,0.0
Midt-Telemark,2010-01-01,Vedtak om bosetting,20.0
Midt-Telemark,2011-01-01,Anmodning om bosetting,30.0
Midt-Telemark,2011-01-01,Faktisk bosetting,0.0
Midt-Telemark,2011-01-01,Vedtak om bosetting,25.0
Midt-Telemark,2012-01-01,Anmodning om bosetting,50.0
Midt-Telemark,2012-01-01,Faktisk bosetting,29.0
Midt-Telemark,2012-01-01,Vedtak om bosetting,25.0
Midt-Telemark,2013-01-01,Anmodning om bosetting,40.0
Midt-Telemark,2013-01-01,Faktisk bosetting,31.0
Midt-Telemark,2013-01-01,Vedtak om bosetting,29.0
Midt-Telemark,2014-01-01,Anmodning om bosetting,45.0
Midt-Telemark,2014-01-01,Faktisk bosetting,36.0
Midt-Telemark,2014-01-01,Vedtak om bosetting,38.0
Midt-Telemark,2015-01-01,Anmodning om bosetting,52.0
Midt-Telemark,2015-01-01,Faktisk bosetting,62.0
Midt-Telemark,2015-01-01,Vedtak om bosetting,53.0
Midt-Telemark,2016-01-01,Anmodning om bosetting,65.0
Midt-Telemark,2016-01-01,Faktisk bosetting,59.0
Midt-Telemark,2016-01-01,Vedtak om bosetting,65.0
Midt-Telemark,2017-01-01,Anmodning om bosetting,50.0
Midt-Telemark,2017-01-01,Faktisk bosetting,52.0
Midt-Telemark,2017-01-01,Vedtak om bosetting,50.0
Midt-Telemark,2018-01-01,Anmodning om bosetting,20.0
Midt-Telemark,2018-01-01,Faktisk bosetting,21.0
Midt-Telemark,2018-01-01,Vedtak om bosetting,20.0
Midt-Telemark,2019-01-01,Anmodning om bosetting,25.0
Midt-Telemark,2019-01-01,Faktisk bosetting,25.0
Midt-Telemark,2019-01-01,Vedtak om bosetting,25.0
Midt-Telemark,2020-01-01,Anmodning om bosetting,13.0
Midt-Telemark,2020-01-01,Faktisk bosetting,14.0
Midt-Telemark,2020-01-01,Opprinnelig anmodning,20.0
Midt-Telemark,2020-01-01,Vedtak om bosetting,20.0
Midt-Telemark,2021-01-01,Anmodning om bosetting,16.0
Midt-Telemark,2021-01-01,Faktisk bosetting,16.0
Midt-Telemark,2021-01-01,Vedtak om bosetting,16.0
Midt-Telemark,2022-01-01,Anmodning om bosetting,100.0
Midt-Telemark,2022-01-01,Faktisk bosetting,98.0
Midt-Telemark,2022-01-01,Vedtak om bosetting,100.0
Midt-Telemark,2023-01-01,Faktisk bosetting,114.0
Midt-Telemark,2024-01-01,Anmodning om bosetting,75.0
Midt-Telemark,2024-01-01,Faktisk bosetting,78.0
Midt-Telemark,2024-01-01,Vedtak om bosetting,75.0
Midt-Telemark,2025-01-01,Anmodning om bosetting,18.0
Midt-Telemark,2025-01-01,Faktisk bosetting,19.0
Midt-Telemark,2025-01-01,Opprinnelig anmodning,45.0
Midt-Telemark,2025-01-01,Vedtak om bosetting,20.0
Midt-Telemark,2026-01-01,Anmodning om bosetting,45.0
Nissedal,1995-01-01,Anmodning om bosetting,0.0
Nissedal,1995-01-01,Faktisk bosetting,0.0
Nissedal,1995-01-01,Vedtak om bosetting,0.0
Nissedal,1996-01-01,Anmodning om bosetting,0.0
Nissedal,1996-01-01,Faktisk bosetting,0.0
Nissedal,1996-01-01,Vedtak om bosetting,0.0
Nissedal,1997-01-01,Anmodning om bosetting,0.0
Nissedal,1997-01-01,Faktisk bosetting,0.0
Nissedal,1997-01-01,Vedtak om bosetting,0.0
Nissedal,1998-01-01,Anmodning om bosetting,0.0
Nissedal,1998-01-01,Faktisk bosetting,0.0
Nissedal,1998-01-01,Vedtak om bosetting,0.0
Nissedal,1999-01-01,Anmodning om bosetting,0.0
Nissedal,1999-01-01,Faktisk bosetting,0.0
Nissedal,1999-01-01,Vedtak om bosetting,0.0
Nissedal,2000-01-01,Anmodning om bosetting,0.0
Nissedal,2000-01-01,Faktisk bosetting,0.0
Nissedal,2000-01-01,Vedtak om bosetting,0.0
Nissedal,2001-01-01,Anmodning om bosetting,15.0
Nissedal,2001-01-01,Faktisk bosetting,0.0
Nissedal,2001-01-01,Vedtak om bosetting,0.0
Nissedal,2002-01-01,Anmodning om bosetting,10.0
Nissedal,2002-01-01,Faktisk bosetting,0.0
Nissedal,2002-01-01,Vedtak om bosetting,10.0
Nissedal,2003-01-01,Anmodning om bosetting,5.0
Nissedal,2003-01-01,Faktisk bosetting,0.0
Nissedal,2003-01-01,Vedtak om bosetting,5.0
Nissedal,2004-01-01,Anmodning om bosetting,5.0
Nissedal,2004-01-01,Faktisk bosetting,0.0
Nissedal,2004-01-01,Vedtak om bosetting,0.0
Nissedal,2005-01-01,Anmodning om bosetting,5.0
Nissedal,2005-01-01,Faktisk bosetting,0.0
Nissedal,2005-01-01,Vedtak om bosetting,0.0
Nissedal,2006-01-01,Anmodning om bosetting,0.0
Nissedal,2006-01-01,Faktisk bosetting,0.0
Nissedal,2006-01-01,Vedtak om bosetting,0.0
Nissedal,2007-01-01,Anmodning om bosetting,0.0
Nissedal,2007-01-01,Faktisk bosetting,0.0
Nissedal,2007-01-01,Vedtak om bosetting,0.0
Nissedal,2008-01-01,Anmodning om bosetting,0.0
Nissedal,2008-01-01,Faktisk bosetting,0.0
Nissedal,2008-01-01,Vedtak om bosetting,0.0
Nissedal,2009-01-01,Anmodning om bosetting,0.0
Nissedal,2009-01-01,Faktisk bosetting,0.0
Nissedal,2009-01-01,Vedtak om bosetting,0.0
Nissedal,2010-01-01,Anmodning om bosetting,0.0
Nissedal,2010-01-01,Faktisk bosetting,0.0
Nissedal,2010-01-01,Vedtak om bosetting,0.0
Nissedal,2011-01-01,Anmodning om bosetting,0.0
Nissedal,2011-01-01,Faktisk bosetting,0.0
Nissedal,2011-01-01,Vedtak om bosetting,0.0
Nissedal,2012-01-01,Anmodning om bosetting,0.0
Nissedal,2012-01-01,Faktisk bosetting,0.0
Nissedal,2012-01-01,Vedtak om bosetting,0.0
Nissedal,2013-01-01,Anmodning om bosetting,0.0
Nissedal,2013-01-01,Faktisk bosetting,0.0
Nissedal,2013-01-01,Vedtak om bosetting,0.0
Nissedal,2014-01-01,Anmodning om bosetting,10.0
Nissedal,2014-01-01,Faktisk bosetting,0.0
Nissedal,2014-01-01,Vedtak om bosetting,0.0
Nissedal,2015-01-01,Anmodning om bosetting,10.0
Nissedal,2015-01-01,Faktisk bosetting,15.0
Nissedal,2015-01-01,Vedtak om bosetting,15.0
Nissedal,2016-01-01,Anmodning om bosetting,15.0
Nissedal,2016-01-01,Faktisk bosetting,18.0
Nissedal,2016-01-01,Vedtak om bosetting,15.0
Nissedal,2017-01-01,Anmodning om bosetting,10.0
Nissedal,2017-01-01,Faktisk bosetting,17.0
Nissedal,2017-01-01,Vedtak om bosetting,10.0
Nissedal,2018-01-01,Anmodning om bosetting,0.0
Nissedal,2018-01-01,Faktisk bosetting,0.0
Nissedal,2018-01-01,Vedtak om bosetting,0.0
Nissedal,2019-01-01,Anmodning om bosetting,0.0
Nissedal,2019-01-01,Faktisk bosetting,0.0
Nissedal,2019-01-01,Vedtak om bosetting,0.0
Nissedal,2020-01-01,Anmodning om bosetting,0.0
Nissedal,2020-01-01,Faktisk bosetting,0.0
Nissedal,2020-01-01,Opprinnelig anmodning,0.0
Nissedal,2020-01-01,Vedtak om bosetting,0.0
Nissedal,2021-01-01,Anmodning om bosetting,0.0
Nissedal,2021-01-01,Faktisk bosetting,0.0
Nissedal,2021-01-01,Vedtak om bosetting,0.0
Nissedal,2022-01-01,Anmodning om bosetting,30.0
Nissedal,2022-01-01,Faktisk bosetting,29.0
Nissedal,2022-01-01,Vedtak om bosetting,30.0
Nissedal,2023-01-01,Faktisk bosetting,21.0
Nissedal,2024-01-01,Anmodning om bosetting,30.0
Nissedal,2024-01-01,Faktisk bosetting,20.0
Nissedal,2024-01-01,Vedtak om bosetting,15.0
Nissedal,2025-01-01,Anmodning om bosetting,13.0
Nissedal,2025-01-01,Faktisk bosetting,13.0
Nissedal,2025-01-01,Opprinnelig anmodning,25.0
Nissedal,2025-01-01,Vedtak om bosetting,15.0
Nissedal,2026-01-01,Anmodning om bosetting,23.0
Nome,1995-01-01,Anmodning om bosetting,20.0
Nome,1995-01-01,Faktisk bosetting,0.0
Nome,1995-01-01,Vedtak om bosetting,20.0
Nome,1996-01-01,Anmodning om bosetting,0.0
Nome,1996-01-01,Faktisk bosetting,0.0
Nome,1996-01-01,Vedtak om bosetting,0.0
Nome,1997-01-01,Anmodning om bosetting,10.0
Nome,1997-01-01,Faktisk bosetting,0.0
Nome,1997-01-01,Vedtak om bosetting,10.0
Nome,1998-01-01,Anmodning om bosetting,10.0
Nome,1998-01-01,Faktisk bosetting,0.0
Nome,1998-01-01,Vedtak om bosetting,10.0
Nome,1999-01-01,Anmodning om bosetting,30.0
Nome,1999-01-01,Faktisk bosetting,0.0
Nome,1999-01-01,Vedtak om bosetting,15.0
Nome,2000-01-01,Anmodning om bosetting,0.0
Nome,2000-01-01,Faktisk bosetting,0.0
Nome,2000-01-01,Vedtak om bosetting,15.0
Nome,2001-01-01,Anmodning om bosetting,35.0
Nome,2001-01-01,Faktisk bosetting,0.0
Nome,2001-01-01,Vedtak om bosetting,35.0
Nome,2002-01-01,Anmodning om bosetting,25.0
Nome,2002-01-01,Faktisk bosetting,0.0
Nome,2002-01-01,Vedtak om bosetting,15.0
Nome,2003-01-01,Anmodning om bosetting,20.0
Nome,2003-01-01,Faktisk bosetting,0.0
Nome,2003-01-01,Vedtak om bosetting,15.0
Nome,2004-01-01,Anmodning om bosetting,15.0
Nome,2004-01-01,Faktisk bosetting,0.0
Nome,2004-01-01,Vedtak om bosetting,25.0
Nome,2005-01-01,Anmodning om bosetting,10.0
Nome,2005-01-01,Faktisk bosetting,0.0
Nome,2005-01-01,Vedtak om bosetting,25.0
Nome,2006-01-01,Anmodning om bosetting,10.0
Nome,2006-01-01,Faktisk bosetting,0.0
Nome,2006-01-01,Vedtak om bosetting,10.0
Nome,2007-01-01,Anmodning om bosetting,15.0
Nome,2007-01-01,Faktisk bosetting,0.0
Nome,2007-01-01,Vedtak om bosetting,10.0
Nome,2008-01-01,Anmodning om bosetting,10.0
Nome,2008-01-01,Faktisk bosetting,0.0
Nome,2008-01-01,Vedtak om bosetting,10.0
Nome,2009-01-01,Anmodning om bosetting,15.0
Nome,2009-01-01,Faktisk bosetting,0.0
Nome,2009-01-01,Vedtak om bosetting,10.0
Nome,2010-01-01,Anmodning om bosetting,25.0
Nome,2010-01-01,Faktisk bosetting,0.0
Nome,2010-01-01,Vedtak om bosetting,10.0
Nome,2011-01-01,Anmodning om bosetting,10.0
Nome,2011-01-01,Faktisk bosetting,0.0
Nome,2011-01-01,Vedtak om bosetting,10.0
Nome,2012-01-01,Anmodning om bosetting,20.0
Nome,2012-01-01,Faktisk bosetting,11.0
Nome,2012-01-01,Vedtak om bosetting,10.0
Nome,2013-01-01,Anmodning om bosetting,15.0
Nome,2013-01-01,Faktisk bosetting,10.0
Nome,2013-01-01,Vedtak om bosetting,10.0
Nome,2014-01-01,Anmodning om bosetting,20.0
Nome,2014-01-01,Faktisk bosetting,11.0
Nome,2014-01-01,Vedtak om bosetting,10.0
Nome,2015-01-01,Anmodning om bosetting,25.0
Nome,2015-01-01,Faktisk bosetting,24.0
Nome,2015-01-01,Vedtak om bosetting,25.0
Nome,2016-01-01,Anmodning om bosetting,35.0
Nome,2016-01-01,Faktisk bosetting,33.0
Nome,2016-01-01,Vedtak om bosetting,35.0
Nome,2017-01-01,Anmodning om bosetting,25.0
Nome,2017-01-01,Faktisk bosetting,29.0
Nome,2017-01-01,Vedtak om bosetting,25.0
Nome,2018-01-01,Anmodning om bosetting,10.0
Nome,2018-01-01,Faktisk bosetting,9.0
Nome,2018-01-01,Vedtak om bosetting,10.0
Nome,2019-01-01,Anmodning om bosetting,10.0
Nome,2019-01-01,Faktisk bosetting,9.0
Nome,2019-01-01,Vedtak om bosetting,10.0
Nome,2020-01-01,Anmodning om bosetting,10.0
Nome,2020-01-01,Faktisk bosetting,7.0
Nome,2020-01-01,Opprinnelig anmodning,10.0
Nome,2020-01-01,Vedtak om bosetting,10.0
Nome,2021-01-01,Anmodning om bosetting,10.0
Nome,2021-01-01,Faktisk bosetting,10.0
Nome,2021-01-01,Vedtak om bosetting,10.0
Nome,2022-01-01,Anmodning om bosetting,55.0
Nome,2022-01-01,Faktisk bosetting,55.0
Nome,2022-01-01,Vedtak om bosetting,55.0
Nome,2023-01-01,Faktisk bosetting,66.0
Nome,2024-01-01,Anmodning om bosetting,60.0
Nome,2024-01-01,Faktisk bosetting,32.0
Nome,2024-01-01,Vedtak om bosetting,30.0
Nome,2025-01-01,Anmodning om bosetting,0.0
Nome,2025-01-01,Faktisk bosetting,0.0
Nome,2025-01-01,Opprinnelig anmodning,15.0
Nome,2025-01-01,Vedtak om bosetting,0.0
Nome,2026-01-01,Anmodning om bosetting,0.0
Notodden,1995-01-01,Anmodning om bosetting,0.0
Notodden,1995-01-01,Faktisk bosetting,0.0
Notodden,1995-01-01,Vedtak om bosetting,4.0
Notodden,1996-01-01,Anmodning om bosetting,0.0
Notodden,1996-01-01,Faktisk bosetting,0.0
Notodden,1996-01-01,Vedtak om bosetting,0.0
Notodden,1997-01-01,Anmodning om bosetting,0.0
Notodden,1997-01-01,Faktisk bosetting,0.0
Notodden,1997-01-01,Vedtak om bosetting,0.0
Notodden,1998-01-01,Anmodning om bosetting,15.0
Notodden,1998-01-01,Faktisk bosetting,0.0
Notodden,1998-01-01,Vedtak om bosetting,0.0
Notodden,1999-01-01,Anmodning om bosetting,35.0
Notodden,1999-01-01,Faktisk bosetting,0.0
Notodden,1999-01-01,Vedtak om bosetting,7.0
Notodden,2000-01-01,Anmodning om bosetting,20.0
Notodden,2000-01-01,Faktisk bosetting,0.0
Notodden,2000-01-01,Vedtak om bosetting,20.0
Notodden,2001-01-01,Anmodning om bosetting,45.0
Notodden,2001-01-01,Faktisk bosetting,0.0
Notodden,2001-01-01,Vedtak om bosetting,20.0
Notodden,2002-01-01,Anmodning om bosetting,30.0
Notodden,2002-01-01,Faktisk bosetting,0.0
Notodden,2002-01-01,Vedtak om bosetting,23.0
Notodden,2003-01-01,Anmodning om bosetting,35.0
Notodden,2003-01-01,Faktisk bosetting,0.0
Notodden,2003-01-01,Vedtak om bosetting,3.0
Notodden,2004-01-01,Anmodning om bosetting,20.0
Notodden,2004-01-01,Faktisk bosetting,0.0
Notodden,2004-01-01,Vedtak om bosetting,12.0
Notodden,2005-01-01,Anmodning om bosetting,15.0
Notodden,2005-01-01,Faktisk bosetting,0.0
Notodden,2005-01-01,Vedtak om bosetting,15.0
Notodden,2006-01-01,Anmodning om bosetting,10.0
Notodden,2006-01-01,Faktisk bosetting,0.0
Notodden,2006-01-01,Vedtak om bosetting,10.0
Notodden,2007-01-01,Anmodning om bosetting,10.0
Notodden,2007-01-01,Faktisk bosetting,0.0
Notodden,2007-01-01,Vedtak om bosetting,10.0
Notodden,2008-01-01,Anmodning om bosetting,10.0
Notodden,2008-01-01,Faktisk bosetting,0.0
Notodden,2008-01-01,Vedtak om bosetting,10.0
Notodden,2009-01-01,Anmodning om bosetting,30.0
Notodden,2009-01-01,Faktisk bosetting,0.0
Notodden,2009-01-01,Vedtak om bosetting,15.0
Notodden,2010-01-01,Anmodning om bosetting,40.0
Notodden,2010-01-01,Faktisk bosetting,0.0
Notodden,2010-01-01,Vedtak om bosetting,25.0
Notodden,2011-01-01,Anmodning om bosetting,20.0
Notodden,2011-01-01,Faktisk bosetting,0.0
Notodden,2011-01-01,Vedtak om bosetting,10.0
Notodden,2012-01-01,Anmodning om bosetting,40.0
Notodden,2012-01-01,Faktisk bosetting,34.0
Notodden,2012-01-01,Vedtak om bosetting,30.0
Notodden,2013-01-01,Anmodning om bosetting,40.0
Notodden,2013-01-01,Faktisk bosetting,29.0
Notodden,2013-01-01,Vedtak om bosetting,32.0
Notodden,2014-01-01,Anmodning om bosetting,45.0
Notodden,2014-01-01,Faktisk bosetting,52.0
Notodden,2014-01-01,Vedtak om bosetting,45.0
Notodden,2015-01-01,Anmodning om bosetting,45.0
Notodden,2015-01-01,Faktisk bosetting,61.0
Notodden,2015-01-01,Vedtak om bosetting,60.0
Notodden,2016-01-01,Anmodning om bosetting,65.0
Notodden,2016-01-01,Faktisk bosetting,49.0
Notodden,2016-01-01,Vedtak om bosetting,60.0
Notodden,2017-01-01,Anmodning om bosetting,50.0
Notodden,2017-01-01,Faktisk bosetting,52.0
Notodden,2017-01-01,Vedtak om bosetting,50.0
Notodden,2018-01-01,Anmodning om bosetting,25.0
Notodden,2018-01-01,Faktisk bosetting,22.0
Notodden,2018-01-01,Vedtak om bosetting,25.0
Notodden,2019-01-01,Anmodning om bosetting,20.0
Notodden,2019-01-01,Faktisk bosetting,18.0
Notodden,2019-01-01,Vedtak om bosetting,20.0
Notodden,2020-01-01,Anmodning om bosetting,13.0
Notodden,2020-01-01,Faktisk bosetting,13.0
Notodden,2020-01-01,Opprinnelig anmodning,16.0
Notodden,2020-01-01,Vedtak om bosetting,16.0
Notodden,2021-01-01,Anmodning om bosetting,15.0
Notodden,2021-01-01,Faktisk bosetting,15.0
Notodden,2021-01-01,Vedtak om bosetting,15.0
Notodden,2022-01-01,Anmodning om bosetting,100.0
Notodden,2022-01-01,Faktisk bosetting,100.0
Notodden,2022-01-01,Vedtak om bosetting,100.0
Notodden,2023-01-01,Faktisk bosetting,119.0
Notodden,2024-01-01,Anmodning om bosetting,85.0
Notodden,2024-01-01,Faktisk bosetting,85.0
Notodden,2024-01-01,Vedtak om bosetting,85.0
Notodden,2025-01-01,Anmodning om bosetting,40.0
Notodden,2025-01-01,Faktisk bosetting,40.0
Notodden,2025-01-01,Opprinnelig anmodning,50.0
Notodden,2025-01-01,Vedtak om bosetting,50.0
Notodden,2026-01-01,Anmodning om bosetting,30.0
Porsgrunn,1995-01-01,Anmodning om bosetting,50.0
Porsgrunn,1995-01-01,Faktisk bosetting,0.0
Porsgrunn,1995-01-01,Vedtak om bosetting,26.0
Porsgrunn,1996-01-01,Anmodning om bosetting,0.0
Porsgrunn,1996-01-01,Faktisk bosetting,0.0
Porsgrunn,1996-01-01,Vedtak om bosetting,0.0
Porsgrunn,1997-01-01,Anmodning om bosetting,45.0
Porsgrunn,1997-01-01,Faktisk bosetting,0.0
Porsgrunn,1997-01-01,Vedtak om bosetting,40.0
Porsgrunn,1998-01-01,Anmodning om bosetting,40.0
Porsgrunn,1998-01-01,Faktisk bosetting,0.0
Porsgrunn,1998-01-01,Vedtak om bosetting,40.0
Porsgrunn,1999-01-01,Anmodning om bosetting,100.0
Porsgrunn,1999-01-01,Faktisk bosetting,0.0
Porsgrunn,1999-01-01,Vedtak om bosetting,25.0
Porsgrunn,2000-01-01,Anmodning om bosetting,50.0
Porsgrunn,2000-01-01,Faktisk bosetting,0.0
Porsgrunn,2000-01-01,Vedtak om bosetting,40.0
Porsgrunn,2001-01-01,Anmodning om bosetting,70.0
Porsgrunn,2001-01-01,Faktisk bosetting,0.0
Porsgrunn,2001-01-01,Vedtak om bosetting,40.0
Porsgrunn,2002-01-01,Anmodning om bosetting,85.0
Porsgrunn,2002-01-01,Faktisk bosetting,0.0
Porsgrunn,2002-01-01,Vedtak om bosetting,40.0
Porsgrunn,2003-01-01,Anmodning om bosetting,90.0
Porsgrunn,2003-01-01,Faktisk bosetting,0.0
Porsgrunn,2003-01-01,Vedtak om bosetting,40.0
Porsgrunn,2004-01-01,Anmodning om bosetting,60.0
Porsgrunn,2004-01-01,Faktisk bosetting,0.0
Porsgrunn,2004-01-01,Vedtak om bosetting,40.0
Porsgrunn,2005-01-01,Anmodning om bosetting,55.0
Porsgrunn,2005-01-01,Faktisk bosetting,0.0
Porsgrunn,2005-01-01,Vedtak om bosetting,40.0
Porsgrunn,2006-01-01,Anmodning om bosetting,35.0
Porsgrunn,2006-01-01,Faktisk bosetting,0.0
Porsgrunn,2006-01-01,Vedtak om bosetting,35.0
Porsgrunn,2007-01-01,Anmodning om bosetting,50.0
Porsgrunn,2007-01-01,Faktisk bosetting,0.0
Porsgrunn,2007-01-01,Vedtak om bosetting,35.0
Porsgrunn,2008-01-01,Anmodning om bosetting,50.0
Porsgrunn,2008-01-01,Faktisk bosetting,0.0
Porsgrunn,2008-01-01,Vedtak om bosetting,35.0
Porsgrunn,2009-01-01,Anmodning om bosetting,50.0
Porsgrunn,2009-01-01,Faktisk bosetting,0.0
Porsgrunn,2009-01-01,Vedtak om bosetting,50.0
Porsgrunn,2010-01-01,Anmodning om bosetting,90.0
Porsgrunn,2010-01-01,Faktisk bosetting,0.0
Porsgrunn,2010-01-01,Vedtak om bosetting,60.0
Porsgrunn,2011-01-01,Anmodning om bosetting,50.0
Porsgrunn,2011-01-01,Faktisk bosetting,0.0
Porsgrunn,2011-01-01,Vedtak om bosetting,50.0
Porsgrunn,2012-01-01,Anmodning om bosetting,70.0
Porsgrunn,2012-01-01,Faktisk bosetting,43.0
Porsgrunn,2012-01-01,Vedtak om bosetting,50.0
Porsgrunn,2013-01-01,Anmodning om bosetting,75.0
Porsgrunn,2013-01-01,Faktisk bosetting,47.0
Porsgrunn,2013-01-01,Vedtak om bosetting,55.0
