Kommune,År,Kategori,Antall
Drangedal,1998-01-01,Anmodning om bosetting,0.0
Drangedal,1998-01-01,Faktisk bosetting,0.0
Drangedal,1998-01-01,Vedtak om bosetting,0.0
Drangedal,1999-01-01,Anmodning om bosetting,10.0
Drangedal,1999-01-01,Faktisk bosetting,0.0
Drangedal,1999-01-01,Vedtak om bosetting,10.0
Drangedal,2000-01-01,Anmodning om bosetting,15.0
Drangedal,2000-01-01,Faktisk bosetting,0.0
Drangedal,2000-01-01,Vedtak om bosetting,15.0
Drangedal,2001-01-01,Anmodning om bosetting,25.0
Drangedal,2001-01-01,Faktisk bosetting,0.0
Drangedal,2001-01-01,Vedtak om bosetting,25.0
Drangedal,2002-01-01,Anmodning om bosetting,10.0
Drangedal,2002-01-01,Faktisk bosetting,0.0
Drangedal,2002-01-01,Vedtak om bosetting,14.0
Drangedal,2003-01-01,Anmodning om bosetting,10.0
Drangedal,2003-01-01,Faktisk bosetting,0.0
Drangedal,2003-01-01,Vedtak om bosetting,0.0
Drangedal,2004-01-01,Anmodning om bosetting,10.0
Drangedal,2004-01-01,Faktisk bosetting,0.0
Drangedal,2004-01-01,Vedtak om bosetting,10.0
Drangedal,2005-01-01,Anmodning om bosetting,5.0
Drangedal,2005-01-01,Faktisk bosetting,0.0
Drangedal,2005-01-01,Vedtak om bosetting,0.0
Drangedal,2006-01-01,Anmodning om bosetting,0.0
Drangedal,2006-01-01,Faktisk bosetting,0.0
Drangedal,2006-01-01,Vedtak om bosetting,0.0
Drangedal,2007-01-01,Anmodning om bosetting,10.0
Drangedal,2007-01-01,Faktisk bosetting,0.0
Drangedal,2007-01-01,Vedtak om bosetting,10.0
Drangedal,2008-01-01,Anmodning om bosetting,10.0
Drangedal,2008-01-01,Faktisk bosetting,0.0
Drangedal,2008-01-01,Vedtak om bosetting,10.0
Drangedal,2009-01-01,Anmodning om bosetting,15.0
Drangedal,2009-01-01,Faktisk bosetting,0.0
Drangedal,2009-01-01,Vedtak om bosetting,10.0
Drangedal,2010-01-01,Anmodning om bosetting,15.0
Drangedal,2010-01-01,Faktisk bosetting,0.0
Drangedal,2010-01-01,Vedtak om bosetting,10.0
Drangedal,2011-01-01,Anmodning om bosetting,0.0
Drangedal,2011-01-01,Faktisk bosetting,0.0
Drangedal,2011-01-01,Vedtak om bosetting,0.0
Drangedal,2012-01-01,Anmodning om bosetting,15.0
Drangedal,2012-01-01,Faktisk bosetting,5.0
Drangedal,2012-01-01,Vedtak om bosetting,4.0
Drangedal,2013-01-01,Anmodning om bosetting,10.0
Drangedal,2013-01-01,Faktisk bosetting,12.0
Drangedal,2013-01-01,Vedtak om bosetting,5.0
Drangedal,2014-01-01,Anmodning om bosetting,15.0
Drangedal,2014-01-01,Faktisk bosetting,10.0
Drangedal,2014-01-01,Vedtak om bosetting,15.0
Drangedal,2015-01-01,Anmodning om bosetting,15.0
Drangedal,2015-01-01,Faktisk bosetting,23.0
Drangedal,2015-01-01,Vedtak om bosetting,24.0
Drangedal,2016-01-01,Anmodning om bosetting,30.0
Drangedal,2016-01-01,Faktisk bosetting,25.0
Drangedal,2016-01-01,Vedtak om bosetting,31.0
Drangedal,2017-01-01,Anmodning om bosetting,21.0
Drangedal,2017-01-01,Faktisk bosetting,19.0
Drangedal,2017-01-01,Vedtak om bosetting,21.0
Drangedal,2018-01-01,Anmodning om bosetting,10.0
Drangedal,2018-01-01,Faktisk bosetting,10.0
Drangedal,2018-01-01,Vedtak om bosetting,10.0
Drangedal,2019-01-01,Anmodning om bosetting,10.0
Drangedal,2019-01-01,Faktisk bosetting,9.0
Drangedal,2019-01-01,Vedtak om bosetting,10.0
Drangedal,2020-01-01,Anmodning om bosetting,10.0
Drangedal,2020-01-01,Faktisk bosetting,7.0
Drangedal,2020-01-01,Opprinnelig anmodning,10.0
Drangedal,2020-01-01,Vedtak om bosetting,10.0
Drangedal,2021-01-01,Anmodning om bosetting,10.0
Drangedal,2021-01-01,Faktisk bosetting,10.0
Drangedal,2021-01-01,Vedtak om bosetting,10.0
Drangedal,2022-01-01,Anmodning om bosetting,55.0
Drangedal,2022-01-01,Faktisk bosetting,55.0
Drangedal,2022-01-01,Vedtak om bosetting,55.0
