År,Anmodning om bosetting,Faktisk bosetting
2014-01-01,25.0,36.0
2015-01-01,35.0,41.0
2016-01-01,200.0,62.0
2017-01-01,43.0,41.0
2018-01-01,13.0,7.0
2019-01-01,8.0,6.0
2020-01-01,0.0,0.0
2021-01-01,0.0,0.0
2022-01-01,18.0,8.0
2023-01-01,18.0,30.0
2024-01-01,36.0,32.0
2025-01-01,43.0,39.0
