Geografi,År,Alder,Innvandringsbakgrunn,status,Måltall,value
Hele landet,2024,0-17 år,totalt,bor trangt,andel (prosent),18.3024711840647
Telemark,2024,0-17 år,totalt,bor trangt,andel (prosent),15.572277464242
Porsgrunn,2024,0-17 år,totalt,bor trangt,andel (prosent),13.0522088353414
Skien,2024,0-17 år,totalt,bor trangt,andel (prosent),18.6913357400722
Notodden,2024,0-17 år,totalt,bor trangt,andel (prosent),15.9302796919335
Siljan,2024,0-17 år,totalt,bor trangt,andel (prosent),8.05785123966942
Bamble,2024,0-17 år,totalt,bor trangt,andel (prosent),15.014684287812
Kragerø,2024,0-17 år,totalt,bor trangt,andel (prosent),13.4444444444444
Drangedal,2024,0-17 år,totalt,bor trangt,andel (prosent),17.2056921086675
Nome,2024,0-17 år,totalt,bor trangt,andel (prosent),13.0769230769231
Midt-Telemark,2024,0-17 år,totalt,bor trangt,andel (prosent),13.1627906976744
Seljord,2024,0-17 år,totalt,bor trangt,andel (prosent),15.5290102389079
Hjartdal,2024,0-17 år,totalt,bor trangt,andel (prosent),18.8679245283019
Tinn,2024,0-17 år,totalt,bor trangt,andel (prosent),13.5689851767389
Kviteseid,2024,0-17 år,totalt,bor trangt,andel (prosent),12.4087591240876
Nissedal,2024,0-17 år,totalt,bor trangt,andel (prosent),13.6363636363636
Fyresdal,2024,0-17 år,totalt,bor trangt,andel (prosent),14.7186147186147
Tokke,2024,0-17 år,totalt,bor trangt,andel (prosent),..
Vinje,2024,0-17 år,totalt,bor trangt,andel (prosent),..
