Kommune,Andel sysselsatte (2023),Label
Porsgrunn,64.5,Porsgrunn
Skien,64.3,Skien
Notodden,63.8,Notodden
Siljan,69.3,Siljan
Bamble,64.0,Bamble
Kragerø,61.1,Kragerø
Drangedal,62.6,Drangedal
Nome,62.8,Nome
Midt-Telemark,61.8,Midt-Telemark
Seljord,67.5,Seljord
Hjartdal,68.3,Hjartdal
Tinn,66.3,Tinn
Kviteseid,67.0,Kviteseid
Nissedal,63.6,Nissedal
Fyresdal,69.5,Fyresdal
Tokke,70.1,Tokke
Vinje,71.9,Vinje
