Geografi,År,Kjønn,Alder,Plagegrad,Sosioøkonomiske ressurser (SØR),Måltall,value
Porsgrunn,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Porsgrunn,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.5191502698451
Porsgrunn,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.69834694308802
Porsgrunn,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",18.3205443498419
Skien,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.6524224576449
Skien,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.66826385670659
Skien,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.551186204505
Skien,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",16.9091582585866
Skien,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.75967362992488
Skien,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",24.9462031179583
Skien,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.9427339510842
Skien,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.09140798184728
Skien,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",20.7168529723167
Notodden,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.4061001421946
