Geografi,År,Kjønn,Alder,Utdanningsnivå,Måltall,value
Telemark,2016-2022,kvinner,65 år,videregående,leveår,87.075623
Telemark,2016-2022,kvinner,65 år,universitet/ høgskole,leveår,89.238091
Telemark,2017-2023,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,82.164749
Telemark,2017-2023,kjønn samlet,ved fødsel,grunnskole,leveår,-
Telemark,2017-2023,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Telemark,2017-2023,kjønn samlet,ved fødsel,videregående,leveår,-
Telemark,2017-2023,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Telemark,2017-2023,kjønn samlet,30 år,alle utdanningsnivåer,leveår,82.808556
Telemark,2017-2023,kjønn samlet,30 år,grunnskole,leveår,79.443649
Telemark,2017-2023,kjønn samlet,30 år,videregående eller høyere,leveår,84.872559
Telemark,2017-2023,kjønn samlet,30 år,videregående,leveår,83.282959
Telemark,2017-2023,kjønn samlet,30 år,universitet/ høgskole,leveår,86.462158
Telemark,2017-2023,kjønn samlet,65 år,alle utdanningsnivåer,leveår,85.355927
Telemark,2017-2023,kjønn samlet,65 år,grunnskole,leveår,83.472107
Telemark,2017-2023,kjønn samlet,65 år,videregående eller høyere,leveår,86.905098
Telemark,2017-2023,kjønn samlet,65 år,videregående,leveår,85.684494
Telemark,2017-2023,kjønn samlet,65 år,universitet/ høgskole,leveår,88.125702
Telemark,2017-2023,menn,ved fødsel,alle utdanningsnivåer,leveår,80.407417
Telemark,2017-2023,menn,ved fødsel,grunnskole,leveår,-
Telemark,2017-2023,menn,ved fødsel,videregående eller høyere,leveår,-
Telemark,2017-2023,menn,ved fødsel,videregående,leveår,-
Telemark,2017-2023,menn,ved fødsel,universitet/ høgskole,leveår,-
Telemark,2017-2023,menn,30 år,alle utdanningsnivåer,leveår,81.250702
Telemark,2017-2023,menn,30 år,grunnskole,leveår,77.611206
Telemark,2017-2023,menn,30 år,videregående eller høyere,leveår,83.252762
Telemark,2017-2023,menn,30 år,videregående,leveår,81.734428
Telemark,2017-2023,menn,30 år,universitet/ høgskole,leveår,84.771088
Telemark,2017-2023,menn,65 år,alle utdanningsnivåer,leveår,84.225273
Telemark,2017-2023,menn,65 år,grunnskole,leveår,82.312698
Telemark,2017-2023,menn,65 år,videregående eller høyere,leveår,85.549835
Telemark,2017-2023,menn,65 år,videregående,leveår,84.298653
Telemark,2017-2023,menn,65 år,universitet/ høgskole,leveår,86.80101
Telemark,2017-2023,kvinner,ved fødsel,alle utdanningsnivåer,leveår,83.922073
Telemark,2017-2023,kvinner,ved fødsel,grunnskole,leveår,-
Telemark,2017-2023,kvinner,ved fødsel,videregående eller høyere,leveår,-
Telemark,2017-2023,kvinner,ved fødsel,videregående,leveår,-
Telemark,2017-2023,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Telemark,2017-2023,kvinner,30 år,alle utdanningsnivåer,leveår,84.366409
Telemark,2017-2023,kvinner,30 år,grunnskole,leveår,81.276093
Telemark,2017-2023,kvinner,30 år,videregående eller høyere,leveår,86.492355
Telemark,2017-2023,kvinner,30 år,videregående,leveår,84.831482
Telemark,2017-2023,kvinner,30 år,universitet/ høgskole,leveår,88.153221
Telemark,2017-2023,kvinner,65 år,alle utdanningsnivåer,leveår,86.486572
Telemark,2017-2023,kvinner,65 år,grunnskole,leveår,84.631508
Telemark,2017-2023,kvinner,65 år,videregående eller høyere,leveår,88.260361
Telemark,2017-2023,kvinner,65 år,videregående,leveår,87.070335
Telemark,2017-2023,kvinner,65 år,universitet/ høgskole,leveår,89.450394
Telemark,2018-2024,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,82.297928
Telemark,2018-2024,kjønn samlet,ved fødsel,grunnskole,leveår,-
Telemark,2018-2024,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Telemark,2018-2024,kjønn samlet,ved fødsel,videregående,leveår,-
Telemark,2018-2024,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Telemark,2018-2024,kjønn samlet,30 år,alle utdanningsnivåer,leveår,82.893555
Telemark,2018-2024,kjønn samlet,30 år,grunnskole,leveår,79.533463
Telemark,2018-2024,kjønn samlet,30 år,videregående eller høyere,leveår,84.947815
Telemark,2018-2024,kjønn samlet,30 år,videregående,leveår,83.276962
Telemark,2018-2024,kjønn samlet,30 år,universitet/ høgskole,leveår,86.618675
Telemark,2018-2024,kjønn samlet,65 år,alle utdanningsnivåer,leveår,85.435402
Telemark,2018-2024,kjønn samlet,65 år,grunnskole,leveår,83.599167
Telemark,2018-2024,kjønn samlet,65 år,videregående eller høyere,leveår,86.944832
Telemark,2018-2024,kjønn samlet,65 år,videregående,leveår,85.651718
Telemark,2018-2024,kjønn samlet,65 år,universitet/ høgskole,leveår,88.237946
Telemark,2018-2024,menn,ved fødsel,alle utdanningsnivåer,leveår,80.551994
Telemark,2018-2024,menn,ved fødsel,grunnskole,leveår,-
Telemark,2018-2024,menn,ved fødsel,videregående eller høyere,leveår,-
Telemark,2018-2024,menn,ved fødsel,videregående,leveår,-
Telemark,2018-2024,menn,ved fødsel,universitet/ høgskole,leveår,-
Telemark,2018-2024,menn,30 år,alle utdanningsnivåer,leveår,81.3013
Telemark,2018-2024,menn,30 år,grunnskole,leveår,77.594498
Telemark,2018-2024,menn,30 år,videregående eller høyere,leveår,83.291245
Telemark,2018-2024,menn,30 år,videregående,leveår,81.746361
Telemark,2018-2024,menn,30 år,universitet/ høgskole,leveår,84.836136
Telemark,2018-2024,menn,65 år,alle utdanningsnivåer,leveår,84.292206
Telemark,2018-2024,menn,65 år,grunnskole,leveår,82.421997
Telemark,2018-2024,menn,65 år,videregående eller høyere,leveår,85.536316
Telemark,2018-2024,menn,65 år,videregående,leveår,84.324493
Telemark,2018-2024,menn,65 år,universitet/ høgskole,leveår,86.748146
Telemark,2018-2024,kvinner,ved fødsel,alle utdanningsnivåer,leveår,84.043854
Telemark,2018-2024,kvinner,ved fødsel,grunnskole,leveår,-
Telemark,2018-2024,kvinner,ved fødsel,videregående eller høyere,leveår,-
Telemark,2018-2024,kvinner,ved fødsel,videregående,leveår,-
Telemark,2018-2024,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Telemark,2018-2024,kvinner,30 år,alle utdanningsnivåer,leveår,84.485809
Telemark,2018-2024,kvinner,30 år,grunnskole,leveår,81.47242
Telemark,2018-2024,kvinner,30 år,videregående eller høyere,leveår,86.604393
Telemark,2018-2024,kvinner,30 år,videregående,leveår,84.807571
Telemark,2018-2024,kvinner,30 år,universitet/ høgskole,leveår,88.401215
Telemark,2018-2024,kvinner,65 år,alle utdanningsnivåer,leveår,86.578598
Telemark,2018-2024,kvinner,65 år,grunnskole,leveår,84.776344
Telemark,2018-2024,kvinner,65 år,videregående eller høyere,leveår,88.353348
Telemark,2018-2024,kvinner,65 år,videregående,leveår,86.978943
Telemark,2018-2024,kvinner,65 år,universitet/ høgskole,leveår,89.727753
Porsgrunn,2009-2015,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,80.656952
Porsgrunn,2009-2015,kjønn samlet,ved fødsel,grunnskole,leveår,-
Porsgrunn,2009-2015,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2009-2015,kjønn samlet,ved fødsel,videregående,leveår,-
Porsgrunn,2009-2015,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2009-2015,kjønn samlet,30 år,alle utdanningsnivåer,leveår,81.304848
Porsgrunn,2009-2015,kjønn samlet,30 år,grunnskole,leveår,77.569336
Porsgrunn,2009-2015,kjønn samlet,30 år,videregående eller høyere,leveår,83.970413
Porsgrunn,2009-2015,kjønn samlet,30 år,videregående,leveår,82.13459
Porsgrunn,2009-2015,kjønn samlet,30 år,universitet/ høgskole,leveår,85.806236
Porsgrunn,2009-2015,kjønn samlet,65 år,alle utdanningsnivåer,leveår,84.387703
Porsgrunn,2009-2015,kjønn samlet,65 år,grunnskole,leveår,82.792282
Porsgrunn,2009-2015,kjønn samlet,65 år,videregående eller høyere,leveår,86.201736
Porsgrunn,2009-2015,kjønn samlet,65 år,videregående,leveår,85.0327
Porsgrunn,2009-2015,kjønn samlet,65 år,universitet/ høgskole,leveår,87.370773
Porsgrunn,2009-2015,menn,ved fødsel,alle utdanningsnivåer,leveår,78.365112
Porsgrunn,2009-2015,menn,ved fødsel,grunnskole,leveår,-
Porsgrunn,2009-2015,menn,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2009-2015,menn,ved fødsel,videregående,leveår,-
Porsgrunn,2009-2015,menn,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2009-2015,menn,30 år,alle utdanningsnivåer,leveår,79.227982
Porsgrunn,2009-2015,menn,30 år,grunnskole,leveår,75.001434
Porsgrunn,2009-2015,menn,30 år,videregående eller høyere,leveår,81.415665
Porsgrunn,2009-2015,menn,30 år,videregående,leveår,79.808945
Porsgrunn,2009-2015,menn,30 år,universitet/ høgskole,leveår,83.022385
Porsgrunn,2009-2015,menn,65 år,alle utdanningsnivåer,leveår,83.045189
Porsgrunn,2009-2015,menn,65 år,grunnskole,leveår,81.873924
Porsgrunn,2009-2015,menn,65 år,videregående eller høyere,leveår,84.068344
Porsgrunn,2009-2015,menn,65 år,videregående,leveår,83.101776
Porsgrunn,2009-2015,menn,65 år,universitet/ høgskole,leveår,85.034912
Porsgrunn,2009-2015,kvinner,ved fødsel,alle utdanningsnivåer,leveår,82.948799
Porsgrunn,2009-2015,kvinner,ved fødsel,grunnskole,leveår,-
Porsgrunn,2009-2015,kvinner,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2009-2015,kvinner,ved fødsel,videregående,leveår,-
Porsgrunn,2009-2015,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2009-2015,kvinner,30 år,alle utdanningsnivåer,leveår,83.381714
Porsgrunn,2009-2015,kvinner,30 år,grunnskole,leveår,80.13723
Porsgrunn,2009-2015,kvinner,30 år,videregående eller høyere,leveår,86.525162
Porsgrunn,2009-2015,kvinner,30 år,videregående,leveår,84.460236
Porsgrunn,2009-2015,kvinner,30 år,universitet/ høgskole,leveår,88.590088
Porsgrunn,2009-2015,kvinner,65 år,alle utdanningsnivåer,leveår,85.730217
Porsgrunn,2009-2015,kvinner,65 år,grunnskole,leveår,83.710632
Porsgrunn,2009-2015,kvinner,65 år,videregående eller høyere,leveår,88.335129
Porsgrunn,2009-2015,kvinner,65 år,videregående,leveår,86.963631
Porsgrunn,2009-2015,kvinner,65 år,universitet/ høgskole,leveår,89.706627
Porsgrunn,2010-2016,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,80.772881
Porsgrunn,2010-2016,kjønn samlet,ved fødsel,grunnskole,leveår,-
Porsgrunn,2010-2016,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2010-2016,kjønn samlet,ved fødsel,videregående,leveår,-
Porsgrunn,2010-2016,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2010-2016,kjønn samlet,30 år,alle utdanningsnivåer,leveår,81.490646
Porsgrunn,2010-2016,kjønn samlet,30 år,grunnskole,leveår,77.802139
Porsgrunn,2010-2016,kjønn samlet,30 år,videregående eller høyere,leveår,83.970245
Porsgrunn,2010-2016,kjønn samlet,30 år,videregående,leveår,82.220551
Porsgrunn,2010-2016,kjønn samlet,30 år,universitet/ høgskole,leveår,85.71994
Porsgrunn,2010-2016,kjønn samlet,65 år,alle utdanningsnivåer,leveår,84.501694
Porsgrunn,2010-2016,kjønn samlet,65 år,grunnskole,leveår,82.87001
Porsgrunn,2010-2016,kjønn samlet,65 år,videregående eller høyere,leveår,86.202118
Porsgrunn,2010-2016,kjønn samlet,65 år,videregående,leveår,85.134033
Porsgrunn,2010-2016,kjønn samlet,65 år,universitet/ høgskole,leveår,87.270203
Porsgrunn,2010-2016,menn,ved fødsel,alle utdanningsnivåer,leveår,78.775719
Porsgrunn,2010-2016,menn,ved fødsel,grunnskole,leveår,-
Porsgrunn,2010-2016,menn,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2010-2016,menn,ved fødsel,videregående,leveår,-
Porsgrunn,2010-2016,menn,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2010-2016,menn,30 år,alle utdanningsnivåer,leveår,79.705414
Porsgrunn,2010-2016,menn,30 år,grunnskole,leveår,76.093719
Porsgrunn,2010-2016,menn,30 år,videregående eller høyere,leveår,81.582245
Porsgrunn,2010-2016,menn,30 år,videregående,leveår,80.090012
Porsgrunn,2010-2016,menn,30 år,universitet/ høgskole,leveår,83.074486
Porsgrunn,2010-2016,menn,65 år,alle utdanningsnivåer,leveår,83.231209
Porsgrunn,2010-2016,menn,65 år,grunnskole,leveår,82.024933
Porsgrunn,2010-2016,menn,65 år,videregående eller høyere,leveår,84.223846
Porsgrunn,2010-2016,menn,65 år,videregående,leveår,83.326218
Porsgrunn,2010-2016,menn,65 år,universitet/ høgskole,leveår,85.121468
Porsgrunn,2010-2016,kvinner,ved fødsel,alle utdanningsnivåer,leveår,82.770042
Porsgrunn,2010-2016,kvinner,ved fødsel,grunnskole,leveår,-
Porsgrunn,2010-2016,kvinner,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2010-2016,kvinner,ved fødsel,videregående,leveår,-
Porsgrunn,2010-2016,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2010-2016,kvinner,30 år,alle utdanningsnivåer,leveår,83.275879
Porsgrunn,2010-2016,kvinner,30 år,grunnskole,leveår,79.510559
Porsgrunn,2010-2016,kvinner,30 år,videregående eller høyere,leveår,86.358246
Porsgrunn,2010-2016,kvinner,30 år,videregående,leveår,84.351089
Porsgrunn,2010-2016,kvinner,30 år,universitet/ høgskole,leveår,88.365402
Porsgrunn,2010-2016,kvinner,65 år,alle utdanningsnivåer,leveår,85.772186
Porsgrunn,2010-2016,kvinner,65 år,grunnskole,leveår,83.715088
Porsgrunn,2010-2016,kvinner,65 år,videregående eller høyere,leveår,88.180397
Porsgrunn,2010-2016,kvinner,65 år,videregående,leveår,86.941856
Porsgrunn,2010-2016,kvinner,65 år,universitet/ høgskole,leveår,89.418938
Porsgrunn,2011-2017,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,80.847916
Porsgrunn,2011-2017,kjønn samlet,ved fødsel,grunnskole,leveår,-
Porsgrunn,2011-2017,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2011-2017,kjønn samlet,ved fødsel,videregående,leveår,-
Porsgrunn,2011-2017,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2011-2017,kjønn samlet,30 år,alle utdanningsnivåer,leveår,81.621925
Porsgrunn,2011-2017,kjønn samlet,30 år,grunnskole,leveår,78.245369
Porsgrunn,2011-2017,kjønn samlet,30 år,videregående eller høyere,leveår,84.037323
Porsgrunn,2011-2017,kjønn samlet,30 år,videregående,leveår,82.081566
Porsgrunn,2011-2017,kjønn samlet,30 år,universitet/ høgskole,leveår,85.993088
Porsgrunn,2011-2017,kjønn samlet,65 år,alle utdanningsnivåer,leveår,84.574989
Porsgrunn,2011-2017,kjønn samlet,65 år,grunnskole,leveår,82.858643
Porsgrunn,2011-2017,kjønn samlet,65 år,videregående eller høyere,leveår,86.339783
Porsgrunn,2011-2017,kjønn samlet,65 år,videregående,leveår,85.114609
Porsgrunn,2011-2017,kjønn samlet,65 år,universitet/ høgskole,leveår,87.564957
Porsgrunn,2011-2017,menn,ved fødsel,alle utdanningsnivåer,leveår,78.911713
Porsgrunn,2011-2017,menn,ved fødsel,grunnskole,leveår,-
Porsgrunn,2011-2017,menn,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2011-2017,menn,ved fødsel,videregående,leveår,-
Porsgrunn,2011-2017,menn,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2011-2017,menn,30 år,alle utdanningsnivåer,leveår,79.918518
Porsgrunn,2011-2017,menn,30 år,grunnskole,leveår,76.623734
Porsgrunn,2011-2017,menn,30 år,videregående eller høyere,leveår,81.839554
Porsgrunn,2011-2017,menn,30 år,videregående,leveår,80.047371
Porsgrunn,2011-2017,menn,30 år,universitet/ høgskole,leveår,83.631737
Porsgrunn,2011-2017,menn,65 år,alle utdanningsnivåer,leveår,83.312233
Porsgrunn,2011-2017,menn,65 år,grunnskole,leveår,81.931381
Porsgrunn,2011-2017,menn,65 år,videregående eller høyere,leveår,84.44989
Porsgrunn,2011-2017,menn,65 år,videregående,leveår,83.285255
Porsgrunn,2011-2017,menn,65 år,universitet/ høgskole,leveår,85.614532
Porsgrunn,2011-2017,kvinner,ved fødsel,alle utdanningsnivåer,leveår,82.784119
Porsgrunn,2011-2017,kvinner,ved fødsel,grunnskole,leveår,-
Porsgrunn,2011-2017,kvinner,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2011-2017,kvinner,ved fødsel,videregående,leveår,-
Porsgrunn,2011-2017,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2011-2017,kvinner,30 år,alle utdanningsnivåer,leveår,83.325333
Porsgrunn,2011-2017,kvinner,30 år,grunnskole,leveår,79.867004
Porsgrunn,2011-2017,kvinner,30 år,videregående eller høyere,leveår,86.235092
Porsgrunn,2011-2017,kvinner,30 år,videregående,leveår,84.115761
Porsgrunn,2011-2017,kvinner,30 år,universitet/ høgskole,leveår,88.354431
Porsgrunn,2011-2017,kvinner,65 år,alle utdanningsnivåer,leveår,85.837746
Porsgrunn,2011-2017,kvinner,65 år,grunnskole,leveår,83.785912
Porsgrunn,2011-2017,kvinner,65 år,videregående eller høyere,leveår,88.229675
Porsgrunn,2011-2017,kvinner,65 år,videregående,leveår,86.943962
Porsgrunn,2011-2017,kvinner,65 år,universitet/ høgskole,leveår,89.515381
Porsgrunn,2012-2018,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,81.021606
Porsgrunn,2012-2018,kjønn samlet,ved fødsel,grunnskole,leveår,-
Porsgrunn,2012-2018,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2012-2018,kjønn samlet,ved fødsel,videregående,leveår,-
Porsgrunn,2012-2018,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2012-2018,kjønn samlet,30 år,alle utdanningsnivåer,leveår,81.681946
Porsgrunn,2012-2018,kjønn samlet,30 år,grunnskole,leveår,78.434204
Porsgrunn,2012-2018,kjønn samlet,30 år,videregående eller høyere,leveår,83.89769
Porsgrunn,2012-2018,kjønn samlet,30 år,videregående,leveår,82.097855
Porsgrunn,2012-2018,kjønn samlet,30 år,universitet/ høgskole,leveår,85.697525
Porsgrunn,2012-2018,kjønn samlet,65 år,alle utdanningsnivåer,leveår,84.763168
Porsgrunn,2012-2018,kjønn samlet,65 år,grunnskole,leveår,83.088356
Porsgrunn,2012-2018,kjønn samlet,65 år,videregående eller høyere,leveår,86.349449
Porsgrunn,2012-2018,kjønn samlet,65 år,videregående,leveår,85.310211
Porsgrunn,2012-2018,kjønn samlet,65 år,universitet/ høgskole,leveår,87.388687
Porsgrunn,2012-2018,menn,ved fødsel,alle utdanningsnivåer,leveår,78.958168
Porsgrunn,2012-2018,menn,ved fødsel,grunnskole,leveår,-
Porsgrunn,2012-2018,menn,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2012-2018,menn,ved fødsel,videregående,leveår,-
Porsgrunn,2012-2018,menn,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2012-2018,menn,30 år,alle utdanningsnivåer,leveår,79.85746
Porsgrunn,2012-2018,menn,30 år,grunnskole,leveår,76.449173
Porsgrunn,2012-2018,menn,30 år,videregående eller høyere,leveår,81.794388
Porsgrunn,2012-2018,menn,30 år,videregående,leveår,79.990059
Porsgrunn,2012-2018,menn,30 år,universitet/ høgskole,leveår,83.598717
Porsgrunn,2012-2018,menn,65 år,alle utdanningsnivåer,leveår,83.436745
Porsgrunn,2012-2018,menn,65 år,grunnskole,leveår,82.038071
Porsgrunn,2012-2018,menn,65 år,videregående eller høyere,leveår,84.5186
Porsgrunn,2012-2018,menn,65 år,videregående,leveår,83.517509
Porsgrunn,2012-2018,menn,65 år,universitet/ høgskole,leveår,85.519691
Porsgrunn,2012-2018,kvinner,ved fødsel,alle utdanningsnivåer,leveår,83.085037
Porsgrunn,2012-2018,kvinner,ved fødsel,grunnskole,leveår,-
Porsgrunn,2012-2018,kvinner,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2012-2018,kvinner,ved fødsel,videregående,leveår,-
Porsgrunn,2012-2018,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2012-2018,kvinner,30 år,alle utdanningsnivåer,leveår,83.506432
Porsgrunn,2012-2018,kvinner,30 år,grunnskole,leveår,80.419235
Porsgrunn,2012-2018,kvinner,30 år,videregående eller høyere,leveår,86.000999
Porsgrunn,2012-2018,kvinner,30 år,videregående,leveår,84.205658
Porsgrunn,2012-2018,kvinner,30 år,universitet/ høgskole,leveår,87.796341
Porsgrunn,2012-2018,kvinner,65 år,alle utdanningsnivåer,leveår,86.089592
Porsgrunn,2012-2018,kvinner,65 år,grunnskole,leveår,84.138641
Porsgrunn,2012-2018,kvinner,65 år,videregående eller høyere,leveår,88.18029
Porsgrunn,2012-2018,kvinner,65 år,videregående,leveår,87.102905
Porsgrunn,2012-2018,kvinner,65 år,universitet/ høgskole,leveår,89.257675
Porsgrunn,2013-2019,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,81.238205
Porsgrunn,2013-2019,kjønn samlet,ved fødsel,grunnskole,leveår,-
Porsgrunn,2013-2019,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2013-2019,kjønn samlet,ved fødsel,videregående,leveår,-
Porsgrunn,2013-2019,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2013-2019,kjønn samlet,30 år,alle utdanningsnivåer,leveår,81.832657
Porsgrunn,2013-2019,kjønn samlet,30 år,grunnskole,leveår,78.666809
Porsgrunn,2013-2019,kjønn samlet,30 år,videregående eller høyere,leveår,83.854218
Porsgrunn,2013-2019,kjønn samlet,30 år,videregående,leveår,82.221756
Porsgrunn,2013-2019,kjønn samlet,30 år,universitet/ høgskole,leveår,85.486679
Porsgrunn,2013-2019,kjønn samlet,65 år,alle utdanningsnivåer,leveår,84.790886
Porsgrunn,2013-2019,kjønn samlet,65 år,grunnskole,leveår,83.014717
Porsgrunn,2013-2019,kjønn samlet,65 år,videregående eller høyere,leveår,86.288002
Porsgrunn,2013-2019,kjønn samlet,65 år,videregående,leveår,85.331444
Porsgrunn,2013-2019,kjønn samlet,65 år,universitet/ høgskole,leveår,87.24456
Porsgrunn,2013-2019,menn,ved fødsel,alle utdanningsnivåer,leveår,79.28775
Porsgrunn,2013-2019,menn,ved fødsel,grunnskole,leveår,-
Porsgrunn,2013-2019,menn,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2013-2019,menn,ved fødsel,videregående,leveår,-
Porsgrunn,2013-2019,menn,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2013-2019,menn,30 år,alle utdanningsnivåer,leveår,80.064346
Porsgrunn,2013-2019,menn,30 år,grunnskole,leveår,76.89151
Porsgrunn,2013-2019,menn,30 år,videregående eller høyere,leveår,81.90255
Porsgrunn,2013-2019,menn,30 år,videregående,leveår,79.87558
Porsgrunn,2013-2019,menn,30 år,universitet/ høgskole,leveår,83.92952
Porsgrunn,2013-2019,menn,65 år,alle utdanningsnivåer,leveår,83.523262
Porsgrunn,2013-2019,menn,65 år,grunnskole,leveår,81.985954
Porsgrunn,2013-2019,menn,65 år,videregående eller høyere,leveår,84.642174
Porsgrunn,2013-2019,menn,65 år,videregående,leveår,83.53334
Porsgrunn,2013-2019,menn,65 år,universitet/ høgskole,leveår,85.751007
Porsgrunn,2013-2019,kvinner,ved fødsel,alle utdanningsnivåer,leveår,83.188667
Porsgrunn,2013-2019,kvinner,ved fødsel,grunnskole,leveår,-
Porsgrunn,2013-2019,kvinner,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2013-2019,kvinner,ved fødsel,videregående,leveår,-
Porsgrunn,2013-2019,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2013-2019,kvinner,30 år,alle utdanningsnivåer,leveår,83.600967
Porsgrunn,2013-2019,kvinner,30 år,grunnskole,leveår,80.442108
Porsgrunn,2013-2019,kvinner,30 år,videregående eller høyere,leveår,85.805893
Porsgrunn,2013-2019,kvinner,30 år,videregående,leveår,84.567932
Porsgrunn,2013-2019,kvinner,30 år,universitet/ høgskole,leveår,87.043846
Porsgrunn,2013-2019,kvinner,65 år,alle utdanningsnivåer,leveår,86.05851
Porsgrunn,2013-2019,kvinner,65 år,grunnskole,leveår,84.04348
Porsgrunn,2013-2019,kvinner,65 år,videregående eller høyere,leveår,87.93383
Porsgrunn,2013-2019,kvinner,65 år,videregående,leveår,87.129547
Porsgrunn,2013-2019,kvinner,65 år,universitet/ høgskole,leveår,88.738113
Porsgrunn,2014-2020,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,81.330399
Porsgrunn,2014-2020,kjønn samlet,ved fødsel,grunnskole,leveår,-
Porsgrunn,2014-2020,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2014-2020,kjønn samlet,ved fødsel,videregående,leveår,-
Porsgrunn,2014-2020,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2014-2020,kjønn samlet,30 år,alle utdanningsnivåer,leveår,81.94342
Porsgrunn,2014-2020,kjønn samlet,30 år,grunnskole,leveår,78.841003
Porsgrunn,2014-2020,kjønn samlet,30 år,videregående eller høyere,leveår,83.97979
Porsgrunn,2014-2020,kjønn samlet,30 år,videregående,leveår,82.21138
Porsgrunn,2014-2020,kjønn samlet,30 år,universitet/ høgskole,leveår,85.748199
Porsgrunn,2014-2020,kjønn samlet,65 år,alle utdanningsnivåer,leveår,84.86586
Porsgrunn,2014-2020,kjønn samlet,65 år,grunnskole,leveår,83.050873
Porsgrunn,2014-2020,kjønn samlet,65 år,videregående eller høyere,leveår,86.406891
Porsgrunn,2014-2020,kjønn samlet,65 år,videregående,leveår,85.396973
Porsgrunn,2014-2020,kjønn samlet,65 år,universitet/ høgskole,leveår,87.416809
Porsgrunn,2014-2020,menn,ved fødsel,alle utdanningsnivåer,leveår,79.64373
Porsgrunn,2014-2020,menn,ved fødsel,grunnskole,leveår,-
Porsgrunn,2014-2020,menn,ved fødsel,videregående eller høyere,leveår,-
Porsgrunn,2014-2020,menn,ved fødsel,videregående,leveår,-
Porsgrunn,2014-2020,menn,ved fødsel,universitet/ høgskole,leveår,-
Porsgrunn,2014-2020,menn,30 år,alle utdanningsnivåer,leveår,80.502098
Porsgrunn,2014-2020,menn,30 år,grunnskole,leveår,77.186707
Porsgrunn,2014-2020,menn,30 år,videregående eller høyere,leveår,82.386902
Porsgrunn,2014-2020,menn,30 år,videregående,leveår,80.398911
Porsgrunn,2014-2020,menn,30 år,universitet/ høgskole,leveår,84.374901
Porsgrunn,2014-2020,menn,65 år,alle utdanningsnivåer,leveår,83.769707
Porsgrunn,2014-2020,menn,65 år,grunnskole,leveår,82.191208
Porsgrunn,2014-2020,menn,65 år,videregående eller høyere,leveår,84.915039
Porsgrunn,2014-2020,menn,65 år,videregående,leveår,83.866371
Porsgrunn,2014-2020,menn,65 år,universitet/ høgskole,leveår,85.963715
Porsgrunn,2014-2020,kvinner,ved fødsel,alle utdanningsnivåer,leveår,83.017067
Porsgrunn,2014-2020,kvinner,ved fødsel,grunnskole,leveår,-
