Geografi,År,Kjønn,Alder,Utdanningsnivå,Måltall,value
Hele landet,2010-2016,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,81.794601
Hele landet,2010-2016,kjønn samlet,ved fødsel,grunnskole,leveår,-
Hele landet,2010-2016,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2010-2016,kjønn samlet,ved fødsel,videregående,leveår,-
Hele landet,2010-2016,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Hele landet,2010-2016,kjønn samlet,30 år,alle utdanningsnivåer,leveår,82.434296
Hele landet,2010-2016,kjønn samlet,30 år,grunnskole,leveår,79.4366
Hele landet,2010-2016,kjønn samlet,30 år,videregående eller høyere,leveår,84.50161
Hele landet,2010-2016,kjønn samlet,30 år,videregående,leveår,83.106339
Hele landet,2010-2016,kjønn samlet,30 år,universitet/ høgskole,leveår,85.896881
Hele landet,2010-2016,kjønn samlet,65 år,alle utdanningsnivåer,leveår,84.96875
Hele landet,2010-2016,kjønn samlet,65 år,grunnskole,leveår,83.432495
Hele landet,2010-2016,kjønn samlet,65 år,videregående eller høyere,leveår,86.531235
Hele landet,2010-2016,kjønn samlet,65 år,videregående,leveår,85.492699
Hele landet,2010-2016,kjønn samlet,65 år,universitet/ høgskole,leveår,87.569778
Hele landet,2010-2016,menn,ved fødsel,alle utdanningsnivåer,leveår,79.808647
Hele landet,2010-2016,menn,ved fødsel,grunnskole,leveår,-
Hele landet,2010-2016,menn,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2010-2016,menn,ved fødsel,videregående,leveår,-
Hele landet,2010-2016,menn,ved fødsel,universitet/ høgskole,leveår,-
Hele landet,2010-2016,menn,30 år,alle utdanningsnivåer,leveår,80.598862
Hele landet,2010-2016,menn,30 år,grunnskole,leveår,77.160294
Hele landet,2010-2016,menn,30 år,videregående eller høyere,leveår,82.595833
Hele landet,2010-2016,menn,30 år,videregående,leveår,81.075546
Hele landet,2010-2016,menn,30 år,universitet/ høgskole,leveår,84.116119
Hele landet,2010-2016,menn,65 år,alle utdanningsnivåer,leveår,83.57206
Hele landet,2010-2016,menn,65 år,grunnskole,leveår,81.928375
Hele landet,2010-2016,menn,65 år,videregående eller høyere,leveår,84.917511
Hele landet,2010-2016,menn,65 år,videregående,leveår,83.827972
Hele landet,2010-2016,menn,65 år,universitet/ høgskole,leveår,86.00705
Hele landet,2010-2016,kvinner,ved fødsel,alle utdanningsnivåer,leveår,83.780556
Hele landet,2010-2016,kvinner,ved fødsel,grunnskole,leveår,-
Hele landet,2010-2016,kvinner,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2010-2016,kvinner,ved fødsel,videregående,leveår,-
Hele landet,2010-2016,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Hele landet,2010-2016,kvinner,30 år,alle utdanningsnivåer,leveår,84.26973
Hele landet,2010-2016,kvinner,30 år,grunnskole,leveår,81.712898
Hele landet,2010-2016,kvinner,30 år,videregående eller høyere,leveår,86.407394
Hele landet,2010-2016,kvinner,30 år,videregående,leveår,85.137138
Hele landet,2010-2016,kvinner,30 år,universitet/ høgskole,leveår,87.67765
Hele landet,2010-2016,kvinner,65 år,alle utdanningsnivåer,leveår,86.365433
Hele landet,2010-2016,kvinner,65 år,grunnskole,leveår,84.936615
Hele landet,2010-2016,kvinner,65 år,videregående eller høyere,leveår,88.144966
Hele landet,2010-2016,kvinner,65 år,videregående,leveår,87.157425
Hele landet,2010-2016,kvinner,65 år,universitet/ høgskole,leveår,89.132507
Hele landet,2011-2017,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,82.008774
