Geografi,År,Kjønn,Alder,"Skala 0-10, tilfredshet",Sosial status,Måltall,value
Drangedal,2024,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",54.0206275575757
Nome,2021,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",54.2639644550733
Nome,2021,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",68.959330096228
Nome,2021,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",38.6286870277263
Nome,2024,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",56.3615570926056
Nome,2024,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",66.6645653814361
Nome,2024,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",45.6920085530113
Midt-Telemark,2021,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",51.5644148683324
Midt-Telemark,2021,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",62.2421368782693
Midt-Telemark,2021,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",40.6397064271552
Midt-Telemark,2024,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",:
Midt-Telemark,2024,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",:
Midt-Telemark,2024,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",:
Seljord,2021,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",56.5795122257965
Seljord,2021,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",68.8830074507361
Seljord,2021,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",44.1348504437499
Seljord,2024,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",52.7079183225029
Seljord,2024,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",58.152437346806
Seljord,2024,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",47.6576776492426
Hjartdal,2021,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Hjartdal,2021,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Hjartdal,2021,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Hjartdal,2024,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Hjartdal,2024,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Hjartdal,2024,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
