Anleggsnavn,Fylke,Kommune,NACE Kode,År,Årlig utslipp til luft,Grunnlagsverdi for luft,Årlig utslipp til vann,Grunnlagsverdi for vann,Enhet,AnleggId,Org.nr.
Heidelberg materials miljø as avd. brevik,Telemark,Porsgrunn,38.220,2014-01-01,545.0,B,,,tonn,6620,980568652
Heidelberg materials miljø as avd. brevik,Telemark,Porsgrunn,38.220,2015-01-01,493.0,B,,,tonn,6620,980568652
Heidelberg materials miljø as avd. brevik,Telemark,Porsgrunn,38.220,2016-01-01,535.0,B,,,tonn,6620,980568652
Heidelberg materials miljø as avd. brevik,Telemark,Porsgrunn,38.220,2017-01-01,516.0,B,,,tonn,6620,980568652
Heidelberg materials miljø as avd. brevik,Telemark,Porsgrunn,38.220,2018-01-01,505.0,B,,,tonn,6620,980568652
Heidelberg materials miljø as avd. brevik,Telemark,Porsgrunn,38.220,2019-01-01,621.0,B,,,tonn,6620,980568652
Heidelberg materials miljø as avd. brevik,Telemark,Porsgrunn,38.220,2020-01-01,605.0,B,,,tonn,6620,980568652
Heidelberg materials miljø as avd. brevik,Telemark,Porsgrunn,38.220,2021-01-01,615.0,B,,,tonn,6620,980568652
Heidelberg materials miljø as avd. brevik,Telemark,Porsgrunn,38.220,2022-01-01,608.0,B,,,tonn,6620,980568652
Heidelberg materials miljø as avd. brevik,Telemark,Porsgrunn,38.220,2023-01-01,700.0,B,,,tonn,6620,980568652
Tine meieriet haukeli,Telemark,Vinje,10.510,2001-01-01,7.44,B,,,tonn,6632,974084309
Tine meieriet haukeli,Telemark,Vinje,10.510,2002-01-01,7.44,B,,,tonn,6632,974084309
Borgestad fabrikker a.s,Telemark,Skien,46.693,2001-01-01,3.54,B,,,tonn,7576,974074605
Borgestad fabrikker a.s,Telemark,Skien,46.693,2002-01-01,6.48,B,,,tonn,7576,974074605
