Kommune,Andel,Label
Porsgrunn,0.1125,Porsgrunn
Skien,0.1353,Skien
Notodden,0.1093,Notodden
Siljan,0.139,Siljan
Bamble,0.1186,Bamble
Kragerø,0.124,Kragerø
Drangedal,0.1466,Drangedal
Nome,0.1313,Nome
Midt-Telemark,0.1229,Midt-Telemark
Seljord,0.1014,Seljord
Hjartdal,0.1049,Hjartdal
Tinn,0.1133,Tinn
Kviteseid,0.1054,Kviteseid
Nissedal,0.1306,Nissedal
Fyresdal,0.095,Fyresdal
Tokke,0.1129,Tokke
Vinje,0.1222,Vinje
