Kommune,Andel,Label
Porsgrunn,0.1219,Porsgrunn
Skien,0.1367,Skien
Notodden,0.1361,Notodden
Siljan,0.1205,Siljan
Bamble,0.1374,Bamble
Kragerø,0.1322,Kragerø
Drangedal,0.1309,Drangedal
Nome,0.1536,Nome
Midt-Telemark,0.1232,Midt-Telemark
Seljord,0.1255,Seljord
Hjartdal,0.1323,Hjartdal
Tinn,0.1447,Tinn
Kviteseid,0.1308,Kviteseid
Nissedal,0.1253,Nissedal
Fyresdal,0.1181,Fyresdal
Tokke,0.1062,Tokke
Vinje,0.1033,Vinje
