Kommune,Andel,Label
Porsgrunn,0.792,Porsgrunn
Skien,0.7692,Skien
Notodden,0.7831,Notodden
Siljan,0.8066,Siljan
Bamble,0.8193,Bamble
Kragerø,0.7974,Kragerø
Drangedal,0.7914,Drangedal
Nome,0.7616,Nome
Midt-Telemark,0.7869,Midt-Telemark
Seljord,0.7642,Seljord
Hjartdal,0.7294,Hjartdal
Tinn,0.8021,Tinn
Kviteseid,0.7964,Kviteseid
Nissedal,0.7831,Nissedal
Fyresdal,0.7992,Fyresdal
Tokke,0.801,Tokke
Vinje,0.7891,Vinje
