Kommune,Andel,Label
Porsgrunn,0.8175,Porsgrunn
Skien,0.8116,Skien
Notodden,0.7799,Notodden
Siljan,0.8071,Siljan
Bamble,0.8029,Bamble
Kragerø,0.8093,Kragerø
Drangedal,0.7953,Drangedal
Nome,0.7752,Nome
Midt-Telemark,0.8062,Midt-Telemark
Seljord,0.7756,Seljord
Hjartdal,0.7459,Hjartdal
Tinn,0.7708,Tinn
Kviteseid,0.7832,Kviteseid
Nissedal,0.8035,Nissedal
Fyresdal,0.7886,Fyresdal
Tokke,0.8045,Tokke
Vinje,0.7902,Vinje
