ssbid;geometry_b;geometry_1;geometry_2;geometry_3;SSB_sentrum2019_intersect;SSB_sentrum2019_centroid;SSB_sentrum2024_intersect;SSB_sentrum2024_centroid;Hovedsentrum2019_intersect;Hovedsentrum2019_centroid;Hovedsentrum2024_intersect;Hovedsentrum2024_centroid;Kommune;Shape_Length;Shape_Area
21700006570250;170000;6570250;170250,015625000000000;6570500;;;;;;;;;Skien;1000;62500
21702506569250;170250;6569250;170500,015625000000000;6569500;;;;;;;;;Skien;1000;62500
21702506569500;170250;6569500;170500,015625000000000;6569750;;;;;;;;;Skien;1000;62500
21702506569750;170250;6569750;170500,015625000000000;6570000;;;;;;;;;Skien;1000;62500
21702506570000;170250;6570000;170500,015625000000000;6570250;;;;;;;;;Skien;1000;62500
21702506570250;170250;6570250;170500,015625000000000;6570500;;;;;;;;;Skien;1000;62500
21702506570500;170250;6570500;170500,015625000000000;6570750;;;;;;;;;Skien;1000;62500
21705006569000;170500;6569000;170750,015625000000000;6569250;;;;;;;;;Skien;1000;62500
21705006569250;170500;6569250;170750,015625000000000;6569500;;;;;;;;;Skien;1000;62500
21705006569500;170500;6569500;170750,015625000000000;6569750;;;;;;;;;Skien;1000;62500
21705006569750;170500;6569750;170750,015625000000000;6570000;;;;;;;;;Skien;1000;62500
21705006570000;170500;6570000;170750,015625000000000;6570250;;;;;;;;;Skien;1000;62500
21705006570250;170500;6570250;170750,015625000000000;6570500;;;;;;;;;Skien;1000;62500
21705006570500;170500;6570500;170750,015625000000000;6570750;;;;;;;;;Skien;1000;62500
21707506568250;170750;6568250;171000,015625000000000;6568500;;;;;;;;;Skien;1000;62500
21707506568500;170750;6568500;171000,015625000000000;6568750;;;;;;;;;Skien;1000;62500
21707506568750;170750;6568750;171000,015625000000000;6569000;;;;;;;;;Skien;1000;62500
21707506569000;170750;6569000;171000,015625000000000;6569250;;;;;;;;;Skien;1000;62500
21707506569250;170750;6569250;171000,015625000000000;6569500;;;;;;;;;Skien;1000;62500
21707506569500;170750;6569500;171000,015625000000000;6569750;;;;;;;;;Skien;1000;62500
21707506569750;170750;6569750;171000,015625000000000;6570000;;;;;;;;;Skien;1000;62500
21707506570000;170750;6570000;171000,015625000000000;6570250;;;;;;;;;Skien;1000;62500
21707506570250;170750;6570250;171000,015625000000000;6570500;;;;;;;;;Skien;1000;62500
21707506570500;170750;6570500;171000,015625000000000;6570750;;;;;;;;;Skien;1000;62500
21707506570750;170750;6570750;171000,015625000000000;6571000;;;;;;;;;Skien;1000;62500
21710006568000;171000;6568000;171250,015625000000000;6568250;;;;;;;;;Skien;1000;62500
21710006568250;171000;6568250;171250,015625000000000;6568500;;;;;;;;;Skien;1000;62500
21710006568500;171000;6568500;171250,015625000000000;6568750;;;;;;;;;Skien;1000;62500
21710006568750;171000;6568750;171250,015625000000000;6569000;;;;;;;;;Skien;1000;62500
21710006569000;171000;6569000;171250,015625000000000;6569250;;;;;;;;;Skien;1000;62500
21710006569250;171000;6569250;171250,015625000000000;6569500;;;;;;;;;Skien;1000;62500
21710006569500;171000;6569500;171250,015625000000000;6569750;;;;;;;;;Skien;1000;62500
21710006569750;171000;6569750;171250,015625000000000;6570000;;;;;;;;;Skien;1000;62500
21710006570000;171000;6570000;171250,015625000000000;6570250;;;;;;;;;Skien;1000;62500
21710006570250;171000;6570250;171250,015625000000000;6570500;;;;;;;;;Skien;1000;62500
21710006570500;171000;6570500;171250,015625000000000;6570750;;;;;;;;;Skien;1000;62500
21710006570750;171000;6570750;171250,015625000000000;6571000;;;;;;;;;Skien;1000;62500
21710006571000;171000;6571000;171250,015625000000000;6571250;;;;;;;;;Skien;1000;62500
21712506565250;171250;6565250;171500,015625000000000;6565500;;;;;;;;;Skien;1000;62500
21712506565500;171250;6565500;171500,015625000000000;6565750;;;;;;;;;Skien;1000;62500
21712506567500;171250;6567500;171500,015625000000000;6567750;;;;;;;;;Skien;1000;62500
21712506567750;171250;6567750;171500,015625000000000;6568000;;;;;;;;;Skien;1000;62500
21712506568000;171250;6568000;171500,015625000000000;6568250;;;;;;;;;Skien;1000;62500
21712506568250;171250;6568250;171500,015625000000000;6568500;;;;;;;;;Skien;1000;62500
21712506568500;171250;6568500;171500,015625000000000;6568750;;;;;;;;;Skien;1000;62500
21712506568750;171250;6568750;171500,015625000000000;6569000;;;;;;;;;Skien;1000;62500
21712506569000;171250;6569000;171500,015625000000000;6569250;;;;;;;;;Skien;1000;62500
21712506569250;171250;6569250;171500,015625000000000;6569500;;;;;;;;;Skien;1000;62500
21712506569500;171250;6569500;171500,015625000000000;6569750;;;;;;;;;Skien;1000;62500
21712506569750;171250;6569750;171500,015625000000000;6570000;;;;;;;;;Skien;1000;62500
21712506570000;171250;6570000;171500,015625000000000;6570250;;;;;;;;;Skien;1000;62500
21712506570250;171250;6570250;171500,015625000000000;6570500;;;;;;;;;Skien;1000;62500
21712506570500;171250;6570500;171500,015625000000000;6570750;;;;;;;;;Skien;1000;62500
21712506570750;171250;6570750;171500,015625000000000;6571000;;;;;;;;;Skien;1000;62500
21712506571000;171250;6571000;171500,015625000000000;6571250;;;;;;;;;Skien;1000;62500
21712506571500;171250;6571500;171500,015625000000000;6571750;;;;;;;;;Skien;1000;62500
21715006565000;171500;6565000;171750,015625000000000;6565250;;;;;;;;;Skien;1000;62500
21715006565250;171500;6565250;171750,015625000000000;6565500;;;;;;;;;Skien;1000;62500
21715006565500;171500;6565500;171750,015625000000000;6565750;;;;;;;;;Skien;1000;62500
21715006565750;171500;6565750;171750,015625000000000;6566000;;;;;;;;;Skien;1000;62500
21715006566000;171500;6566000;171750,015625000000000;6566250;;;;;;;;;Skien;1000;62500
21715006566250;171500;6566250;171750,015625000000000;6566500;;;;;;;;;Skien;1000;62500
21715006567000;171500;6567000;171750,015625000000000;6567250;;;;;;;;;Skien;1000;62500
21715006567250;171500;6567250;171750,015625000000000;6567500;;;;;;;;;Skien;1000;62500
21715006567500;171500;6567500;171750,015625000000000;6567750;;;;;;;;;Skien;1000;62500
21715006567750;171500;6567750;171750,015625000000000;6568000;;;;;;;;;Skien;1000;62500
21715006568000;171500;6568000;171750,015625000000000;6568250;;;;;;;;;Skien;1000;62500
21715006568250;171500;6568250;171750,015625000000000;6568500;;;;;;;;;Skien;1000;62500
21715006568500;171500;6568500;171750,015625000000000;6568750;;;;;;;;;Skien;1000;62500
21715006568750;171500;6568750;171750,015625000000000;6569000;;;;;;;;;Skien;1000;62500
21715006569000;171500;6569000;171750,015625000000000;6569250;;;;;;;;;Skien;1000;62500
21715006569250;171500;6569250;171750,015625000000000;6569500;;;;;;;;;Skien;1000;62500
21715006569500;171500;6569500;171750,015625000000000;6569750;;;;;;;;;Skien;1000;62500
21715006569750;171500;6569750;171750,015625000000000;6570000;;;;;;;;;Skien;1000;62500
21715006570000;171500;6570000;171750,015625000000000;6570250;;;;;;;;;Skien;1000;62500
21715006570250;171500;6570250;171750,015625000000000;6570500;;;;;;;;;Skien;1000;62500
21715006570500;171500;6570500;171750,015625000000000;6570750;;;;;;;;;Skien;1000;62500
21715006570750;171500;6570750;171750,015625000000000;6571000;;;;;;;;;Skien;1000;62500
21715006571000;171500;6571000;171750,015625000000000;6571250;;;;;;;;;Skien;1000;62500
21715006571750;171500;6571750;171750,015625000000000;6572000;;;;;;;;;Skien;1000;62500
21715006572000;171500;6572000;171750,015625000000000;6572250;;;;;;;;;Skien;1000;62500
