region,statistikkvariabel,år,value
Kragerø,Personer,2020,10380
Kragerø,Personer,2021,10416
Kragerø,Personer,2022,10351
Kragerø,Personer,2023,10413
Kragerø,Personer,2024,10445
Kragerø,Personer,2025,10446
Drangedal,Personer,2006,4163
Drangedal,Personer,2007,4136
Drangedal,Personer,2008,4111
Drangedal,Personer,2009,4138
Drangedal,Personer,2010,4159
Drangedal,Personer,2011,4124
Drangedal,Personer,2012,4126
Drangedal,Personer,2013,4139
Drangedal,Personer,2014,4135
Drangedal,Personer,2015,4111
Drangedal,Personer,2016,4136
Drangedal,Personer,2017,4148
Drangedal,Personer,2018,4105
Drangedal,Personer,2019,4080
Drangedal,Personer,2020,4060
Drangedal,Personer,2021,4071
Drangedal,Personer,2022,4093
Drangedal,Personer,2023,4091
Drangedal,Personer,2024,4086
Drangedal,Personer,2025,4067
Nome,Personer,2006,6571
Nome,Personer,2007,6576
Nome,Personer,2008,6601
Nome,Personer,2009,6557
Nome,Personer,2010,6527
Nome,Personer,2011,6561
Nome,Personer,2012,6579
Nome,Personer,2013,6625
Nome,Personer,2014,6643
Nome,Personer,2015,6630
Nome,Personer,2016,6534
Nome,Personer,2017,6585
Nome,Personer,2018,6609
Nome,Personer,2019,6538
Nome,Personer,2020,6515
Nome,Personer,2021,6488
Nome,Personer,2022,6494
Nome,Personer,2023,6559
Nome,Personer,2024,6539
Nome,Personer,2025,6558
Midt-Telemark,Personer,2006,9598
Midt-Telemark,Personer,2007,9610
Midt-Telemark,Personer,2008,9702
Midt-Telemark,Personer,2009,9792
Midt-Telemark,Personer,2010,9865
Midt-Telemark,Personer,2011,10017
Midt-Telemark,Personer,2012,10080
Midt-Telemark,Personer,2013,10160
Midt-Telemark,Personer,2014,10159
Midt-Telemark,Personer,2015,10323
Midt-Telemark,Personer,2016,10439
Midt-Telemark,Personer,2017,10565
Midt-Telemark,Personer,2018,10819
Midt-Telemark,Personer,2019,10923
Midt-Telemark,Personer,2020,10444
Midt-Telemark,Personer,2021,10461
Midt-Telemark,Personer,2022,10539
Midt-Telemark,Personer,2023,10735
Midt-Telemark,Personer,2024,10904
Midt-Telemark,Personer,2025,11135
Seljord,Personer,2006,2912
Seljord,Personer,2007,2933
Seljord,Personer,2008,2930
Seljord,Personer,2009,2925
Seljord,Personer,2010,2966
Seljord,Personer,2011,2955
Seljord,Personer,2012,2959
Seljord,Personer,2013,2945
Seljord,Personer,2014,2989
Seljord,Personer,2015,3002
Seljord,Personer,2016,2991
Seljord,Personer,2017,2979
Seljord,Personer,2018,2959
Seljord,Personer,2019,2934
Seljord,Personer,2020,2888
Seljord,Personer,2021,2900
Seljord,Personer,2022,2889
Seljord,Personer,2023,2939
Seljord,Personer,2024,2979
Seljord,Personer,2025,2981
Hjartdal,Personer,2006,1619
Hjartdal,Personer,2007,1619
Hjartdal,Personer,2008,1619
Hjartdal,Personer,2009,1613
Hjartdal,Personer,2010,1587
Hjartdal,Personer,2011,1597
Hjartdal,Personer,2012,1602
Hjartdal,Personer,2013,1609
Hjartdal,Personer,2014,1602
Hjartdal,Personer,2015,1594
Hjartdal,Personer,2016,1613
Hjartdal,Personer,2017,1593
Hjartdal,Personer,2018,1587
Hjartdal,Personer,2019,1572
Hjartdal,Personer,2020,1573
Hjartdal,Personer,2021,1561
Hjartdal,Personer,2022,1562
Hjartdal,Personer,2023,1588
Hjartdal,Personer,2024,1630
Hjartdal,Personer,2025,1646
Tinn,Personer,2006,6247
Tinn,Personer,2007,6120
Tinn,Personer,2008,6066
Tinn,Personer,2009,6010
Tinn,Personer,2010,6022
Tinn,Personer,2011,6037
Tinn,Personer,2012,5982
Tinn,Personer,2013,5973
Tinn,Personer,2014,5957
Tinn,Personer,2015,5913
Tinn,Personer,2016,5940
Tinn,Personer,2017,5894
Tinn,Personer,2018,5856
Tinn,Personer,2019,5780
Tinn,Personer,2020,5691
Tinn,Personer,2021,5604
Tinn,Personer,2022,5512
