Kommune,Andel (2022 - 2026),Label
Porsgrunn,2,Porsgrunn
Skien,3,Skien
Notodden,3,Notodden
Siljan,1,Siljan
Bamble,2,Bamble
Kragerø,0,Kragerø
Drangedal,-1,Drangedal
Nome,1,Nome
Midt-Telemark,6,Midt-Telemark
Seljord,2,Seljord
Hjartdal,5,Hjartdal
Tinn,0,Tinn
Kviteseid,0,Kviteseid
Nissedal,7,Nissedal
Fyresdal,6,Fyresdal
Tokke,5,Tokke
Vinje,2,Vinje
