Kommune,Andel,Label
Porsgrunn,0.9028,Porsgrunn
Skien,0.9157,Skien
Notodden,0.9088,Notodden
Siljan,0.9591,Siljan
Bamble,0.9394,Bamble
Kragerø,0.9134,Kragerø
Drangedal,0.9333,Drangedal
Nome,0.9403,Nome
Midt-Telemark,0.9482,Midt-Telemark
Tinn,0.9209,Tinn
Hjartdal,0.9579,Hjartdal
Seljord,0.9176,Seljord
Kviteseid,0.935,Kviteseid
Nissedal,0.9467,Nissedal
Fyresdal,0.9746,Fyresdal
Tokke,0.9561,Tokke
Vinje,0.9518,Vinje
