Kommune,Andel,Label
Porsgrunn,0.1425,Porsgrunn
Skien,0.135,Skien
Notodden,0.145,Notodden
Siljan,0.1381,Siljan
Bamble,0.1634,Bamble
Kragerø,0.1329,Kragerø
Drangedal,0.1395,Drangedal
Nome,0.1119,Nome
Midt-Telemark,0.1403,Midt-Telemark
Tinn,0.1325,Tinn
Hjartdal,0.1158,Hjartdal
Seljord,0.1182,Seljord
Kviteseid,0.1173,Kviteseid
Nissedal,0.1333,Nissedal
Fyresdal,0.1211,Fyresdal
Tokke,0.105,Tokke
Vinje,0.1095,Vinje
