Kommune,Andel,Label
Porsgrunn,88,Porsgrunn
Skien,90,Skien
Notodden,88,Notodden
Siljan,90,Siljan
Bamble,88,Bamble
Kragerø,90,Kragerø
Drangedal,90,Drangedal
Nome,90,Nome
Midt-Telemark,89,Midt-Telemark
Tinn,88,Tinn
Hjartdal,89,Hjartdal
Seljord,91,Seljord
Kviteseid,90,Kviteseid
Nissedal,90,Nissedal
Fyresdal,91,Fyresdal
Tokke,91,Tokke
Vinje,92,Vinje
