Kommune,Andel,Label
Porsgrunn,78,Porsgrunn
Skien,77,Skien
Notodden,69,Notodden
Siljan,78,Siljan
Bamble,76,Bamble
Kragerø,77,Kragerø
Drangedal,71,Drangedal
Nome,74,Nome
Midt-Telemark,75,Midt-Telemark
Tinn,76,Tinn
Hjartdal,67,Hjartdal
Seljord,72,Seljord
Kviteseid,72,Kviteseid
Nissedal,72,Nissedal
Fyresdal,73,Fyresdal
Tokke,73,Tokke
Vinje,74,Vinje
