Kommune,Andel,Label
Porsgrunn,0.1702,Porsgrunn
Skien,0.1563,Skien
Notodden,0.1579,Notodden
Siljan,0.1031,Siljan
Bamble,0.1646,Bamble
Kragerø,0.2056,Kragerø
Drangedal,0.1442,Drangedal
Nome,0.1468,Nome
Midt-Telemark,0.1281,Midt-Telemark
Tinn,0.1132,Tinn
Hjartdal,0.1088,Hjartdal
Seljord,0.14,Seljord
Kviteseid,0.1245,Kviteseid
Nissedal,0.1333,Nissedal
Fyresdal,0.1746,Fyresdal
Tokke,0.1603,Tokke
Vinje,0.1457,Vinje
