Kommune,Andel,Label
Porsgrunn,46,Porsgrunn
Skien,46,Skien
Notodden,41,Notodden
Siljan,44,Siljan
Bamble,47,Bamble
Kragerø,54,Kragerø
Drangedal,43,Drangedal
Nome,45,Nome
Midt-Telemark,49,Midt-Telemark
Tinn,43,Tinn
Hjartdal,37,Hjartdal
Seljord,46,Seljord
Kviteseid,47,Kviteseid
Nissedal,47,Nissedal
Fyresdal,41,Fyresdal
Tokke,46,Tokke
Vinje,48,Vinje
