Kommune,Andel,Label
Porsgrunn,11,Porsgrunn
Skien,11,Skien
Notodden,11,Notodden
Siljan,8,Siljan
Bamble,10,Bamble
Kragerø,9,Kragerø
Drangedal,7,Drangedal
Nome,11,Nome
Midt-Telemark,9,Midt-Telemark
Tinn,7,Tinn
Hjartdal,12,Hjartdal
Seljord,8,Seljord
Kviteseid,7,Kviteseid
Nissedal,6,Nissedal
Fyresdal,3,Fyresdal
Tokke,8,Tokke
Vinje,10,Vinje
