Kommune,Andel,Label
Porsgrunn,69,Porsgrunn
Skien,71,Skien
Notodden,65,Notodden
Siljan,68,Siljan
Bamble,67,Bamble
Kragerø,73,Kragerø
Drangedal,65,Drangedal
Nome,71,Nome
Midt-Telemark,70,Midt-Telemark
Tinn,71,Tinn
Hjartdal,64,Hjartdal
Seljord,70,Seljord
Kviteseid,70,Kviteseid
Nissedal,71,Nissedal
Fyresdal,74,Fyresdal
Tokke,72,Tokke
Vinje,74,Vinje
