Kommune,Andel,Label
Porsgrunn,0.1974,Porsgrunn
Skien,0.1907,Skien
Notodden,0.1977,Notodden
Siljan,0.2062,Siljan
Bamble,0.192,Bamble
Kragerø,0.2025,Kragerø
Drangedal,0.1514,Drangedal
Nome,0.1716,Nome
Midt-Telemark,0.2234,Midt-Telemark
Tinn,0.1709,Tinn
Hjartdal,0.1684,Hjartdal
Seljord,0.1851,Seljord
Kviteseid,0.1823,Kviteseid
Nissedal,0.1367,Nissedal
Fyresdal,0.2,Fyresdal
Tokke,0.1546,Tokke
Vinje,0.206,Vinje
