Kommune,Andel,Label
Porsgrunn,83,Porsgrunn
Skien,83,Skien
Notodden,79,Notodden
Siljan,84,Siljan
Bamble,84,Bamble
Kragerø,85,Kragerø
Drangedal,81,Drangedal
Nome,80,Nome
Midt-Telemark,75,Midt-Telemark
Tinn,86,Tinn
Hjartdal,78,Hjartdal
Seljord,82,Seljord
Kviteseid,76,Kviteseid
Nissedal,82,Nissedal
Fyresdal,80,Fyresdal
Tokke,82,Tokke
Vinje,81,Vinje
