Kommune,Andel,Label
Porsgrunn,0.1102,Porsgrunn
Skien,0.1075,Skien
Notodden,0.117,Notodden
Siljan,0.1128,Siljan
Bamble,0.1234,Bamble
Kragerø,0.1144,Kragerø
Drangedal,0.143,Drangedal
Nome,0.0896,Nome
Midt-Telemark,0.1362,Midt-Telemark
Tinn,0.109,Tinn
Hjartdal,0.1018,Hjartdal
Seljord,0.1058,Seljord
Kviteseid,0.1011,Kviteseid
Nissedal,0.1567,Nissedal
Fyresdal,0.1211,Fyresdal
Tokke,0.0973,Tokke
Vinje,0.1106,Vinje
