Kommune,Andel,Label
Porsgrunn,86,Porsgrunn
Skien,87,Skien
Notodden,77,Notodden
Siljan,47,Siljan
Bamble,58,Bamble
Kragerø,53,Kragerø
Drangedal,53,Drangedal
Nome,60,Nome
Midt-Telemark,85,Midt-Telemark
Tinn,57,Tinn
Hjartdal,32,Hjartdal
Seljord,63,Seljord
Kviteseid,24,Kviteseid
Nissedal,38,Nissedal
Fyresdal,58,Fyresdal
Tokke,54,Tokke
Vinje,46,Vinje
