Kommune,Andel,Label
Porsgrunn,0.7322,Porsgrunn
Skien,0.7278,Skien
Notodden,0.6889,Notodden
Siljan,0.7549,Siljan
Bamble,0.7006,Bamble
Kragerø,0.7419,Kragerø
Drangedal,0.6651,Drangedal
Nome,0.7239,Nome
Midt-Telemark,0.7289,Midt-Telemark
Tinn,0.7265,Tinn
Hjartdal,0.6491,Hjartdal
Seljord,0.7543,Seljord
Kviteseid,0.7545,Kviteseid
Nissedal,0.6633,Nissedal
Fyresdal,0.6507,Fyresdal
Tokke,0.75,Tokke
Vinje,0.7467,Vinje
