time,EUR/MWh,kurs,NOK/MWh,NOK/KWh
2025-01-02,83.74041666666666,11.7173,981.2115842083332,0.9812115842083332
2025-01-03,62.622083333333336,11.713,733.4924620833332,0.7334924620833332
2025-01-06,29.42125,11.7095,344.508126875,0.344508126875
2025-01-07,31.97083333333333,11.7385,375.2896270833333,0.3752896270833333
2025-01-08,71.48916666666666,11.738,839.1398383333334,0.8391398383333334
2025-01-09,99.09583333333336,11.7605,1165.4165479166666,1.1654165479166665
2025-01-10,87.82625,11.757,1032.57322125,1.03257322125
2025-01-13,38.63708333333333,11.708999999999998,452.40160875,0.4524016087499999
2025-01-14,33.78217391304348,11.7195,395.9101871739131,0.3959101871739131
2025-01-15,66.39375,11.7035,777.039253125,0.777039253125
2025-01-16,44.80041666666667,11.6965,524.0080735416667,0.5240080735416667
2025-01-17,38.469166666666666,11.759,452.3589308333333,0.4523589308333333
2025-01-20,188.1770833333333,11.7665,2214.185651041667,2.214185651041667
2025-01-21,129.32333333333332,11.817,1528.21383,1.52821383
2025-01-22,132.715,11.7525,1559.7330375,1.5597330374999998
2025-01-23,74.36434782608696,11.7305,872.3309821739131,0.872330982173913
2025-01-24,39.82478260869566,11.7495,467.9212832608696,0.4679212832608695
2025-01-27,33.829166666666666,11.8095,399.50554375,0.39950554375
2025-01-28,80.16956521739131,11.778499999999998,944.2772239130436,0.9442772239130436
2025-01-29,80.87666666666667,11.7785,952.6058183333332,0.9526058183333334
2025-01-30,65.61,11.7615,771.672015,0.7716720149999999
2025-01-31,96.02875,11.7373,1127.118247375,1.127118247375
2025-02-03,127.925,11.7138,1498.487865,1.498487865
2025-02-04,72.45166666666667,11.720999999999998,849.205985,0.8492059850000001
2025-02-05,48.31666666666666,11.6693,563.8216783333334,0.5638216783333333
2025-02-06,104.61125,11.658499999999998,1219.610258125,1.219610258125
2025-02-07,82.68166666666666,11.625,961.174375,0.961174375
2025-02-10,65.12,11.5745,753.73144,0.75373144
2025-02-11,58.685833333333335,11.5755,679.31786375,0.67931786375
2025-02-12,117.75875,11.662,1373.3025425000003,1.3733025425000005
2025-02-13,135.56166666666667,11.7145,1588.0371441666666,1.5880371441666663
2025-02-14,155.21416666666667,11.6515,1808.4778629166667,1.808477862916667
2025-02-17,118.65833333333336,11.6415,1381.3609875000002,1.3813609875
2025-02-18,122.96625,11.659,1433.66350875,1.43366350875
2025-02-19,99.59708333333332,11.629,1158.2144820833332,1.158214482083333
2025-02-20,61.494166666666665,11.609,713.8857808333333,0.7138857808333333
2025-02-21,50.43857142857143,11.629,586.5501471428571,0.5865501471428571
2025-02-24,46.655,11.6355,542.8542525,0.5428542525000001
2025-02-25,50.125416666666666,11.6638,584.6528349166666,0.5846528349166666
2025-02-26,50.958333333333336,11.6895,595.6774375000001,0.5956774375000001
2025-02-27,55.47125,11.7015,649.096831875,0.649096831875
2025-02-28,73.06583333333333,11.7245,856.6603629166667,0.8566603629166667
2025-03-03,41.86958333333333,11.695,489.6647770833333,0.4896647770833333
2025-03-04,38.290416666666665,11.808,452.13324000000006,0.45213324
2025-03-05,34.17666666666667,11.82,403.9682,0.4039682
2025-03-06,31.04875,11.716,363.767155,0.363767155
2025-03-07,32.314166666666665,11.759,379.9822858333334,0.3799822858333334
2025-03-10,38.4775,11.6705,449.05166375,0.44905166375
2025-03-11,46.650416666666665,11.634,542.7309475000001,0.5427309475000001
2025-03-12,69.48208333333334,11.6085,806.5827643749999,0.8065827643749999
2025-03-13,90.30666666666669,11.597500000000002,1047.3315666666667,1.0473315666666667
2025-03-14,84.68791666666667,11.62,984.0735916666666,0.9840735916666666
2025-03-17,46.65272727272727,11.5283,537.8266358181818,0.5378266358181818
2025-03-18,45.9575,11.528,529.79806,0.52979806
2025-03-19,46.84,11.505,538.8942000000001,0.5388942000000001
2025-03-20,46.94125,11.5025,539.9417281249999,0.539941728125
2025-03-21,49.345416666666665,11.401000000000002,562.5870954166667,0.5625870954166666
2025-03-24,36.970416666666665,11.3795,420.7048564583333,0.4207048564583333
2025-03-25,47.97833333333333,11.309,542.5869716666666,0.5425869716666666
2025-03-26,53.401250000000005,11.3585,606.558098125,0.6065580981250001
2025-03-27,52.69652173913043,11.3435,597.7629943478261,0.5977629943478261
2025-03-28,50.88565217391304,11.294,574.7025556521739,0.574702555652174
2025-03-31,37.98458333333333,11.413000000000002,433.5180495833333,0.4335180495833333
2025-04-01,51.24875,11.318,580.0333525,0.5800333525
2025-04-02,63.69521739130435,11.2745,718.1317284782608,0.7181317284782608
2025-04-03,61.82083333333333,11.4235,706.2102895833333,0.7062102895833333
2025-04-04,55.25541666666667,11.6815,645.4661497916667,0.6454661497916667
2025-04-07,44.619166666666665,11.9545,533.3998279166666,0.5333998279166666
2025-04-08,62.11291666666667,11.9505,742.2804106250001,0.742280410625
2025-04-09,60.81208333333333,12.1195,737.0120439583334,0.7370120439583334
2025-04-10,65.36749999999999,11.981500000000002,783.20070125,0.78320070125
2025-04-11,48.582608695652176,12.1005,587.8738565217392,0.5878738565217392
2025-04-14,49.6,12.0205,596.2167999999999,0.5962167999999999
2025-04-15,48.401428571428575,11.9726,579.4909437142857,0.5794909437142857
2025-04-16,42.21153846153846,12.0725,509.5987980769231,0.5095987980769231
2025-04-22,53.98541666666667,11.8885,641.8056260416666,0.6418056260416667
2025-04-23,72.46458333333332,11.891,861.6763604166666,0.8616763604166666
2025-04-24,76.03086956521739,11.8285,899.331140652174,0.899331140652174
2025-04-25,96.25291666666668,11.841500000000002,1139.778912708333,1.139778912708333
2025-04-28,47.26416666666666,11.8615,560.6239129166667,0.5606239129166667
2025-04-29,46.31833333333333,11.8045,546.7647658333334,0.5467647658333334
2025-04-30,55.06458333333333,11.809,650.2576645833333,0.6502576645833332
2025-05-02,49.03458333333333,11.7585,576.573148125,0.5765731481249999
2025-05-05,40.49666666666666,11.7885,477.394955,0.477394955
2025-05-06,67.27541666666666,11.7015,787.2232881250001,0.7872232881250001
2025-05-07,81.57583333333334,11.6715,952.11233875,0.95211233875
2025-05-08,88.92083333333333,11.688,1039.3067,1.0393067
2025-05-09,95.8396,11.6725,1118.687731,1.118687731
2025-05-12,69.51333333333334,11.596,806.0766133333333,0.8060766133333332
2025-05-13,60.392105263157895,11.5733,698.9359518421053,0.6989359518421053
2025-05-14,71.17583333333333,11.5715,823.6111554166667,0.8236111554166667
2025-05-15,72.5756,11.65,845.5057400000001,0.84550574
2025-05-16,70.26075,11.635,817.48382625,0.81748382625
2025-05-19,58.20052631578947,11.5955,674.8642028947369,0.6748642028947369
2025-05-20,69.75416666666666,11.5955,808.8344395833333,0.8088344395833332
2025-05-21,70.62791666666666,11.484,811.090995,0.811090995
2025-05-22,64.59833333333333,11.515499999999998,743.8821075,0.7438821075
2025-05-23,62.399565217391306,11.522000000000002,718.9677904347826,0.7189677904347826
2025-05-26,47.38708333333333,11.484,544.193265,0.544193265
2025-05-27,45.369166666666665,11.506,522.0176316666667,0.5220176316666667
2025-05-28,52.24958333333333,11.4945,600.582835625,0.600582835625
2025-05-30,58.60583333333333,11.5408,676.3582013333333,0.6763582013333334
2025-06-02,43.84333333333333,11.51,504.6367666666667,0.5046367666666667
2025-06-03,53.15125,11.533,612.9933662499999,0.6129933662499999
2025-06-04,55.85666666666666,11.518499999999998,643.385015,0.643385015
2025-06-05,60.93708333333333,11.5265,702.3912910416667,0.7023912910416668
2025-06-06,64.44833333333334,11.524,742.7025933333333,0.7427025933333333
2025-06-10,40.97833333333333,11.5073,471.5499751666667,0.4715499751666667
2025-06-11,60.20083333333333,11.566,696.2828383333334,0.6962828383333334
2025-06-12,63.65541666666667,11.574,736.7477925,0.7367477925
2025-06-13,60.177083333333336,11.4435,688.636453125,0.688636453125
2025-06-16,53.65541666666667,11.467,615.2666629166667,0.6152666629166668
2025-06-17,62.595,11.4175,714.6784125,0.7146784125000001
2025-06-18,71.61833333333333,11.4435,819.5643974999999,0.8195643974999999
2025-06-19,65.15416666666667,11.5315,751.3252729166666,0.7513252729166665
2025-06-20,57.075,11.598,661.95585,0.66195585
2025-06-23,44.525,11.6635,519.3173375,0.5193173375
2025-06-24,44.585,11.713,522.2241049999999,0.5222241049999999
2025-06-25,42.705000000000005,11.782000000000002,503.15031,0.50315031
2025-06-26,54.28375,11.8125,641.226796875,0.641226796875
2025-06-27,64.79583333333333,11.792,764.0724666666666,0.7640724666666666
2025-06-30,41.07833333333333,11.8345,486.14153583333336,0.4861415358333333
2025-07-01,50.09,11.844500000000002,593.291005,0.5932910050000001
2025-07-02,61.38666666666666,11.878,729.1508266666666,0.7291508266666666
2025-07-03,66.51041666666667,11.875,789.8111979166666,0.7898111979166667
2025-07-04,64.61458333333333,11.847,765.4889687499999,0.7654889687499999
2025-07-07,49.16375,11.8755,583.844113125,0.5838441131250001
