År;Transportarbeid (mill tonnkm)
2003;1557
2004;2017
2005;2208
2006;2374
2007;2454
2008;2666
2009;2644
2010;2393
2011;2508
2012;2531
2013;2347
2014;2373
2015;2458
2016;2592
2017;2756
2018;2730
2019;2684
2020;2813
2021;2848
