År;Lastet;Losset
2011;5821395;4321419
2012;5769217;4542524
2013;5998219;4747240
2014;5844242;5058583
2015;6387891;5429599
2016;6121291;4926162
2017;6357954;5566904
2018;6905334;5515503
2019;6543812;5320138
2020;6632175;5420592
2021;7439011;5444454
