Kommune,Andel sysselsatte,Label
Seljord,66.5,Seljord
Hjartdal,69.2,Hjartdal
Nissedal,65.5,Nissedal
Kviteseid,68.5,Kviteseid
Nome,63.1,Nome
Drangedal,64.1,Drangedal
Tinn,66.1,Tinn
Midt-Telemark,63.0,Midt-Telemark
Tokke,68.3,Tokke
Fyresdal,68.6,Fyresdal
Vinje,72.2,Vinje
Porsgrunn,64.4,Porsgrunn
Siljan,69.4,Siljan
Kragerø,61.4,Kragerø
Bamble,63.7,Bamble
Notodden,63.9,Notodden
Skien,64.0,Skien
