ssbid_250,År,bygg_i_alt,uoppgitt,bolig,industri_og_lagerbygning,kontor_og_forretningsbygning,samferdsels_og_kommunikasjonsbygning,hotell_og_restaurantbygning,kultur_og_forskningsbygning,helsebygning,fengsel_beredskapsbygning,enebolig,tomannsbolig,rekkehus_kjedehus_andre_småhus,store_boligbygg,bygning_for_bofellesskap,fritidsbolig,koie_seterhus_og_lignende,garasje_og_uthus_til_bolig,annen_boligbygning,industribygning,energiforsyningsbygning,lagerbygning,fiskeri_og_landbruksbygning,kontorbygning,forretningsbygning,congres_building,ekspedisjonsbygning_terminal,telekommunikasjonsbygning,garasje_og_hangarbygning,veg_og_trafikktilsynsbygning,hotellbygning,bygning_for_overnatting,restaurantbygning,skolebygning,universitet_og_høgskolebygning,museums_og_biblioteksbygning,idrettsbygning,kulturhus,bygning_for_religiøse_aktiviteter,sykehus,sykehjem,primærhelsebygning,fengselsbygning,beredskapsbygning,monument,offentlig_toalett
21745006565250,2008-01-01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21745006569750,2008-01-01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21747506565500,2008-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21747506574750,2008-01-01,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21747506590000,2008-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21750006563250,2008-01-01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21750006569000,2008-01-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21750006577500,2008-01-01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21750006589750,2008-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21752506564500,2008-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21752506564750,2008-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
