Arealregnskap[Kommune],Arealregnskap[Arealformålsgruppe],Arealregnskap[Planreservekategori],Arealregnskap[Arealtype],[Dekar]
Drangedal,01 Bolig eller sentrumsformål,Antatt planreserve,Bebygd,6.935330721874683
Drangedal,01 Bolig eller sentrumsformål,Antatt planreserve,Ferskvann,0.7553131043853853
Drangedal,01 Bolig eller sentrumsformål,Antatt planreserve,Fulldyrka jord,77.16070412009809
Drangedal,01 Bolig eller sentrumsformål,Antatt planreserve,Innmarksbeite,11.196559885758973
Drangedal,01 Bolig eller sentrumsformål,Antatt planreserve,Myr,10.770980642493498
Drangedal,01 Bolig eller sentrumsformål,Antatt planreserve,Overflatedyrka jord,2.8497899490676892
Drangedal,01 Bolig eller sentrumsformål,Antatt planreserve,Skog,2169.505201719765
Drangedal,01 Bolig eller sentrumsformål,Antatt planreserve,Åpen fastmark,35.61311517797231
Drangedal,01 Bolig eller sentrumsformål,Planlagt og i bruk,Bebygd,1186.0175947773014
Drangedal,01 Bolig eller sentrumsformål,Planlagt og i bruk,Ferskvann,16.808071640873752
Drangedal,01 Bolig eller sentrumsformål,Planlagt og i bruk,Fulldyrka jord,38.336444939508304
Drangedal,01 Bolig eller sentrumsformål,Planlagt og i bruk,Innmarksbeite,2.047513269096886
Drangedal,01 Bolig eller sentrumsformål,Planlagt og i bruk,Myr,1.1133006975593003
Drangedal,01 Bolig eller sentrumsformål,Planlagt og i bruk,Overflatedyrka jord,0.46076784570310353
Drangedal,01 Bolig eller sentrumsformål,Planlagt og i bruk,Samferdsel,229.8812628894869
Drangedal,01 Bolig eller sentrumsformål,Planlagt og i bruk,Skog,241.05597256771227
Drangedal,01 Bolig eller sentrumsformål,Planlagt og i bruk,Åpen fastmark,18.989747323585394
Drangedal,02 Fritidsbebyggelse,Antatt planreserve,Bebygd,51.91034326228595
Drangedal,02 Fritidsbebyggelse,Antatt planreserve,Ferskvann,15.884765292751645
Drangedal,02 Fritidsbebyggelse,Antatt planreserve,Fulldyrka jord,23.3762194430362
Drangedal,02 Fritidsbebyggelse,Antatt planreserve,Innmarksbeite,5.192187432203252
Drangedal,02 Fritidsbebyggelse,Antatt planreserve,Myr,348.2049241420122
Drangedal,02 Fritidsbebyggelse,Antatt planreserve,Samferdsel,5.619474760575203
Drangedal,02 Fritidsbebyggelse,Antatt planreserve,Skog,8382.678141836072
Drangedal,02 Fritidsbebyggelse,Antatt planreserve,Åpen fastmark,1205.1039159953543
Drangedal,02 Fritidsbebyggelse,Planlagt og i bruk,Bebygd,1247.4745541636512
Drangedal,02 Fritidsbebyggelse,Planlagt og i bruk,Ferskvann,79.11163515303897
Drangedal,02 Fritidsbebyggelse,Planlagt og i bruk,Fulldyrka jord,6.771229102067325
Drangedal,02 Fritidsbebyggelse,Planlagt og i bruk,Innmarksbeite,0.33330747854974674
Drangedal,02 Fritidsbebyggelse,Planlagt og i bruk,Myr,19.663460381303253
Drangedal,02 Fritidsbebyggelse,Planlagt og i bruk,Samferdsel,169.5838471764849
Drangedal,02 Fritidsbebyggelse,Planlagt og i bruk,Skog,497.5847567432925
Drangedal,02 Fritidsbebyggelse,Planlagt og i bruk,Åpen fastmark,62.19913901200132
Drangedal,03 Tjenesteyting,Antatt planreserve,Bebygd,0.866831714067275
Drangedal,03 Tjenesteyting,Antatt planreserve,Ferskvann,0.1866360344345188
